seed,train_mean,holdout_trades,holdout_win_rate,holdout_mean,holdout_rr,holdout_skew,wf_min,mc_pass_rate,mc_ev,mc_fail_mll,mc_fail_no_target,mc_avg_trades
20260702,-3.8838194718171066,1737,0.45826137017846863,-3.6029073114565344,0.8887799694025751,0.15600152174891693,-4.208041958041958,0.0231,-41.2731,0.0,0.9673,26.0921
20260703,-2.938041765169425,1743,0.46758462421113023,-3.1199082042455535,0.8899189584211152,0.11805920696711512,-4.890515222482436,0.0227,-42.272699999999986,0.0,0.9651,27.5712
20260704,-3.2794117647058822,1733,0.46105020196191576,-3.4747547605308715,0.8880984823212635,0.14610661117956736,-4.896570796460177,0.0236,-40.0236,0.0,0.9663,25.8924
20260705,-3.596608832807571,1735,0.4697406340057637,-3.075648414985591,0.8851801003407765,0.11341533730408528,-3.801418439716312,0.0311,-21.281099999999995,0.0,0.9567,27.3746
20260706,-3.76567429022082,1736,0.49078341013824883,-1.9706221198156681,0.887840206766641,0.028032903972037844,-4.130530973451328,0.0635,59.68650000000001,0.0,0.913,31.4714
20260707,-4.018040220820189,1741,0.4830557151062608,-2.4144170017231477,0.8842896974730526,0.061661569889022584,-3.4668141592920354,0.0466,17.453400000000002,0.0,0.9349,30.1912
20260708,-2.7539447731755424,1742,0.4695752009184845,-3.0809414466130884,0.8852059131789476,0.11373747662128035,-4.041857798165138,0.0286,-27.528599999999997,0.0,0.959,27.2151
20260709,-3.1945544554455445,1738,0.47583429228998847,-2.7484177215189876,0.886390733600967,0.08875399111186831,-3.9728132387706854,0.0353,-10.785300000000007,0.0,0.9484,28.574
20260710,-3.0987776025236595,1734,0.46655132641291813,-3.3161764705882355,0.8795389713726596,0.1322677215262913,-3.6991150442477876,0.0249,-36.774899999999995,0.0,0.9614,26.7295
20260711,-3.7014381402679275,1741,0.4652498564043653,-3.2881964388282596,0.8858403273720673,0.13095518352237911,-4.40962441314554,0.0276,-30.027600000000007,0.0,0.9601,26.9106
20260712,-2.754048183254344,1738,0.46777905638665135,-3.1741944764096663,0.8850362246639226,0.12186427311165403,-4.9798850574712645,0.0281,-28.778099999999995,0.0,0.9603,27.1286
20260713,-3.358201581027668,1738,0.498849252013809,-1.6235615650172612,0.8836234820247767,-0.00010662152168922466,-2.88953488372093,0.0758,90.42420000000001,0.0,0.8988,33.0604
20260714,-3.102384706346078,1735,0.4674351585014409,-3.222622478386167,0.8829994433271487,0.12412231641773805,-4.005196304849885,0.0271,-31.277100000000004,0.0,0.9607,26.9179
20260715,-3.8471400394477318,1737,0.47322970639032813,-2.8580886586067935,0.8879136820130205,0.0968874858646849,-3.7637614678899083,0.0333,-15.783299999999997,0.0,0.9526,28.0994
20260716,-3.72910918407568,1740,0.46436781609195404,-3.4367816091954024,0.8786501999270626,0.14102216632186731,-3.6935840707964602,0.0241,-38.7741,0.0,0.9658,26.2445
20260717,-2.6966759002770084,1739,0.4675100632547441,-3.171506612995975,0.8860974492251792,0.12151775450960024,-5.480088495575221,0.0295,-25.2795,0.0,0.9582,27.5535
20260718,-3.0029644268774702,1736,0.47580645161290325,-2.734591013824885,0.8874705053851807,0.08724898423888813,-5.189712389380531,0.0372,-6.037200000000013,0.0,0.9455,28.9217
20260719,-3.775532334384858,1741,0.47673750717978175,-2.727455485353245,0.8845638008586295,0.08634345176445919,-4.260095011876484,0.0373,-5.787300000000002,0.0,0.9461,28.7922
20260720,-4.648341887090407,1739,0.46808510638297873,-3.1477860839562966,0.886081302894661,0.11899185384894928,-4.426032110091743,0.0273,-30.777299999999997,0.0,0.9604,27.3757
20260721,-2.590370955011839,1740,0.4666666666666667,-3.2083333333333335,0.8865601919070767,0.12365529346747768,-3.9480088495575223,0.0281,-28.778099999999995,0.0,0.961,27.1556
