limit_offset_ticks,seed,stop_events,better,neutral,worse,pending,unfilled_flatten,avg_delta_vs_market,median_delta_vs_market
0,20260702,883,864,0,19,340,19,-1.59682899207248,1.25
0,20260703,858,842,0,16,334,16,-2.1765734265734267,1.25
0,20260704,849,830,0,19,324,19,-2.7473498233215548,1.25
0,20260705,832,815,0,17,308,17,-1.0066105769230769,1.25
0,20260706,871,850,0,21,327,21,-2.7884615384615383,1.25
0,20260707,849,833,0,16,318,16,-0.9113663133097762,1.25
0,20260708,868,852,0,16,324,16,-2.2710253456221197,1.25
0,20260709,832,817,0,15,315,15,-0.6280048076923077,1.25
0,20260710,835,815,0,20,304,20,-2.0,1.25
0,20260711,871,853,0,18,329,18,-1.752296211251435,1.25
0,20260712,876,858,0,18,321,18,-0.8889840182648402,1.25
0,20260713,851,831,0,20,323,20,-1.8772032902467686,1.25
0,20260714,873,861,0,12,329,12,-0.6056701030927835,1.25
0,20260715,834,818,0,16,315,16,-1.467326139088729,1.25
0,20260716,852,836,0,16,317,16,-0.8802816901408451,1.25
0,20260717,890,870,0,20,342,20,-2.2429775280898876,1.25
0,20260718,874,857,0,17,337,17,-1.2285469107551488,1.25
0,20260719,886,868,0,18,334,18,-1.729683972911964,1.25
0,20260720,854,840,0,14,320,14,-1.7871779859484778,1.25
0,20260721,872,858,0,14,318,14,-1.5309633027522935,1.25
1,20260702,862,0,851,11,282,11,-1.480568445475638,0.0
1,20260703,893,0,882,11,277,11,-2.0674692049272116,0.0
1,20260704,915,0,905,10,281,10,-0.9030054644808743,0.0
1,20260705,836,0,824,12,263,12,-1.8241626794258374,0.0
1,20260706,853,0,840,13,254,13,-1.9240914419695194,0.0
1,20260707,878,0,864,14,266,14,-1.5219248291571754,0.0
1,20260708,856,0,842,14,270,14,-1.953855140186916,0.0
1,20260709,865,0,855,10,291,10,-1.1979768786127167,0.0
1,20260710,888,0,873,15,267,15,-1.5948761261261262,0.0
1,20260711,855,0,844,11,254,11,-1.2514619883040936,0.0
1,20260712,870,0,859,11,263,11,-1.8735632183908046,0.0
1,20260713,903,0,889,14,303,14,-2.2162236987818384,0.0
1,20260714,878,0,869,9,268,9,-1.61873576309795,0.0
1,20260715,860,0,847,13,277,13,-2.3313953488372094,0.0
1,20260716,890,0,882,8,264,8,-1.202247191011236,0.0
1,20260717,853,0,839,14,267,14,-1.906506447831184,0.0
1,20260718,884,0,875,9,267,9,-1.3914027149321266,0.0
1,20260719,865,0,850,15,264,15,-1.865606936416185,0.0
1,20260720,860,0,847,13,264,13,-2.072674418604651,0.0
1,20260721,863,0,853,10,277,10,-1.8568945538818076,0.0
2,20260702,901,0,0,901,240,7,-2.2891231964483905,-1.25
2,20260703,921,0,0,921,228,10,-2.951954397394137,-1.25
2,20260704,922,0,0,922,233,10,-2.383405639913232,-1.25
2,20260705,901,0,0,901,239,7,-2.210044395116537,-1.25
2,20260706,902,0,0,902,242,7,-2.554046563192905,-1.25
2,20260707,867,0,0,867,229,12,-2.8575547866205304,-1.25
2,20260708,877,0,0,877,235,14,-3.4905929304446977,-1.25
2,20260709,921,0,0,921,238,7,-2.3479913137893593,-1.25
2,20260710,868,0,0,868,210,10,-2.4308755760368665,-1.25
2,20260711,921,0,0,921,234,12,-2.6764386536373506,-1.25
2,20260712,853,0,0,853,221,9,-2.6333528722157094,-1.25
2,20260713,906,0,0,906,246,11,-2.6834988962472406,-1.25
2,20260714,904,0,0,904,241,9,-2.506913716814159,-1.25
2,20260715,868,0,0,868,230,9,-2.288306451612903,-1.25
2,20260716,845,0,0,845,221,11,-2.8683431952662723,-1.25
2,20260717,909,0,0,909,259,10,-2.8314081408140814,-1.25
2,20260718,878,0,0,878,230,8,-2.3619020501138954,-1.25
2,20260719,846,0,0,846,242,11,-2.9757683215130024,-1.25
2,20260720,858,0,0,858,223,11,-2.972027972027972,-1.25
2,20260721,905,0,0,905,232,7,-2.2154696132596685,-1.25
