session,side,signal_time,entry_time,entry,stop,target,exit_time,exit_price,reason,pnl
2026-03-31,1,2026-03-31 16:38:00+00:00,2026-03-31 16:40:00+00:00,23667.75,23564.75,23770.75,2026-03-31 16:41:00+00:00,23770.75,target,205.0
2026-04-01,1,2026-04-01 14:52:00+00:00,2026-04-01 14:54:00+00:00,24254.0,24230.0,24278.0,2026-04-01 15:02:00+00:00,24278.0,target,47.0
2026-04-06,1,2026-04-06 15:50:00+00:00,2026-04-06 15:52:00+00:00,24321.25,24299.25,24343.25,2026-04-06 16:02:00+00:00,24299.0,stop,-45.5
2026-04-08,1,2026-04-08 15:45:00+00:00,2026-04-08 15:47:00+00:00,25071.75,25056.5,25087.0,2026-04-08 15:53:00+00:00,25087.0,target,29.5
2026-04-09,1,2026-04-09 15:52:00+00:00,2026-04-09 15:54:00+00:00,25172.25,25156.5,25188.0,2026-04-09 15:55:00+00:00,25188.0,target,30.5
2026-04-10,1,2026-04-10 13:31:00+00:00,2026-04-10 13:33:00+00:00,25358.0,25326.0,25390.0,2026-04-10 13:35:00+00:00,25325.75,stop,-65.5
2026-04-13,1,2026-04-13 18:02:00+00:00,2026-04-13 18:04:00+00:00,25422.0,25410.25,25433.75,2026-04-13 18:18:00+00:00,25410.0,stop,-25.0
2026-04-14,1,2026-04-14 13:45:00+00:00,2026-04-14 13:47:00+00:00,25751.25,25739.25,25763.25,2026-04-14 13:47:00+00:00,25739.0,stop,-25.5
2026-04-15,1,2026-04-15 13:57:00+00:00,2026-04-15 13:59:00+00:00,26061.5,26044.5,26078.5,2026-04-15 14:02:00+00:00,26078.5,target,33.0
2026-04-16,1,2026-04-16 14:03:00+00:00,2026-04-16 14:05:00+00:00,26332.5,26309.25,26355.75,2026-04-16 14:08:00+00:00,26355.75,target,45.5
2026-04-17,1,2026-04-17 14:33:00+00:00,2026-04-17 14:35:00+00:00,26793.0,26768.0,26818.0,2026-04-17 14:40:00+00:00,26818.0,target,49.0
2026-04-21,1,2026-04-21 14:11:00+00:00,2026-04-21 14:13:00+00:00,26868.25,26860.25,26876.25,2026-04-21 14:13:00+00:00,26860.0,stop,-17.5
2026-04-22,1,2026-04-22 14:15:00+00:00,2026-04-22 14:17:00+00:00,26938.5,26922.0,26955.0,2026-04-22 14:20:00+00:00,26955.0,target,32.0
2026-04-23,1,2026-04-23 14:53:00+00:00,2026-04-23 14:55:00+00:00,27074.5,27067.5,27081.5,2026-04-23 14:55:00+00:00,27081.5,target,13.0
2026-04-24,1,2026-04-24 14:12:00+00:00,2026-04-24 14:14:00+00:00,27250.5,27235.75,27265.25,2026-04-24 14:14:00+00:00,27235.5,stop,-31.0
2026-04-30,1,2026-04-30 15:50:00+00:00,2026-04-30 15:52:00+00:00,27392.75,27369.25,27416.25,2026-04-30 15:55:00+00:00,27416.25,target,46.0
2026-05-01,1,2026-05-01 15:29:00+00:00,2026-05-01 15:31:00+00:00,27870.25,27853.25,27887.25,2026-05-01 15:37:00+00:00,27887.25,target,33.0
2026-05-04,1,2026-05-04 14:40:00+00:00,2026-05-04 14:42:00+00:00,27921.5,27903.25,27939.75,2026-05-04 14:46:00+00:00,27939.75,target,35.5
2026-05-05,1,2026-05-05 14:25:00+00:00,2026-05-05 14:27:00+00:00,28123.0,28106.5,28139.5,2026-05-05 14:37:00+00:00,28106.25,stop,-34.5
2026-05-06,1,2026-05-06 13:32:00+00:00,2026-05-06 13:34:00+00:00,28410.5,28367.5,28453.5,2026-05-06 13:35:00+00:00,28453.5,target,85.0
