symbol,session,entry_ts,exit_ts,side,entry,exit,stop,target,pnl,r_mult,exit_reason
MES,2026-04-22 00:00:00-04:00,2026-04-22 10:10:00-04:00,2026-04-22 16:00:00-04:00,long,7158.5,7170.25,7140.0,7177.0,57.75,0.6243243243243243,rth_close
MES,2026-04-23 00:00:00-04:00,2026-04-23 10:50:00-04:00,2026-04-23 13:00:00-04:00,long,7171.25,7148.75,7149.0,7193.5,-113.5,-1.0202247191011236,stop
MES,2026-04-24 00:00:00-04:00,2026-04-24 10:10:00-04:00,2026-04-24 11:20:00-04:00,long,7161.0,7177.0,7145.0,7177.0,79.0,0.9875,target
MES,2026-04-27 00:00:00-04:00,2026-04-27 10:35:00-04:00,2026-04-27 11:20:00-04:00,long,7198.75,7178.5,7178.75,7218.75,-102.25,-1.0225,stop
MES,2026-04-28 00:00:00-04:00,2026-04-28 10:25:00-04:00,2026-04-28 16:00:00-04:00,short,7163.25,7169.75,7183.0,7143.5,-33.5,-0.3392405063291139,rth_close
MES,2026-04-29 00:00:00-04:00,2026-04-29 10:10:00-04:00,2026-04-29 11:50:00-04:00,long,7163.75,7149.25,7149.5,7178.0,-73.5,-1.0315789473684212,stop
MES,2026-04-30 00:00:00-04:00,2026-04-30 10:05:00-04:00,2026-04-30 10:50:00-04:00,short,7159.75,7185.25,7185.0,7134.5,-128.5,-1.0178217821782178,stop
MES,2026-05-01 00:00:00-04:00,2026-05-01 10:10:00-04:00,2026-05-01 12:25:00-04:00,long,7298.5,7269.75,7270.0,7327.0,-144.75,-1.0157894736842106,stop
MES,2026-05-04 00:00:00-04:00,2026-05-04 10:10:00-04:00,2026-05-04 11:15:00-04:00,long,7258.0,7244.0,7244.25,7271.75,-71.0,-1.0327272727272727,stop
MES,2026-05-05 00:00:00-04:00,2026-05-05 10:05:00-04:00,2026-05-05 10:15:00-04:00,long,7278.0,7266.5,7266.75,7289.25,-58.5,-1.04,stop
MES,2026-05-06 00:00:00-04:00,2026-05-06 10:10:00-04:00,2026-05-06 10:40:00-04:00,long,7349.75,7368.25,7331.25,7368.25,91.5,0.9891891891891892,target
MES,2026-05-07 00:00:00-04:00,2026-05-07 10:05:00-04:00,2026-05-07 10:55:00-04:00,long,7395.25,7406.75,7383.75,7406.75,56.5,0.9826086956521739,target
MES,2026-05-08 00:00:00-04:00,2026-05-08 10:20:00-04:00,2026-05-08 16:00:00-04:00,long,7417.75,7423.25,7392.0,7443.5,26.5,0.2058252427184466,rth_close
MES,2026-05-11 00:00:00-04:00,2026-05-11 10:15:00-04:00,2026-05-11 16:00:00-04:00,long,7437.5,7435.75,7419.5,7455.5,-9.75,-0.10833333333333334,rth_close
MES,2026-05-12 00:00:00-04:00,2026-05-12 10:25:00-04:00,2026-05-12 11:20:00-04:00,short,7391.25,7368.5,7414.0,7368.5,112.75,0.9912087912087912,target
MES,2026-05-13 00:00:00-04:00,2026-05-13 10:10:00-04:00,2026-05-13 11:35:00-04:00,long,7420.75,7442.5,7399.0,7442.5,107.75,0.9908045977011494,target
MES,2026-05-14 00:00:00-04:00,2026-05-14 10:15:00-04:00,2026-05-14 11:00:00-04:00,long,7503.75,7521.25,7486.25,7521.25,86.5,0.9885714285714285,target
MES,2026-05-15 00:00:00-04:00,2026-05-15 10:10:00-04:00,2026-05-15 16:00:00-04:00,long,7451.25,7419.75,7420.0,7482.5,-158.5,-1.0144,stop
MES,2026-05-18 00:00:00-04:00,2026-05-18 10:30:00-04:00,2026-05-18 14:50:00-04:00,short,7415.0,7375.75,7454.25,7375.75,195.25,0.9949044585987261,target
MES,2026-05-19 00:00:00-04:00,2026-05-19 10:05:00-04:00,2026-05-19 12:55:00-04:00,short,7369.5,7402.25,7402.0,7337.0,-164.75,-1.0138461538461538,stop
MES,2026-05-20 00:00:00-04:00,2026-05-20 10:10:00-04:00,2026-05-20 10:15:00-04:00,short,7380.5,7411.0,7410.75,7350.25,-153.5,-1.0148760330578512,stop
MES,2026-05-21 00:00:00-04:00,2026-05-21 11:05:00-04:00,2026-05-21 13:10:00-04:00,short,7409.75,7444.0,7443.75,7375.75,-172.25,-1.013235294117647,stop
MES,2026-05-22 00:00:00-04:00,2026-05-22 10:05:00-04:00,2026-05-22 13:25:00-04:00,short,7491.75,7516.5,7516.25,7467.25,-124.75,-1.0183673469387755,stop
MES,2026-05-26 00:00:00-04:00,2026-05-26 10:05:00-04:00,2026-05-26 11:45:00-04:00,long,7546.25,7524.5,7524.75,7567.75,-109.75,-1.0209302325581395,stop
MES,2026-05-27 00:00:00-04:00,2026-05-27 10:15:00-04:00,2026-05-27 10:30:00-04:00,long,7546.75,7525.5,7525.75,7567.75,-107.25,-1.0214285714285714,stop
MES,2026-05-28 00:00:00-04:00,2026-05-28 10:05:00-04:00,2026-05-28 10:10:00-04:00,long,7540.0,7554.5,7525.5,7554.5,71.5,0.9862068965517241,target
MES,2026-05-29 00:00:00-04:00,2026-05-29 10:25:00-04:00,2026-05-29 16:00:00-04:00,short,7590.75,7598.5,7611.75,7569.75,-39.75,-0.37857142857142856,rth_close
MES,2026-06-01 00:00:00-04:00,2026-06-01 10:35:00-04:00,2026-06-01 11:30:00-04:00,short,7581.75,7596.75,7596.5,7567.0,-76.0,-1.0305084745762711,stop
MES,2026-06-02 00:00:00-04:00,2026-06-02 10:05:00-04:00,2026-06-02 10:40:00-04:00,long,7606.25,7617.0,7595.5,7617.0,52.75,0.9813953488372092,target
MES,2026-06-03 00:00:00-04:00,2026-06-03 12:15:00-04:00,2026-06-03 16:00:00-04:00,short,7573.75,7569.75,7609.5,7538.0,19.0,0.1062937062937063,rth_close
MES,2026-06-04 00:00:00-04:00,2026-06-04 10:15:00-04:00,2026-06-04 11:15:00-04:00,long,7564.75,7586.0,7543.5,7586.0,105.25,0.9905882352941177,target
MES,2026-06-05 00:00:00-04:00,2026-06-05 11:20:00-04:00,2026-06-05 12:40:00-04:00,short,7505.5,7460.5,7550.5,7460.5,224.0,0.9955555555555555,target
MES,2026-06-08 00:00:00-04:00,2026-06-08 10:45:00-04:00,2026-06-08 13:00:00-04:00,long,7460.75,7428.75,7429.0,7492.5,-161.0,-1.0141732283464566,stop
MES,2026-06-09 00:00:00-04:00,2026-06-09 10:10:00-04:00,2026-06-09 10:15:00-04:00,short,7456.5,7422.0,7491.0,7422.0,171.5,0.9942028985507246,target
MES,2026-06-10 00:00:00-04:00,2026-06-10 10:05:00-04:00,2026-06-10 11:10:00-04:00,long,7393.75,7335.0,7335.25,7452.25,-294.75,-1.0076923076923077,stop
MES,2026-06-11 00:00:00-04:00,2026-06-11 10:55:00-04:00,2026-06-11 13:25:00-04:00,short,7282.75,7336.0,7335.75,7229.75,-267.25,-1.008490566037736,stop
MES,2026-06-12 00:00:00-04:00,2026-06-12 10:05:00-04:00,2026-06-12 11:20:00-04:00,long,7411.25,7456.0,7366.5,7456.0,222.75,0.9955307262569832,target
MES,2026-06-15 00:00:00-04:00,2026-06-15 10:10:00-04:00,2026-06-15 10:55:00-04:00,short,7606.25,7622.75,7622.5,7590.0,-83.5,-1.0276923076923077,stop
MES,2026-06-16 00:00:00-04:00,2026-06-16 10:15:00-04:00,2026-06-16 10:30:00-04:00,short,7621.5,7606.5,7636.5,7606.5,74.0,0.9866666666666667,target
MES,2026-06-17 00:00:00-04:00,2026-06-17 10:20:00-04:00,2026-06-17 10:40:00-04:00,long,7600.5,7578.25,7578.5,7622.5,-112.25,-1.0204545454545455,stop
MES,2026-06-18 00:00:00-04:00,2026-06-18 10:15:00-04:00,2026-06-18 16:00:00-04:00,long,7559.5,7572.0,7535.5,7583.5,61.5,0.5125,rth_close
MES,2026-06-22 00:00:00-04:00,2026-06-22 10:10:00-04:00,2026-06-22 10:20:00-04:00,long,7597.75,7575.75,7576.0,7619.5,-111.0,-1.0206896551724138,stop
MES,2026-06-23 00:00:00-04:00,2026-06-23 10:05:00-04:00,2026-06-23 16:00:00-04:00,long,7478.25,7435.75,7416.75,7539.75,-213.5,-0.6943089430894309,rth_close
MES,2026-06-24 00:00:00-04:00,2026-06-24 10:20:00-04:00,2026-06-24 10:40:00-04:00,short,7436.75,7472.75,7472.5,7401.0,-181.0,-1.0125874125874126,stop
MES,2026-06-26 00:00:00-04:00,2026-06-26 10:05:00-04:00,2026-06-26 16:00:00-04:00,long,7416.25,7399.75,7367.25,7465.25,-83.5,-0.3408163265306122,rth_close
MES,2026-06-29 00:00:00-04:00,2026-06-29 10:05:00-04:00,2026-06-29 13:10:00-04:00,short,7448.0,7490.0,7489.75,7406.25,-211.0,-1.0107784431137725,stop
MES,2026-06-30 00:00:00-04:00,2026-06-30 10:25:00-04:00,2026-06-30 15:15:00-04:00,long,7533.0,7567.75,7498.25,7567.75,172.75,0.9942446043165467,target
MES,2026-07-01 00:00:00-04:00,2026-07-01 10:05:00-04:00,2026-07-01 11:20:00-04:00,long,7540.25,7574.5,7506.0,7574.5,170.25,0.9941605839416059,target
MNQ,2026-04-22 00:00:00-04:00,2026-04-22 10:05:00-04:00,2026-04-22 10:30:00-04:00,long,26900.25,26992.75,26807.75,26992.75,184.0,0.9945945945945946,target
MNQ,2026-04-23 00:00:00-04:00,2026-04-23 10:55:00-04:00,2026-04-23 13:05:00-04:00,long,27102.75,26965.75,26966.0,27239.5,-275.0,-1.0054844606946984,stop
MNQ,2026-04-24 00:00:00-04:00,2026-04-24 10:10:00-04:00,2026-04-24 11:40:00-04:00,long,27260.5,27391.0,27130.0,27391.0,260.0,0.9961685823754789,target
MNQ,2026-04-27 00:00:00-04:00,2026-04-27 13:10:00-04:00,2026-04-27 16:00:00-04:00,long,27413.75,27427.75,27298.0,27529.5,27.0,0.11663066954643629,rth_close
MNQ,2026-04-28 00:00:00-04:00,2026-04-28 10:30:00-04:00,2026-04-28 10:50:00-04:00,short,27136.0,27021.25,27250.75,27021.25,228.5,0.9956427015250545,target
MNQ,2026-04-29 00:00:00-04:00,2026-04-29 10:20:00-04:00,2026-04-29 16:00:00-04:00,long,27237.5,27350.75,27124.25,27350.75,225.5,0.9955849889624724,target
