strategy,instrument,filter,filter_kind,split,target_ticks,stop_ticks,n_trades,win_rate,avg_win,avg_loss,realized_rr,mean_pnl,skew,kurtosis,max_consec_losses,friction_pct_avg_gross_win,meaningful_holdout,pass_rate,ev_per_eval,fail_died_mll,fail_never_target,fail_failed_5day
vwap_reversion,ES,baseline,baseline,train,25,20,914,0.437636761487965,296.5,-277.284046692607,1.0693006090202353,-26.175054704595187,0.24904264201544807,-1.9396114215285767,11,0.095,True,0.0,-99.0,0.0,1.0,0.0
vwap_reversion,ES,baseline,baseline,holdout,25,20,615,0.46178861788617886,296.5,-278.5,1.0646319569120288,-12.971544715447154,0.15366889202738032,-1.9828447744615738,10,0.095,True,0.1172,193.88279999999997,0.0,0.8826,0.0002
vwap_reversion,ES,volatility,single,train,25,20,849,0.42638398115429915,295.878453038674,-278.5,1.0624001904440719,-33.5942285041225,0.29989142785413553,-1.9134555310852603,9,0.09519723183391003,True,0.0,-99.0,0.0,1.0,0.0
vwap_reversion,ES,volatility,single,holdout,25,20,583,0.4631217838765009,296.5,-278.5,1.0646319569120288,-12.204974271012007,0.14829757248999098,-1.9848286767260321,9,0.095,True,0.122,205.87800000000001,0.0,0.8772,0.0008
vwap_reversion,ES,time_of_day,single,train,25,20,914,0.43435448577680524,295.93324937027705,-277.29110251450675,1.067229516874942,-28.308533916849015,0.26404411393091415,-1.9308468281311215,11,0.09517981072555205,True,0.0,-99.0,0.0,1.0,0.0
vwap_reversion,ES,time_of_day,single,holdout,25,20,615,0.46016260162601624,296.5,-278.5,1.0646319569120288,-13.90650406504065,0.16024891191464538,-1.9807724497656702,10,0.095,True,0.1117,180.1383,0.0,0.888,0.0003
vwap_reversion,ES,trend_alignment,single,train,25,20,660,0.45,296.5,-277.77685950413223,1.067403528606706,-19.352272727272727,0.1997752375538664,-1.9645176685478012,12,0.095,True,0.0,-99.0,0.0,1.0,0.0
vwap_reversion,ES,trend_alignment,single,holdout,25,20,457,0.4726477024070022,296.5,-278.5,1.0646319569120288,-6.727571115973742,0.1099344319090954,-1.9966718694303836,14,0.095,True,0.1584,296.8416,0.0,0.8413,0.0003
vwap_reversion,ES,volatility+trend_alignment,pair,train,25,20,589,0.44991511035653653,296.5,-278.5,1.0646319569120288,-19.798811544991512,0.2018667442824895,-1.9659369131259004,12,0.095,True,0.0,-99.0,0.0,1.0,0.0
vwap_reversion,ES,volatility+trend_alignment,pair,holdout,25,20,422,0.46208530805687204,296.5,-278.5,1.0646319569120288,-12.800947867298579,0.1526397784647377,-1.9861366890025434,14,0.095,True,0.1181,196.1319,0.0,0.8817,0.0002
trend_pullback,ES,baseline,baseline,train,25,20,885,0.48361581920903957,296.5,-277.95295404814004,1.0667272848938592,-0.1384180790960452,0.06385733561209546,-1.999346721007426,10,0.095,True,0.0,-99.0,0.0,1.0,0.0
trend_pullback,ES,baseline,baseline,holdout,25,20,606,0.4207920792079208,295.96078431372547,-278.5,1.0626958144119407,-36.771452145214525,0.32267037396760667,-1.9012448060327818,15,0.09517105909314127,True,0.032,-19.031999999999996,0.0,0.968,0.0
trend_pullback,ES,volatility,single,train,25,20,806,0.4652605459057072,296.5,-277.9199535962877,1.0668539489996536,-10.665012406947891,0.13753774067563634,-1.9847984892055337,14,0.095,True,0.0,-99.0,0.0,1.0,0.0
trend_pullback,ES,volatility,single,holdout,25,20,567,0.42857142857142855,296.5,-278.5,1.0646319569120288,-32.07142857142857,0.2894414160192498,-1.923019310027406,13,0.095,True,0.0411,3.7089,0.0,0.9584,0.0005
trend_pullback,ES,time_of_day,single,train,25,20,874,0.4862700228832952,296.5,-278.5,1.0646319569120288,1.105263157894737,0.05503512527961405,-2.0015566105319698,10,0.095,True,0.0,-99.0,0.0,1.0,0.0
trend_pullback,ES,time_of_day,single,holdout,25,20,601,0.4176372712146423,296.5,-278.5,1.0646319569120288,-38.3585690515807,0.3348500364026418,-1.8941900418048527,15,0.095,True,0.0279,-29.27789999999999,0.0,0.9718,0.0003
trend_pullback,ES,volatility+time_of_day,pair,train,25,20,794,0.47732997481108314,296.5,-278.5,1.0646319569120288,-4.035264483627204,0.09094535252318801,-1.9967649462926198,12,0.095,True,0.0,-99.0,0.0,1.0,0.0
trend_pullback,ES,volatility+time_of_day,pair,holdout,25,20,561,0.42780748663101603,296.5,-278.5,1.0646319569120288,-32.51069518716577,0.2926109122240484,-1.9212409740345466,13,0.095,True,0.038,-4.037999999999997,0.0,0.9618,0.0002
