strategy,instrument,target_ticks,bucket,start,end,n_trades,win_rate,avg_win,avg_loss,realized_rr,mean_pnl,skew,kurtosis,max_consec_losses,friction_pct_avg_gross_win,filter,filter_kind
vwap_reversion,ES,25,1,2024-07-02,2025-01-01,383,0.4177545691906005,296.5,-277.32286995515693,1.0691509144123021,-37.60574412532637,0.3319143846477805,-1.8970111583160505,8,0.095,baseline,baseline
vwap_reversion,ES,25,2,2025-01-02,2025-07-01,380,0.4342105263157895,296.5,-278.0348837209302,1.0664129480155577,-28.56578947368421,0.2656509882523109,-1.938755033266108,11,0.095,baseline,baseline
vwap_reversion,ES,25,3,2025-07-02,2026-01-01,385,0.44415584415584414,296.5,-277.2733644859813,1.0693418047913175,-22.428571428571427,0.2227536598535055,-1.9579264143442876,10,0.095,baseline,baseline
vwap_reversion,ES,25,4,2026-01-02,2026-07-01,381,0.49343832020997375,296.5,-278.5,1.0646319569120288,5.227034120734908,0.02635284462029294,-2.0098838733494273,8,0.095,baseline,baseline
vwap_reversion,ES,25,1,2024-07-03,2025-01-02,365,0.38904109589041097,294.9154929577465,-278.5,1.0589425240852657,-55.417808219178085,0.4610949242973056,-1.7944687576393423,9,0.09550442477876106,volatility,single
vwap_reversion,ES,25,2,2025-01-03,2025-07-02,345,0.43478260869565216,296.5,-278.5,1.0646319569120288,-28.5,0.26426778666056666,-1.9414512209356463,9,0.095,volatility,single
vwap_reversion,ES,25,3,2025-07-03,2026-01-02,360,0.4527777777777778,296.5,-278.5,1.0646319569120288,-18.15277777777778,0.19053179097354536,-1.9746993087658173,9,0.095,volatility,single
vwap_reversion,ES,25,4,2026-01-03,2026-07-02,362,0.4889502762430939,296.5,-278.5,1.0646319569120288,2.6464088397790055,0.0443938566206457,-2.0091602976377074,9,0.095,volatility,single
vwap_reversion,ES,25,1,2024-07-02,2025-01-01,383,0.412532637075718,296.5,-277.3333333333333,1.069110576923077,-40.608355091383814,0.3538083202476094,-1.8818990043378099,8,0.095,time_of_day,single
vwap_reversion,ES,25,2,2025-01-02,2025-07-01,380,0.43157894736842106,296.5,-278.037037037037,1.0664046889569736,-30.07894736842105,0.2765093272394011,-1.9328343008529656,11,0.095,time_of_day,single
vwap_reversion,ES,25,3,2025-07-02,2026-01-01,385,0.44155844155844154,295.1764705882353,-277.27906976744185,1.0645465264861291,-24.506493506493506,0.23700111325769496,-1.948857410572425,10,0.09542097488921714,time_of_day,single
vwap_reversion,ES,25,4,2026-01-02,2026-07-01,381,0.49343832020997375,296.5,-278.5,1.0646319569120288,5.227034120734908,0.02635284462029294,-2.0098838733494273,8,0.095,time_of_day,single
vwap_reversion,ES,25,1,2024-07-02,2025-01-01,261,0.4329501915708812,296.5,-278.5,1.0646319569120288,-29.553639846743295,0.2722106599650898,-1.9408330252792747,9,0.095,trend_alignment,single
vwap_reversion,ES,25,2,2025-01-02,2025-07-01,314,0.4554140127388535,296.5,-277.91520467836256,1.0668721790272182,-16.318471337579616,0.1788818515202828,-1.9795730177909303,7,0.095,trend_alignment,single
vwap_reversion,ES,25,3,2025-07-02,2026-01-01,250,0.476,296.5,-277.25954198473283,1.0693951157732442,-4.15,0.09355775709795489,-2.004670283181544,14,0.095,trend_alignment,single
vwap_reversion,ES,25,4,2026-01-02,2026-07-01,292,0.4726027397260274,296.5,-278.5,1.0646319569120288,-6.7534246575342465,0.11032146017107473,-2.001586067165042,10,0.095,trend_alignment,single
vwap_reversion,ES,25,1,2024-07-08,2025-01-07,254,0.4409448818897638,296.5,-278.5,1.0646319569120288,-24.956692913385826,0.23930107485267785,-1.9582167521348919,12,0.095,volatility+trend_alignment,pair
vwap_reversion,ES,25,2,2025-01-08,2025-07-07,260,0.4461538461538462,296.5,-278.5,1.0646319569120288,-21.96153846153846,0.21790371812511822,-1.9677140831900586,7,0.095,volatility+trend_alignment,pair
vwap_reversion,ES,25,3,2025-07-08,2026-01-07,236,0.4745762711864407,296.5,-278.5,1.0646319569120288,-5.61864406779661,0.10247913885995326,-2.006575644347347,14,0.095,volatility+trend_alignment,pair
vwap_reversion,ES,25,4,2026-01-08,2026-07-07,261,0.45977011494252873,296.5,-278.5,1.0646319569120288,-14.132183908045977,0.16237766014715715,-1.9889337630554846,9,0.095,volatility+trend_alignment,pair
trend_pullback,ES,25,1,2024-07-02,2025-01-01,370,0.46756756756756757,296.5,-277.2309644670051,1.0695053511430115,-8.972972972972974,0.12613598118333394,-1.9922274492578282,9,0.095,baseline,baseline
trend_pullback,ES,25,2,2025-01-02,2025-07-01,373,0.5067024128686327,296.5,-278.5,1.0646319569120288,12.853887399463806,-0.026920440809360565,-2.0100821938276527,10,0.095,baseline,baseline
trend_pullback,ES,25,3,2025-07-02,2026-01-01,369,0.4634146341463415,296.5,-278.5,1.0646319569120288,-12.036585365853659,0.14733439428867684,-1.9891032396692403,8,0.095,baseline,baseline
trend_pullback,ES,25,4,2026-01-02,2026-07-01,379,0.39577836411609496,295.5833333333333,-278.5,1.061340514661879,-51.29023746701847,0.4295744942940298,-1.8235757818078335,15,0.09529116745611592,baseline,baseline
trend_pullback,ES,25,1,2024-07-03,2025-01-02,349,0.45558739255014324,296.5,-277.1842105263158,1.0696857495490364,-15.820916905444125,0.1744375708203878,-1.9780977427862045,9,0.095,volatility,single
trend_pullback,ES,25,2,2025-01-03,2025-07-02,326,0.4815950920245399,296.5,-278.5,1.0646319569120288,-1.5828220858895705,0.07401053401967286,-2.006872529047205,14,0.095,volatility,single
trend_pullback,ES,25,3,2025-07-03,2026-01-02,344,0.4738372093023256,296.5,-278.5,1.0646319569120288,-6.0436046511627906,0.10525423781727689,-2.0005869633114237,8,0.095,volatility,single
trend_pullback,ES,25,4,2026-01-03,2026-07-02,354,0.3926553672316384,296.5,-278.5,1.0646319569120288,-52.72316384180791,0.44150261723331796,-1.8153639066304286,13,0.095,volatility,single
trend_pullback,ES,25,1,2024-07-02,2025-01-01,364,0.47527472527472525,296.5,-278.5,1.0646319569120288,-5.217032967032967,0.09943246447658466,-2.0011388932994576,9,0.095,time_of_day,single
trend_pullback,ES,25,2,2025-01-02,2025-07-01,372,0.5080645161290323,296.5,-278.5,1.0646319569120288,13.637096774193548,-0.03239302484505634,-2.009785128324379,10,0.095,time_of_day,single
trend_pullback,ES,25,3,2025-07-02,2026-01-01,365,0.4547945205479452,296.5,-278.5,1.0646319569120288,-16.993150684931507,0.18231561075634514,-1.9776276041727643,8,0.095,time_of_day,single
trend_pullback,ES,25,4,2026-01-02,2026-07-01,374,0.39572192513368987,296.5,-278.5,1.0646319569120288,-50.95989304812834,0.4282099974108566,-1.8264320281748745,15,0.095,time_of_day,single
trend_pullback,ES,25,1,2024-07-03,2025-01-02,345,0.46956521739130436,296.5,-278.5,1.0646319569120288,-8.5,0.12249853401701051,-1.9966025162075396,9,0.095,volatility+time_of_day,pair
trend_pullback,ES,25,2,2025-01-03,2025-07-02,321,0.49221183800623053,296.5,-278.5,1.0646319569120288,4.521806853582555,0.03130289330634598,-2.0115926017098253,12,0.095,volatility+time_of_day,pair
trend_pullback,ES,25,3,2025-07-03,2026-01-02,339,0.471976401179941,296.5,-278.5,1.0646319569120288,-7.113569321533923,0.11277047052776931,-1.9991121086839658,8,0.095,volatility+time_of_day,pair
trend_pullback,ES,25,4,2026-01-03,2026-07-02,350,0.39714285714285713,296.5,-278.5,1.0646319569120288,-50.142857142857146,0.42223220995847255,-1.8322227235964315,13,0.095,volatility+time_of_day,pair
