strategy,instrument,filter,session,entry_ts,side,signal_price,entry_price,target_price,stop_price,target_ticks,stop_ticks,exit_ts,exit_price,reason,gross_pnl,pnl,theoretical_gross_win
trend_pullback,ES,volatility+time_of_day,2024-07-03,2024-07-03 14:26:00+00:00,-1,5571.5,5571.25,5565.25,5576.5,25,20,2024-07-03 14:47:00+00:00,5576.75,stop,-275.0,-278.5,312.5
trend_pullback,ES,volatility+time_of_day,2024-07-05,2024-07-05 14:10:00+00:00,-1,5587.75,5587.5,5581.5,5592.75,25,20,2024-07-05 14:13:00+00:00,5593.0,stop,-275.0,-278.5,312.5
trend_pullback,ES,volatility+time_of_day,2024-07-05,2024-07-05 14:14:00+00:00,-1,5592.25,5592.0,5586.0,5597.25,25,20,2024-07-05 14:31:00+00:00,5597.5,stop,-275.0,-278.5,312.5
trend_pullback,ES,volatility+time_of_day,2024-07-05,2024-07-05 14:48:00+00:00,1,5602.25,5602.5,5608.5,5597.25,25,20,2024-07-05 15:00:00+00:00,5597.0,stop,-275.0,-278.5,312.5
trend_pullback,ES,volatility+time_of_day,2024-07-08,2024-07-08 14:02:00+00:00,-1,5632.75,5632.5,5626.5,5637.75,25,20,2024-07-08 14:20:00+00:00,5626.5,target,300.0,296.5,312.5
trend_pullback,ES,volatility+time_of_day,2024-07-08,2024-07-08 14:22:00+00:00,-1,5628.0,5627.75,5621.75,5633.0,25,20,2024-07-08 15:38:00+00:00,5621.75,target,300.0,296.5,312.5
trend_pullback,ES,volatility+time_of_day,2024-07-08,2024-07-08 18:44:00+00:00,-1,5619.0,5618.75,5612.75,5624.0,25,20,2024-07-08 18:56:00+00:00,5624.25,stop,-275.0,-278.5,312.5
trend_pullback,ES,volatility+time_of_day,2024-07-09,2024-07-09 14:28:00+00:00,-1,5634.5,5634.25,5628.25,5639.5,25,20,2024-07-09 14:42:00+00:00,5639.75,stop,-275.0,-278.5,312.5
trend_pullback,ES,volatility+time_of_day,2024-07-09,2024-07-09 14:47:00+00:00,1,5642.25,5642.5,5648.5,5637.25,25,20,2024-07-09 14:56:00+00:00,5637.0,stop,-275.0,-278.5,312.5
trend_pullback,ES,volatility+time_of_day,2024-07-11,2024-07-11 14:04:00+00:00,1,5695.25,5695.5,5701.5,5690.25,25,20,2024-07-11 14:09:00+00:00,5690.0,stop,-275.0,-278.5,312.5
trend_pullback,ES,volatility+time_of_day,2024-07-11,2024-07-11 14:17:00+00:00,-1,5677.0,5676.75,5670.75,5682.0,25,20,2024-07-11 14:18:00+00:00,5670.75,target,300.0,296.5,312.5
trend_pullback,ES,volatility+time_of_day,2024-07-11,2024-07-11 14:19:00+00:00,-1,5670.5,5670.25,5664.25,5675.5,25,20,2024-07-11 14:31:00+00:00,5675.75,stop,-275.0,-278.5,312.5
trend_pullback,ES,volatility+time_of_day,2024-07-12,2024-07-12 14:05:00+00:00,1,5661.0,5661.25,5667.25,5656.0,25,20,2024-07-12 14:10:00+00:00,5667.25,target,300.0,296.5,312.5
trend_pullback,ES,volatility+time_of_day,2024-07-12,2024-07-12 14:14:00+00:00,1,5667.25,5667.5,5673.5,5662.25,25,20,2024-07-12 14:33:00+00:00,5673.5,target,300.0,296.5,312.5
trend_pullback,ES,volatility+time_of_day,2024-07-12,2024-07-12 15:12:00+00:00,1,5686.75,5687.0,5693.0,5681.75,25,20,2024-07-12 15:59:00+00:00,5681.5,stop,-275.0,-278.5,312.5
trend_pullback,ES,volatility+time_of_day,2024-07-15,2024-07-15 13:46:00+00:00,-1,5684.75,5684.5,5678.5,5689.75,25,20,2024-07-15 13:48:00+00:00,5690.0,stop,-275.0,-278.5,312.5
trend_pullback,ES,volatility+time_of_day,2024-07-15,2024-07-15 13:50:00+00:00,-1,5685.5,5685.25,5679.25,5690.5,25,20,2024-07-15 13:53:00+00:00,5690.75,stop,-275.0,-278.5,312.5
trend_pullback,ES,volatility+time_of_day,2024-07-15,2024-07-15 15:00:00+00:00,1,5709.25,5709.5,5715.5,5704.25,25,20,2024-07-15 15:13:00+00:00,5715.5,target,300.0,296.5,312.5
trend_pullback,ES,volatility+time_of_day,2024-07-16,2024-07-16 13:47:00+00:00,1,5704.75,5705.0,5711.0,5699.75,25,20,2024-07-16 13:49:00+00:00,5699.5,stop,-275.0,-278.5,312.5
trend_pullback,ES,volatility+time_of_day,2024-07-16,2024-07-16 14:07:00+00:00,-1,5694.0,5693.75,5687.75,5699.0,25,20,2024-07-16 14:31:00+00:00,5699.25,stop,-275.0,-278.5,312.5
trend_pullback,ES,volatility+time_of_day,2024-07-16,2024-07-16 14:43:00+00:00,1,5703.75,5704.0,5710.0,5698.75,25,20,2024-07-16 15:01:00+00:00,5698.5,stop,-275.0,-278.5,312.5
trend_pullback,ES,volatility+time_of_day,2024-07-17,2024-07-17 13:53:00+00:00,1,5670.0,5670.25,5676.25,5665.0,25,20,2024-07-17 14:00:00+00:00,5664.75,stop,-275.0,-278.5,312.5
trend_pullback,ES,volatility+time_of_day,2024-07-17,2024-07-17 14:02:00+00:00,-1,5659.0,5658.75,5652.75,5664.0,25,20,2024-07-17 14:07:00+00:00,5652.75,target,300.0,296.5,312.5
trend_pullback,ES,volatility+time_of_day,2024-07-17,2024-07-17 14:10:00+00:00,-1,5648.5,5648.25,5642.25,5653.5,25,20,2024-07-17 14:13:00+00:00,5653.75,stop,-275.0,-278.5,312.5
trend_pullback,ES,volatility+time_of_day,2024-07-18,2024-07-18 14:01:00+00:00,1,5653.5,5653.75,5659.75,5648.5,25,20,2024-07-18 14:06:00+00:00,5659.75,target,300.0,296.5,312.5
trend_pullback,ES,volatility+time_of_day,2024-07-18,2024-07-18 14:09:00+00:00,1,5660.75,5661.0,5667.0,5655.75,25,20,2024-07-18 14:20:00+00:00,5655.5,stop,-275.0,-278.5,312.5
trend_pullback,ES,volatility+time_of_day,2024-07-18,2024-07-18 14:33:00+00:00,-1,5641.5,5641.25,5635.25,5646.5,25,20,2024-07-18 14:35:00+00:00,5635.25,target,300.0,296.5,312.5
trend_pullback,ES,volatility+time_of_day,2024-07-19,2024-07-19 14:21:00+00:00,-1,5587.75,5587.5,5581.5,5592.75,25,20,2024-07-19 14:26:00+00:00,5581.5,target,300.0,296.5,312.5
trend_pullback,ES,volatility+time_of_day,2024-07-19,2024-07-19 14:31:00+00:00,-1,5574.5,5574.25,5568.25,5579.5,25,20,2024-07-19 14:38:00+00:00,5579.75,stop,-275.0,-278.5,312.5
trend_pullback,ES,volatility+time_of_day,2024-07-19,2024-07-19 14:50:00+00:00,-1,5573.5,5573.25,5567.25,5578.5,25,20,2024-07-19 14:54:00+00:00,5578.75,stop,-275.0,-278.5,312.5
trend_pullback,ES,volatility+time_of_day,2024-07-22,2024-07-22 13:45:00+00:00,1,5601.75,5602.0,5608.0,5596.75,25,20,2024-07-22 13:57:00+00:00,5596.5,stop,-275.0,-278.5,312.5
trend_pullback,ES,volatility+time_of_day,2024-07-22,2024-07-22 13:59:00+00:00,-1,5590.0,5589.75,5583.75,5595.0,25,20,2024-07-22 14:01:00+00:00,5583.75,target,300.0,296.5,312.5
trend_pullback,ES,volatility+time_of_day,2024-07-22,2024-07-22 14:02:00+00:00,-1,5583.5,5583.25,5577.25,5588.5,25,20,2024-07-22 14:09:00+00:00,5577.25,target,300.0,296.5,312.5
trend_pullback,ES,volatility+time_of_day,2024-07-23,2024-07-23 13:46:00+00:00,1,5616.5,5616.75,5622.75,5611.5,25,20,2024-07-23 13:54:00+00:00,5611.25,stop,-275.0,-278.5,312.5
trend_pullback,ES,volatility+time_of_day,2024-07-23,2024-07-23 14:04:00+00:00,1,5619.75,5620.0,5626.0,5614.75,25,20,2024-07-23 14:21:00+00:00,5626.0,target,300.0,296.5,312.5
trend_pullback,ES,volatility+time_of_day,2024-07-23,2024-07-23 14:44:00+00:00,-1,5615.75,5615.5,5609.5,5620.75,25,20,2024-07-23 14:47:00+00:00,5609.5,target,300.0,296.5,312.5
trend_pullback,ES,volatility+time_of_day,2024-07-24,2024-07-24 13:52:00+00:00,-1,5531.75,5531.5,5525.5,5536.75,25,20,2024-07-24 13:56:00+00:00,5525.5,target,300.0,296.5,312.5
trend_pullback,ES,volatility+time_of_day,2024-07-24,2024-07-24 14:00:00+00:00,-1,5525.5,5525.25,5519.25,5530.5,25,20,2024-07-24 14:09:00+00:00,5519.25,target,300.0,296.5,312.5
trend_pullback,ES,volatility+time_of_day,2024-07-24,2024-07-24 14:15:00+00:00,-1,5514.75,5514.5,5508.5,5519.75,25,20,2024-07-24 14:22:00+00:00,5520.0,stop,-275.0,-278.5,312.5
trend_pullback,ES,volatility+time_of_day,2024-07-25,2024-07-25 13:54:00+00:00,-1,5465.5,5465.25,5459.25,5470.5,25,20,2024-07-25 13:57:00+00:00,5459.25,target,300.0,296.5,312.5
trend_pullback,ES,volatility+time_of_day,2024-07-25,2024-07-25 14:00:00+00:00,-1,5450.5,5450.25,5444.25,5455.5,25,20,2024-07-25 14:03:00+00:00,5444.25,target,300.0,296.5,312.5
trend_pullback,ES,volatility+time_of_day,2024-07-25,2024-07-25 14:06:00+00:00,-1,5445.25,5445.0,5439.0,5450.25,25,20,2024-07-25 14:09:00+00:00,5439.0,target,300.0,296.5,312.5
