strategy,instrument,filter,session,entry_ts,side,signal_price,entry_price,target_price,stop_price,target_ticks,stop_ticks,exit_ts,exit_price,reason,gross_pnl,pnl,theoretical_gross_win
vwap_reversion,ES,trend_alignment,2024-07-02,2024-07-02 13:55:00+00:00,1,5527.75,5528.0,5534.0,5522.75,25,20,2024-07-02 14:04:00+00:00,5534.0,target,300.0,296.5,312.5
vwap_reversion,ES,trend_alignment,2024-07-02,2024-07-02 14:10:00+00:00,1,5524.75,5525.0,5531.0,5519.75,25,20,2024-07-02 14:14:00+00:00,5531.0,target,300.0,296.5,312.5
vwap_reversion,ES,trend_alignment,2024-07-02,2024-07-02 14:15:00+00:00,1,5526.75,5527.0,5533.0,5521.75,25,20,2024-07-02 14:30:00+00:00,5533.0,target,300.0,296.5,312.5
vwap_reversion,ES,trend_alignment,2024-07-08,2024-07-08 14:20:00+00:00,-1,5628.5,5628.25,5622.25,5633.5,25,20,2024-07-08 15:38:00+00:00,5622.25,target,300.0,296.5,312.5
vwap_reversion,ES,trend_alignment,2024-07-08,2024-07-08 15:41:00+00:00,-1,5624.75,5624.5,5618.5,5629.75,25,20,2024-07-08 16:09:00+00:00,5618.5,target,300.0,296.5,312.5
vwap_reversion,ES,trend_alignment,2024-07-08,2024-07-08 17:32:00+00:00,-1,5624.75,5624.5,5618.5,5629.75,25,20,2024-07-08 18:42:00+00:00,5618.5,target,300.0,296.5,312.5
vwap_reversion,ES,trend_alignment,2024-07-09,2024-07-09 14:06:00+00:00,-1,5635.0,5634.75,5628.75,5640.0,25,20,2024-07-09 14:11:00+00:00,5640.25,stop,-275.0,-278.5,312.5
vwap_reversion,ES,trend_alignment,2024-07-09,2024-07-09 14:24:00+00:00,-1,5635.0,5634.75,5628.75,5640.0,25,20,2024-07-09 14:42:00+00:00,5640.25,stop,-275.0,-278.5,312.5
vwap_reversion,ES,trend_alignment,2024-07-09,2024-07-09 15:04:00+00:00,-1,5635.75,5635.5,5629.5,5640.75,25,20,2024-07-09 16:09:00+00:00,5641.0,stop,-275.0,-278.5,312.5
vwap_reversion,ES,trend_alignment,2024-07-10,2024-07-10 14:55:00+00:00,-1,5642.5,5642.25,5636.25,5647.5,25,20,2024-07-10 15:24:00+00:00,5647.75,stop,-275.0,-278.5,312.5
vwap_reversion,ES,trend_alignment,2024-07-15,2024-07-15 13:45:00+00:00,-1,5686.5,5686.25,5680.25,5691.5,25,20,2024-07-15 13:48:00+00:00,5691.75,stop,-275.0,-278.5,312.5
vwap_reversion,ES,trend_alignment,2024-07-15,2024-07-15 13:49:00+00:00,-1,5688.75,5688.5,5682.5,5693.75,25,20,2024-07-15 14:04:00+00:00,5694.0,stop,-275.0,-278.5,312.5
vwap_reversion,ES,trend_alignment,2024-07-15,2024-07-15 17:03:00+00:00,-1,5684.0,5683.75,5677.75,5689.0,25,20,2024-07-15 17:05:00+00:00,5689.25,stop,-275.0,-278.5,312.5
vwap_reversion,ES,trend_alignment,2024-07-16,2024-07-16 14:02:00+00:00,-1,5696.25,5696.0,5690.0,5701.25,25,20,2024-07-16 14:39:00+00:00,5701.5,stop,-275.0,-278.5,312.5
vwap_reversion,ES,trend_alignment,2024-07-16,2024-07-16 15:31:00+00:00,-1,5697.75,5697.5,5691.5,5702.75,25,20,2024-07-16 15:52:00+00:00,5703.0,stop,-275.0,-278.5,312.5
