session,c0,p1530,p1600,r_rod,side,gross,pnl,traded,always_long_pnl,r_onfh,onfh_pnl,notional
2024-07-02,5533.75,5558.75,5569.5,0.004517732098486604,1,537.5,509.0,True,509.0,-0.0005873051728032541,-566.0,277937.5
2024-07-05,5588.5,5619.0,5622.0,0.0054576362172318316,1,150.0,121.5,True,121.5,0.0021025319853269497,121.5,280950.0
2024-07-08,5622.0,5620.0,5627.5,-0.0003557452863749422,-1,-375.0,-403.5,True,346.5,0.0023568125222341862,346.5,281000.0
2024-07-09,5627.5,5631.0,5631.75,0.0006219458018659196,1,37.5,9.0,True,9.0,0.002221235006663713,9.0,281550.0
2024-07-10,5631.75,5673.75,5686.25,0.007457717405779718,1,625.0,596.5,True,596.5,0.0024859058019266467,596.5,283687.5
2024-07-11,5686.25,5637.5,5636.0,-0.008573312816003487,-1,75.0,46.5,True,-103.5,0.0010551769619697726,-103.5,281875.0
2024-07-12,5636.0,5699.25,5670.25,0.01122249822569188,1,-1450.0,-1478.5,True,-1478.5,0.004036550745209366,-1478.5,284962.5
2024-07-15,5670.25,5690.75,5685.5,0.0036153608747409027,1,-262.5,-291.0,True,-291.0,0.0032626427406199365,-291.0,284537.5
2024-07-16,5685.5,5714.0,5717.75,0.005012751736874543,1,187.5,159.0,True,159.0,0.0025943188813648543,159.0,285700.0
2024-07-17,5717.75,5648.5,5637.25,-0.012111407459227896,-1,562.5,534.0,True,-591.0,-0.009094486467579044,534.0,282425.0
2024-07-18,5637.25,5580.5,5593.25,-0.010066965275622008,-1,-637.5,-666.0,True,609.0,0.0031043505255221593,609.0,279025.0
2024-07-19,5593.25,5564.0,5553.75,-0.005229517722254551,-1,512.5,484.0,True,-541.0,0.0,0.0,278200.0
2024-07-22,5553.75,5608.5,5609.5,0.009858203916272679,1,50.0,21.5,True,21.5,0.00652712131442712,21.5,280425.0
2024-07-23,5609.5,5614.0,5598.75,0.0008022105356984,1,-762.5,-791.0,True,-791.0,0.0014261520634637481,-791.0,280700.0
2024-07-24,5598.75,5475.75,5471.75,-0.021969189551239166,-1,200.0,171.5,True,-228.5,-0.012770707747264964,171.5,273787.5
2024-07-25,5471.75,5489.5,5441.25,0.0032439347557911002,1,-2412.5,-2441.0,True,-2441.0,-0.0027413533147530034,2384.0,274475.0
2024-07-26,5441.25,5503.25,5499.25,0.011394440615667412,1,-200.0,-228.5,True,-228.5,0.007856650585802871,-228.5,275162.5
2024-07-29,5499.25,5509.25,5503.0,0.0018184297858798715,1,-312.5,-341.0,True,-341.0,0.003909624039641679,-341.0,275462.5
2024-07-30,5503.0,5470.5,5472.75,-0.005905869525713259,-1,-112.5,-141.0,True,84.0,0.0025440668726148807,84.0,273525.0
2024-07-31,5472.75,5549.5,5556.5,0.014024028139417943,1,350.0,321.5,True,321.5,0.012425197569777557,321.5,277475.0
