session,c0,p1530,p1600,r_rod,side,gross,pnl,traded,always_long_pnl,r_onfh,onfh_pnl,notional
2026-07-01,7544.75,7553.75,7542.0,0.0011928824679412475,1,-587.5,-616.0,True,-616.0,-0.001126611219722351,559.0,377687.5
2026-07-02,7542.0,7502.5,7526.25,-0.005237337576239676,-1,-1187.5,-1216.0,True,1159.0,0.006198621055423015,1159.0,375125.0
2026-07-06,7557.0,7600.75,7593.75,0.005789334391954393,1,-350.0,-378.5,True,-378.5,0.0009262935027127828,-378.5,380037.5
2026-07-07,7593.75,7544.25,7553.0,-0.006518518518518479,-1,-437.5,-466.0,True,409.0,-0.0036213991769546983,-466.0,377212.5
2026-07-08,7553.0,7526.75,7526.5,-0.0034754402224281833,-1,12.5,-16.0,True,-41.0,-0.004931815172779075,-16.0,376337.5
2026-07-09,7526.5,7585.0,7590.5,0.007772537035806826,1,275.0,246.5,True,246.5,0.004617019863150107,246.5,379250.0
2026-07-10,7590.5,7622.75,7621.0,0.004248731967591013,1,-87.5,-116.0,True,-116.0,0.0014491798959226365,-116.0,381137.5
2026-07-13,7621.0,7555.0,7563.25,-0.008660280803044262,-1,-412.5,-441.0,True,384.0,-0.0017714210733499325,-441.0,377750.0
2026-07-14,7563.25,7591.5,7590.0,0.0037351667603213734,1,-75.0,-103.5,True,-103.5,0.002677420421115295,-103.5,379575.0
2026-07-15,7590.0,7606.5,7617.0,0.0021739130434783593,1,525.0,496.5,True,496.5,0.0032279314888010724,496.5,380325.0
2026-07-16,7617.0,7560.25,7577.0,-0.007450439805697817,-1,-837.5,-866.0,True,809.0,-0.003807273204673778,-866.0,378012.5
2026-07-17,7577.0,7496.75,7496.75,-0.010591263032862619,-1,-0.0,-28.5,True,-28.5,-0.008347630988517873,-28.5,374837.5
2026-07-20,7496.75,7490.5,7486.0,-0.0008336946009938062,-1,225.0,196.5,True,-253.5,0.003168039483776308,-253.5,374525.0
2026-07-21,7486.0,7545.75,7545.75,0.00798156558909957,1,0.0,-28.5,True,-28.5,0.004074271974352062,-28.5,377287.5
2026-07-22,7545.75,7542.5,7536.5,-0.0004307060265712481,-1,300.0,271.5,True,-328.5,0.0005300997250108352,-328.5,377125.0
2026-07-23,7536.5,7436.25,7444.0,-0.013301930604391998,-1,-387.5,-416.0,True,359.0,-0.01071452265640549,-416.0,371812.5
2026-07-24,7444.0,7435.5,7447.75,-0.0011418592154756046,-1,-612.5,-641.0,True,584.0,-0.0014105319720579823,-641.0,371775.0
2026-07-27,7447.75,7454.75,7449.25,0.000939881172166146,1,-275.0,-303.5,True,-303.5,0.0035245543956228254,-303.5,372737.5
2026-07-28,7449.25,7475.0,7466.0,0.0034567238312581683,1,-450.0,-478.5,True,-478.5,-0.003658086384535353,421.5,373750.0
2026-07-29,7466.0,7405.5,7350.25,-0.008103402089472245,-1,2762.5,2734.0,True,-2791.0,-0.004821859094562009,2734.0,370275.0
2026-07-30,7350.25,7471.5,7472.75,0.01649603754974316,1,62.5,34.0,True,34.0,0.012176456583109507,34.0,373575.0
2026-07-31,7472.75,7526.75,7520.0,0.007226255394600312,1,-337.5,-366.0,True,-366.0,-0.00026763908868887576,309.0,376337.5
2026-08-03,7520.0,7635.5,7628.5,0.015359042553191538,1,-350.0,-378.5,True,-378.5,0.009042553191489278,-378.5,381775.0
2026-08-04,7628.5,7775.0,7764.25,0.01920429966572712,1,-537.5,-566.0,True,-566.0,0.007471980074719831,-566.0,388750.0
2026-08-05,7764.25,7769.25,7747.75,0.000643977203206969,1,-1075.0,-1103.5,True,-1103.5,0.007083749235277104,-1103.5,388462.5
2026-08-06,7747.75,7736.5,7735.25,-0.0014520344616179015,-1,62.5,34.0,True,-91.0,0.0014843018940982056,-91.0,386825.0
2026-08-07,7735.25,7778.25,7778.5,0.005558967066352061,1,12.5,-16.0,True,-16.0,0.00294108141301197,-16.0,388912.5
2026-08-10,7778.5,7775.75,7778.0,-0.00035353859998710213,-1,-112.5,-141.0,True,84.0,0.00028925885453490174,84.0,388787.5
2026-08-11,7778.0,7751.75,7749.75,-0.0033749035741835742,-1,100.0,71.5,True,-128.5,0.0005142710208279055,-128.5,387587.5
2026-08-12,7749.75,7774.5,7769.5,0.0031936514081098988,1,-250.0,-278.5,True,-278.5,0.002677505725991125,-278.5,388725.0
2026-08-13,7769.5,7825.0,7823.25,0.007143316815753975,1,-87.5,-116.0,True,-116.0,0.006596306068601621,-116.0,391250.0
2026-08-14,7823.25,7804.25,7805.5,-0.0024286581663630624,-1,-62.5,-91.0,True,34.0,0.0003834723420572672,34.0,390212.5
2026-08-17,7805.5,7772.0,7768.75,-0.0042918454935622075,-1,162.5,134.0,True,-191.0,-0.001441291397091815,134.0,388600.0
2026-08-18,7768.75,7720.75,7715.25,-0.006178600160900993,-1,275.0,246.5,True,-303.5,-0.005663716814159336,246.5,386037.5
2026-08-19,7715.25,7735.75,7731.25,0.0026570752729981884,1,-225.0,-253.5,True,-253.5,0.0031431256278149355,-253.5,386787.5
2026-08-20,7731.25,7673.25,7665.25,-0.007502021018593319,-1,400.0,371.5,True,-428.5,-0.0035569927243330746,371.5,383662.5
2026-08-21,7665.25,7695.5,7691.75,0.003946381396562337,1,-187.5,-216.0,True,-216.0,0.001989498059423944,-216.0,384775.0
2026-08-24,7691.75,7674.25,7669.5,-0.0022751649494587856,-1,237.5,209.0,True,-266.0,-0.003022719147138142,209.0,383712.5
2026-08-25,7669.5,7684.5,7691.0,0.0019557989438685475,1,325.0,296.5,True,296.5,0.0026729252232871037,296.5,384225.0
2026-08-26,7691.0,7701.5,7692.25,0.0013652320894552705,1,-462.5,-491.0,True,-491.0,0.001332726563515907,-491.0,385075.0
2026-08-27,7692.25,7730.75,7741.25,0.005005037537781476,1,525.0,496.5,True,496.5,0.002990022425168215,496.5,386537.5
2026-08-28,7741.25,7724.5,7722.5,-0.0021637332472146387,-1,100.0,71.5,True,-128.5,0.0006458905215565025,-128.5,386225.0
2026-08-31,7722.5,7694.25,7698.0,-0.0036581417934606897,-1,-187.5,-216.0,True,159.0,-0.004273227581741645,-216.0,384712.5
2026-09-01,7698.0,7640.75,7644.25,-0.007436996622499303,-1,-175.0,-203.5,True,146.5,-0.006625097427903404,-203.5,382037.5
2026-09-02,7644.25,7681.0,7678.25,0.004807535075383562,1,-137.5,-166.0,True,-166.0,0.001635216012035201,-166.0,384050.0
2026-09-03,7678.25,7759.75,7756.25,0.010614397812001464,1,-175.0,-203.5,True,-203.5,0.005697912935890281,-203.5,387987.5
2026-09-04,7756.25,7722.0,7723.75,-0.004415793714746208,-1,-87.5,-116.0,True,59.0,-0.0014504431909749815,-116.0,386100.0
2026-09-08,7708.75,7690.75,7681.0,-0.002335008918436854,-1,487.5,459.0,True,-516.0,-0.0017836873682504084,459.0,384537.5
2026-09-09,7681.0,7651.25,7644.75,-0.0038731935945840457,-1,325.0,296.5,True,-353.5,-0.002603827626611155,296.5,382562.5
2026-09-10,7644.75,7595.75,7598.75,-0.006409627522155681,-1,-150.0,-178.5,True,121.5,-0.007586906046633257,-178.5,379787.5
2026-09-11,7598.75,7667.75,7658.75,0.009080440861983785,1,-450.0,-478.5,True,-478.5,0.010824148708669101,-478.5,383387.5
2026-09-14,7658.75,7702.0,7692.5,0.005647135629182287,1,-475.0,-503.5,True,-503.5,0.0031989554431206546,-503.5,385100.0
2026-09-15,7692.5,7652.5,7656.75,-0.005199870003249951,-1,-212.5,-241.0,True,184.0,-0.0018524536886578291,-241.0,382625.0
2026-09-16,7656.75,7591.75,7622.25,-0.008489241518921165,-1,-1525.0,-1553.5,True,1496.5,0.00359160218108201,1496.5,379587.5
2026-09-17,7622.25,7706.75,7707.5,0.011085965430155165,1,37.5,9.0,True,9.0,0.009380432287054319,9.0,385337.5
2026-09-18,7707.5,7706.25,7712.25,-0.00016217969510212704,-1,-300.0,-328.5,True,271.5,-0.001881284463185251,-328.5,385312.5
