session,c0,p1530,p1600,r_rod,side,gross,pnl,traded,always_long_pnl,r_onfh,onfh_pnl,notional
2024-07-02,5533.75,5558.5,5569.5,0.004472554777501747,1,55.0,51.5,True,51.5,-0.0005873051728032541,-58.5,27792.5
2024-07-05,5588.5,5618.75,5622.0,0.005412901494139755,1,16.25,12.75,True,12.75,0.0021025319853269497,12.75,28093.75
2024-07-08,5622.0,5620.25,5627.25,-0.00031127712557810217,-1,-35.0,-38.5,True,31.5,0.002312344361437235,31.5,28101.25
2024-07-09,5627.25,5631.25,5632.0,0.0007108267803990209,1,3.75,0.25,True,0.25,0.002310187036296485,0.25,28156.25
2024-07-10,5632.0,5673.75,5686.25,0.007412997159090828,1,62.5,59.0,True,59.0,0.002397017045454586,59.0,28368.75
2024-07-11,5686.25,5637.5,5636.25,-0.008573312816003487,-1,6.25,2.75,True,-9.75,0.0010112112552209673,-9.75,28187.5
2024-07-12,5636.25,5699.0,5670.25,0.011133288977600353,1,-143.75,-147.25,True,-147.25,0.003947660235085415,-147.25,28495.0
2024-07-15,5670.25,5691.0,5685.25,0.00365945064150619,1,-28.75,-32.25,True,-32.25,0.0032626427406199365,-32.25,28455.0
2024-07-16,5685.25,5714.0,5718.0,0.00505694560485459,1,20.0,16.5,True,16.5,0.002638406402532878,16.5,28570.0
2024-07-17,5718.0,5648.5,5637.5,-0.012154599510318276,-1,55.0,51.5,True,-58.5,-0.009137810423224924,51.5,28242.5
2024-07-18,5637.5,5580.5,5593.0,-0.010110864745011106,-1,-62.5,-66.0,True,59.0,0.0030598669623060903,59.0,27902.5
2024-07-19,5593.0,5563.75,5554.0,-0.005229751475058109,-1,48.75,45.25,True,-52.25,8.939746111202851e-05,-52.25,27818.75
2024-07-22,5554.0,5608.5,5609.75,0.009812747569319491,1,6.25,2.75,True,2.75,0.006481814908174233,2.75,28042.5
2024-07-23,5609.75,5614.0,5599.0,0.0007576095191408339,1,-75.0,-78.5,True,-78.5,0.001336957974954256,-78.5,28070.0
2024-07-24,5599.0,5476.0,5472.0,-0.021968208608680095,-1,20.0,16.5,True,-23.5,-0.012859439185568866,16.5,27380.0
2024-07-25,5472.0,5489.5,5441.25,0.0031980994152047693,1,-241.25,-244.75,True,-244.75,-0.0027869152046783308,237.75,27447.5
2024-07-26,5441.25,5503.25,5499.25,0.011394440615667412,1,-20.0,-23.5,True,-23.5,0.007948541235929252,-23.5,27516.25
2024-07-29,5499.25,5509.25,5503.0,0.0018184297858798715,1,-31.25,-34.75,True,-34.75,0.003955084784288854,-34.75,27546.25
2024-07-30,5503.0,5470.5,5473.0,-0.005905869525713259,-1,-12.5,-16.0,True,9.0,0.0025440668726148807,9.0,27352.5
