session,c0,p1530,p1600,r_rod,side,gross,pnl,traded,always_long_pnl,r_onfh,onfh_pnl,notional
2026-07-01,7544.75,7553.75,7542.0,0.0011928824679412475,1,-58.75,-62.25,True,-62.25,-0.0011597468438317993,55.25,37768.75
2026-07-02,7542.0,7502.5,7526.25,-0.005237337576239676,-1,-118.75,-122.25,True,115.25,0.006198621055423015,115.25,37512.5
2026-07-06,7557.25,7600.75,7593.5,0.005756062059611544,1,-36.25,-39.75,True,-39.75,0.000959343676601998,-39.75,38003.75
2026-07-07,7593.5,7544.25,7553.25,-0.006485810232435663,-1,-45.0,-48.5,True,41.5,-0.003555672614736327,-48.5,37721.25
2026-07-08,7553.25,7526.75,7526.75,-0.0035084235262966557,-1,-0.0,-3.5,True,-3.5,-0.0049647502730613136,-3.5,37633.75
2026-07-09,7526.75,7585.0,7590.5,0.007739064005048757,1,27.5,24.0,True,24.0,0.004583651642475095,24.0,37925.0
2026-07-10,7590.5,7622.75,7621.0,0.004248731967591013,1,-8.75,-12.25,True,-12.25,0.0014491798959226365,-12.25,38113.75
2026-07-13,7621.0,7554.75,7563.0,-0.008693084896995162,-1,-41.25,-44.75,True,37.75,-0.0018042251673008325,-44.75,37773.75
2026-07-14,7563.0,7591.5,7590.0,0.00376834589448638,1,-7.5,-11.0,True,-11.0,0.002710564590770792,-11.0,37957.5
2026-07-15,7590.0,7606.25,7617.0,0.0021409749670620037,1,53.75,50.25,True,50.25,0.0032279314888010724,50.25,38031.25
2026-07-16,7617.0,7560.5,7577.0,-0.007417618484967803,-1,-82.5,-86.0,True,79.0,-0.003807273204673778,-86.0,37802.5
2026-07-17,7577.0,7496.75,7496.75,-0.010591263032862619,-1,-0.0,-3.5,True,-3.5,-0.008314636399630482,-3.5,37483.75
2026-07-20,7496.75,7490.75,7485.75,-0.0008003468169540673,-1,25.0,21.5,True,-28.5,0.0031346916997365692,-28.5,37453.75
2026-07-21,7485.75,7545.5,7545.75,0.007981832147747392,1,1.25,-2.25,True,-2.25,0.004107804829175388,-2.25,37727.5
2026-07-22,7545.75,7542.5,7536.75,-0.0004307060265712481,-1,28.75,25.25,True,-32.25,0.0005632309578238459,-32.25,37712.5
2026-07-23,7536.75,7436.25,7444.0,-0.013334660165190582,-1,-38.75,-42.25,True,35.25,-0.010747338043586407,-42.25,37181.25
2026-07-24,7444.0,7435.75,7448.0,-0.0011082751209027242,-1,-61.25,-64.75,True,57.75,-0.0014777001612036322,-64.75,37178.75
2026-07-27,7448.0,7454.75,7449.25,0.0009062835660580415,1,-27.5,-31.0,True,-31.0,0.003457303974221171,-31.0,37273.75
2026-07-28,7449.25,7475.25,7466.25,0.00349028425680431,1,-45.0,-48.5,True,-48.5,-0.0036916468100816058,41.5,37376.25
2026-07-29,7466.25,7405.5,7350.25,-0.008136614766449002,-1,276.25,272.75,True,-279.75,-0.0048551816507617085,272.75,37027.5
