session,c0,p1530,p1600,r_rod,side,gross,pnl,traded,always_long_pnl,r_onfh,onfh_pnl,notional
2026-07-01,52666.0,52695.0,52661.0,0.0005506398815173785,1,-17.0,-19.0,True,-19.0,-0.0005316522993962236,15.0,26347.5
2026-07-02,52661.0,52957.0,53172.0,0.005620857940411339,1,107.5,105.5,True,105.5,0.0071210193501831665,105.5,26478.5
2026-07-06,53161.0,53302.0,53383.0,0.0026523203100017323,1,40.5,38.5,True,38.5,-0.0017682135400011179,-42.5,26651.0
2026-07-07,53383.0,53146.0,53209.0,-0.0044396156079651306,-1,-31.5,-33.5,True,29.5,-0.00026225577431016056,-33.5,26573.0
2026-07-08,53209.0,52634.0,52622.0,-0.010806442519122661,-1,6.0,4.0,True,-8.0,-0.010355391005281045,4.0,26317.0
2026-07-09,52622.0,52714.0,52770.0,0.0017483181939113024,1,28.0,26.0,True,26.0,0.0010451902246209066,26.0,26357.0
2026-07-10,52770.0,52966.0,52916.0,0.003714231570968396,1,-25.0,-27.0,True,-27.0,0.0008527572484366974,-27.0,26483.0
2026-07-13,52916.0,52706.0,52764.0,-0.003968553934537766,-1,-29.0,-31.0,True,27.0,0.0031748431476301686,27.0,26353.0
2026-07-14,52764.0,52798.0,52782.0,0.0006443787430823189,1,-8.0,-10.0,True,-10.0,0.0010613296944885775,-10.0,26399.0
2026-07-15,52782.0,52886.0,52915.0,0.0019703686862946324,1,14.5,12.5,True,12.5,0.0031071198514645015,12.5,26443.0
2026-07-16,52915.0,52691.0,52783.0,-0.004233204195407736,-1,-46.0,-48.0,True,44.0,-0.0009260134177454526,-48.0,26345.5
2026-07-17,52783.0,52371.0,52373.0,-0.007805543451490093,-1,-1.0,-3.0,True,-1.0,-0.0013640755546293626,-3.0,26185.5
2026-07-20,52373.0,52083.0,52078.0,-0.005537204284650543,-1,2.5,0.5,True,-4.5,-0.001050159433295783,0.5,26041.5
2026-07-21,52078.0,52454.0,52442.0,0.007219939321786661,1,-6.0,-8.0,True,-8.0,0.002726679211951355,-8.0,26227.0
2026-07-22,52442.0,52439.0,52426.0,-5.720605621450936e-05,-1,6.5,4.5,True,-8.5,0.0038518744517752612,-8.5,26219.5
2026-07-23,52426.0,51893.0,51891.0,-0.010166711173845044,-1,1.0,-1.0,True,-3.0,-0.010471903254110515,-1.0,25946.5
2026-07-24,51891.0,52059.0,52128.0,0.0032375556454875554,1,34.5,32.5,True,32.5,0.001811489468308558,32.5,26029.5
2026-07-27,52128.0,52383.0,52382.0,0.004891804788213605,1,-0.5,-2.5,True,-2.5,0.008670963781461039,-2.5,26191.5
2026-07-28,52382.0,52976.0,52944.0,0.011339773204535941,1,-16.0,-18.0,True,-18.0,0.0066625940208469014,-18.0,26488.0
2026-07-29,52944.0,52004.0,51760.0,-0.017754608643094638,-1,122.0,120.0,True,-124.0,-0.012069356300997258,120.0,26002.0
2026-07-30,51760.0,52383.0,52376.0,0.012036321483771317,1,-3.5,-5.5,True,-5.5,0.006472179289026325,-5.5,26191.5
2026-07-31,52376.0,52704.0,52637.0,0.0062624102642432344,1,-33.5,-35.5,True,-35.5,-0.0006873377119290813,31.5,26352.0
2026-08-03,52637.0,53333.0,53335.0,0.013222638068278947,1,1.0,-1.0,True,-1.0,0.012177745692193653,-1.0,26666.5
2026-08-04,53335.0,54332.0,54253.0,0.018693165838567616,1,-39.5,-41.5,True,-41.5,0.009843442392425183,-41.5,27166.0
2026-08-05,54253.0,54618.0,54488.0,0.006727738558236496,1,-65.0,-67.0,True,-67.0,0.011409507308351552,-67.0,27309.0
2026-08-06,54488.0,54021.0,54018.0,-0.00857069446483627,-1,1.5,-0.5,True,-3.5,-0.0009359859051534247,-0.5,27010.5
2026-08-07,54018.0,54174.0,54143.0,0.0028879262468066713,1,-15.5,-17.5,True,-17.5,0.001018179125476637,-17.5,27087.0
2026-08-10,54143.0,53979.0,54064.0,-0.0030290157545758145,-1,-42.5,-44.5,True,40.5,-0.0016807343516244133,-44.5,26989.5
2026-08-11,54064.0,53905.0,53892.0,-0.002940958863569154,-1,6.5,4.5,True,-8.5,0.003902781888132534,-8.5,26952.5
2026-08-12,53892.0,53915.0,53867.0,0.00042677948489577844,1,-24.0,-26.0,True,-26.0,-0.00011133377866845429,22.0,26957.5
2026-08-13,53867.0,53923.0,53936.0,0.0010395975272430302,1,6.5,4.5,True,4.5,0.0024133514025284075,4.5,26961.5
2026-08-14,53936.0,53837.0,53811.0,-0.0018355087511123802,-1,13.0,11.0,True,-15.0,-0.00022248590922580025,11.0,26918.5
2026-08-17,53811.0,53549.0,53541.0,-0.004868892977272332,-1,4.0,2.0,True,-6.0,-0.003400791659697866,2.0,26774.5
2026-08-18,53541.0,53454.0,53407.0,-0.001624922956239172,-1,23.5,21.5,True,-25.5,-0.0012887319997758606,21.5,26727.0
2026-08-19,53407.0,53534.0,53542.0,0.0023779654352424906,1,4.0,2.0,True,2.0,0.004699758458629022,2.0,26767.0
2026-08-20,53542.0,52890.0,52858.0,-0.012177356094281166,-1,16.0,14.0,True,-18.0,-0.0065369242837398644,14.0,26445.0
2026-08-21,52858.0,53387.0,53346.0,0.010007945817094965,1,-20.5,-22.5,True,-22.5,0.005599909190661778,-22.5,26693.5
2026-08-24,53346.0,53497.0,53483.0,0.0028305777377872765,1,-7.0,-9.0,True,-9.0,0.002774341093990218,-9.0,26748.5
2026-08-25,53483.0,53633.0,53638.0,0.002804629508441847,1,2.5,0.5,True,0.5,0.0002804629508441625,0.5,26816.5
2026-08-26,53638.0,53566.0,53534.0,-0.001342331928856355,-1,16.0,14.0,True,-18.0,0.00041015697826174424,-18.0,26783.0
2026-08-27,53534.0,53573.0,53622.0,0.0007285089849442539,1,24.5,22.5,True,22.5,-0.00026151604587743016,-26.5,26786.5
2026-08-28,53622.0,53610.0,53586.0,-0.00022378874342621202,-1,12.0,10.0,True,-14.0,0.0012867852747007191,-14.0,26805.0
2026-08-31,53586.0,53272.0,53234.0,-0.005859739484193605,-1,19.0,17.0,True,-21.0,-0.0064195872056134196,17.0,26636.0
2026-09-01,53234.0,52827.0,52840.0,-0.007645489724612098,-1,-6.5,-8.5,True,4.5,-0.004696246759589684,-8.5,26413.5
2026-09-02,52840.0,53148.0,53132.0,0.005828917486752516,1,-8.0,-10.0,True,-10.0,0.004939439818319347,-10.0,26574.0
2026-09-03,53132.0,53741.0,53759.0,0.011462019122186362,1,9.0,7.0,True,7.0,0.008205977565308942,7.0,26870.5
2026-09-04,53759.0,53436.0,53447.0,-0.006008296285273218,-1,-5.5,-7.5,True,3.5,-0.004222548782529478,-7.5,26718.0
2026-09-08,53116.0,52889.0,52840.0,-0.004273665185631437,-1,24.5,22.5,True,-26.5,-0.003746517057007348,22.5,26444.5
