session,c0,p1530,p1600,r_rod,side,gross,pnl,traded,always_long_pnl,r_onfh,onfh_pnl,notional
2026-07-01,30513.75,30190.0,30080.75,-0.010609970914751576,-1,2185.0,2171.5,True,-2198.5,-0.007537585514726941,2171.5,603800.0
2026-07-02,30080.75,29421.75,29538.0,-0.02190769844501883,-1,-2325.0,-2338.5,True,2311.5,0.005884161797827581,2311.5,588435.0
2026-07-06,29901.75,30035.5,29951.25,0.004472982350531396,1,-1685.0,-1698.5,True,-1698.5,0.001028367904888583,-1698.5,600710.0
2026-07-07,29951.25,29321.25,29395.5,-0.02103418054338302,-1,-1485.0,-1498.5,True,1471.5,-0.016101164392137268,-1498.5,586425.0
2026-07-08,29395.5,29425.25,29457.0,0.0010120596689968675,1,635.0,621.5,True,621.5,-0.0009525267472912935,-648.5,588505.0
2026-07-09,29457.0,29932.25,29948.75,0.016133686390331636,1,330.0,316.5,True,316.5,0.015361374206470435,316.5,598645.0
2026-07-10,29948.75,30046.0,30037.75,0.003247213990567266,1,-165.0,-178.5,True,-178.5,-0.000859802162026746,151.5,600920.0
2026-07-13,30037.75,29418.5,29466.25,-0.02061572521244104,-1,-955.0,-968.5,True,941.5,-0.013574585313480547,-968.5,588370.0
2026-07-14,29466.25,29796.75,29785.75,0.011216221948839866,1,-220.0,-233.5,True,-233.5,0.010690196411148323,-233.5,595935.0
2026-07-15,29785.75,29643.25,29701.25,-0.004784166925459354,-1,-1160.0,-1173.5,True,1146.5,0.0012673845714812337,1146.5,592865.0
2026-07-16,29701.25,29148.5,29216.75,-0.01861032784815453,-1,-1365.0,-1378.5,True,1351.5,-0.011910273136652494,-1378.5,582970.0
2026-07-17,29216.75,28795.5,28764.75,-0.014418099206790602,-1,615.0,601.5,True,-628.5,-0.018508218744384686,601.5,575910.0
2026-07-20,28764.75,28855.5,28785.5,0.0031549031366515656,1,-1400.0,-1413.5,True,-1413.5,0.007995897756803094,-1413.5,577110.0
2026-07-21,28785.5,29293.75,29311.5,0.017656458981084144,1,355.0,341.5,True,341.5,0.012758159490021015,341.5,585875.0
2026-07-22,29311.5,29253.0,29161.0,-0.0019958036947955726,-1,1840.0,1826.5,True,-1853.5,-0.0011855415110110235,1826.5,585060.0
2026-07-23,29161.0,28583.0,28615.0,-0.019820993793079777,-1,-640.0,-653.5,True,626.5,-0.015543019786701362,-653.5,571660.0
2026-07-24,28615.0,28253.5,28283.5,-0.01263323431766561,-1,-600.0,-613.5,True,586.5,-0.01023064826140141,-613.5,565070.0
2026-07-27,28283.5,28243.0,28192.25,-0.001431930277370208,-1,1015.0,1001.5,True,-1028.5,0.0022716424770625743,-1028.5,564860.0
2026-07-28,28192.25,28017.75,27918.5,-0.006189644317143861,-1,1985.0,1971.5,True,-1998.5,-0.01869308054518526,1971.5,560355.0
2026-07-29,27918.5,27712.25,27335.0,-0.007387574547343179,-1,7545.0,7531.5,True,-7558.5,-0.006617475867256473,7531.5,554245.0
2026-07-30,27335.0,28244.5,28229.0,0.033272361441375464,1,-310.0,-323.5,True,-323.5,0.029879275653923454,-323.5,564890.0
2026-07-31,28229.0,28475.25,28402.75,0.008723298735343166,1,-1450.0,-1463.5,True,-1463.5,0.00465833008608163,-1463.5,569505.0
2026-08-03,28402.75,28912.75,28901.5,0.017956007780936645,1,-225.0,-238.5,True,-238.5,0.007868956351057665,-238.5,578255.0
2026-08-04,28901.5,29900.5,29878.25,0.03456567998200777,1,-445.0,-458.5,True,-458.5,0.019531858208051478,-458.5,598010.0
2026-08-05,29878.25,29756.5,29607.25,-0.004074870516178164,-1,2985.0,2971.5,True,-2998.5,0.00570649218076702,-2998.5,595130.0
2026-08-06,29607.25,29509.0,29496.75,-0.003318443962205153,-1,245.0,231.5,True,-258.5,-0.002668265374190404,231.5,590180.0
2026-08-07,29496.75,29811.0,29834.0,0.01065371608736565,1,460.0,446.5,True,446.5,0.00611931822997458,446.5,596220.0
2026-08-10,29834.0,29781.75,29744.25,-0.0017513575115639668,-1,750.0,736.5,True,-763.5,-0.0009133874103371964,736.5,595635.0
2026-08-11,29744.25,29624.0,29635.5,-0.0040427981878849995,-1,-230.0,-243.5,True,216.5,-0.00038662934852951025,-243.5,592480.0
2026-08-12,29635.5,29868.25,29853.0,0.007853756474498486,1,-305.0,-318.5,True,-318.5,0.009169745744124436,-318.5,597365.0
2026-08-13,29853.0,30223.25,30194.75,0.012402438615884526,1,-570.0,-583.5,True,-583.5,0.010819683113924894,-583.5,604465.0
2026-08-14,30194.75,30096.75,30144.25,-0.0032455973306617647,-1,-950.0,-963.5,True,936.5,0.0011094643936446769,936.5,601935.0
2026-08-17,30144.25,30093.5,30091.5,-0.001683571493734326,-1,40.0,26.5,True,-53.5,0.003010524395199665,-53.5,601870.0
2026-08-18,30091.5,29600.0,29586.0,-0.016333516109200308,-1,280.0,266.5,True,-293.5,-0.01479653722812091,266.5,592000.0
2026-08-19,29586.0,29555.75,29521.5,-0.0010224430473873003,-1,685.0,671.5,True,-698.5,-0.0030250794294598427,671.5,591115.0
2026-08-20,29521.5,29304.5,29306.25,-0.0073505750046576335,-1,-35.0,-48.5,True,21.5,-0.005673830936774871,-48.5,586090.0
2026-08-21,29306.25,29394.5,29395.75,0.0030113030496907722,1,25.0,11.5,True,11.5,-9.383663894224625e-05,-38.5,587890.0
2026-08-24,29395.75,29158.75,29099.0,-0.008062389971339345,-1,1195.0,1181.5,True,-1208.5,-0.01272292763409677,1181.5,583175.0
2026-08-25,29099.0,29226.0,29270.25,0.004364411148149339,1,885.0,871.5,True,871.5,0.007345613251314553,871.5,584520.0
2026-08-26,29270.25,29338.0,29296.75,0.0023146368753257374,1,-825.0,-838.5,True,-838.5,0.002084027297341251,-838.5,586760.0
2026-08-27,29296.75,29602.25,29691.75,0.010427777825185336,1,1790.0,1776.5,True,1776.5,0.006357360458071337,1776.5,592045.0
2026-08-28,29691.75,29498.25,29496.5,-0.006516961782313313,-1,35.0,21.5,True,-48.5,-0.002113381663256586,21.5,589965.0
2026-08-31,29496.5,29448.25,29506.75,-0.0016357872967979192,-1,-1170.0,-1183.5,True,1156.5,-0.00195785940704829,-1183.5,588965.0
2026-09-01,29506.75,29127.25,29126.75,-0.012861463902327452,-1,10.0,-3.5,True,-23.5,-0.013615528650224085,-3.5,582545.0
