strategy,instrument,target_ticks,bucket,start,end,n_trades,win_rate,avg_win,avg_loss,realized_rr,mean_pnl,skew,kurtosis,max_consec_losses,friction_pct_avg_gross_win
time_scalp,ES,30,1,2024-07-02,2025-01-01,535,0.48785046728971965,354.5938697318008,-325.0784671532847,1.0907947020821858,6.5,0.05179215409534712,-1.991916192039986,8,0.07958807008158351
time_scalp,ES,30,2,2025-01-02,2025-07-01,513,0.4600389863547758,358.7881355932203,-325.1606498194946,1.1034180667076205,-10.517543859649123,0.15149095830640746,-1.978859910817588,8,0.07866666666666668
time_scalp,ES,30,3,2025-07-02,2026-01-01,495,0.43636363636363634,350.84027777777777,-319.09139784946234,1.099497761902355,-26.757575757575758,0.25296603927778893,-1.91383747888414,11,0.0804311611954924
time_scalp,ES,30,4,2026-01-02,2026-07-01,527,0.43833017077798864,352.2359307359307,-324.57263513513516,1.085229907288019,-27.907020872865274,0.254374880965872,-1.9253657613598718,9,0.08011560693641619
time_scalp,MES,30,1,2024-07-02,2025-01-01,535,0.497196261682243,34.83646616541353,-33.267657992565056,1.0471571570562344,0.5934579439252337,0.01669282113085522,-1.996507735876802,8,0.0976658798846053
time_scalp,MES,30,2,2025-01-02,2025-07-01,510,0.4549019607843137,35.20150862068966,-33.2886690647482,1.057462181867977,-2.1323529411764706,0.17653485976058503,-1.9722739460845264,8,0.09668105372823337
time_scalp,MES,30,3,2025-07-02,2026-01-01,503,0.43339960238568587,34.4644495412844,-32.51315789473684,1.0600154452195931,-3.485089463220676,0.2622887154134012,-1.9084459030582663,11,0.09869037995149556
time_scalp,MES,30,4,2026-01-02,2026-07-01,528,0.4431818181818182,34.79059829059829,-33.10884353741496,1.0507947295496094,-3.0170454545454546,0.23022519204664035,-1.9406669333189064,10,0.09779104477611941
trend_pullback,ES,25,1,2024-07-02,2025-01-01,370,0.46756756756756757,296.5,-277.2309644670051,1.0695053511430115,-8.972972972972974,0.12613598118333394,-1.9922274492578282,9,0.095
trend_pullback,ES,25,2,2025-01-02,2025-07-01,373,0.5067024128686327,296.5,-278.5,1.0646319569120288,12.853887399463806,-0.026920440809360565,-2.0100821938276527,10,0.095
trend_pullback,ES,25,3,2025-07-02,2026-01-01,369,0.4634146341463415,296.5,-278.5,1.0646319569120288,-12.036585365853659,0.14733439428867684,-1.9891032396692403,8,0.095
trend_pullback,ES,25,4,2026-01-02,2026-07-01,379,0.39577836411609496,295.5833333333333,-278.5,1.061340514661879,-51.29023746701847,0.4295744942940298,-1.8235757818078335,15,0.09529116745611592
trend_pullback,MES,30,1,2024-07-02,2025-01-01,370,0.4594594594594595,35.13970588235294,-33.5,1.0489464442493415,-1.962837837837838,0.1653590166963084,-1.9816573014206944,7,0.09684638860630722
trend_pullback,MES,30,2,2025-01-02,2025-07-01,373,0.4932975871313673,35.25,-33.5,1.0522388059701493,0.41420911528150134,0.026920440809360423,-2.010082193827653,11,0.09655172413793103
trend_pullback,MES,30,3,2025-07-02,2026-01-01,371,0.49595687331536387,35.08016304347826,-33.399732620320854,1.0503126908906752,0.5633423180592992,0.018944501621252035,-2.00608256590741,8,0.09700621351911129
trend_pullback,MES,30,4,2026-01-02,2026-07-01,378,0.41005291005291006,35.096774193548384,-33.5,1.0476649012999517,-5.371693121693122,0.37028726687261704,-1.8704754065901499,10,0.09696157283288652
vwap_reversion,ES,25,1,2024-07-02,2025-01-01,383,0.4177545691906005,296.5,-277.32286995515693,1.0691509144123021,-37.60574412532637,0.3319143846477805,-1.8970111583160505,8,0.095
vwap_reversion,ES,25,2,2025-01-02,2025-07-01,380,0.4342105263157895,296.5,-278.0348837209302,1.0664129480155577,-28.56578947368421,0.2656509882523109,-1.938755033266108,11,0.095
vwap_reversion,ES,25,3,2025-07-02,2026-01-01,385,0.44415584415584414,296.5,-277.2733644859813,1.0693418047913175,-22.428571428571427,0.2227536598535055,-1.9579264143442876,10,0.095
vwap_reversion,ES,25,4,2026-01-02,2026-07-01,381,0.49343832020997375,296.5,-278.5,1.0646319569120288,5.227034120734908,0.02635284462029294,-2.0098838733494273,8,0.095
vwap_reversion,MES,15,1,2024-07-02,2025-01-01,387,0.4160206718346253,16.422360248447205,-18.422566371681416,0.8914263038667151,-3.9263565891472867,0.3398193735139913,-1.8892091984137094,14,0.20089126559714796
vwap_reversion,MES,15,2,2025-01-02,2025-07-01,381,0.4068241469816273,16.5,-18.5,0.8918918918918919,-4.261154855643045,0.38084947059983665,-1.864770264763636,10,0.2
vwap_reversion,MES,15,3,2025-07-02,2026-01-01,388,0.45103092783505155,16.464285714285715,-18.5,0.8899613899613901,-2.730025773195876,0.1984696278961504,-1.9698795707395682,10,0.20040899795501022
vwap_reversion,MES,15,4,2026-01-02,2026-07-01,381,0.47244094488188976,16.5,-18.5,0.8918918918918919,-1.9645669291338583,0.11084091178215597,-1.9982314697262382,9,0.2
