timestamp,open,high,low,close,volume,open interest
2026-06-16,7626.5,7636.75,7578.0,7587.25,1792944,1913990
2026-06-17,7581.25,7612.5,7472.25,7492.75,1777601,1978008
2026-06-18,7512.5,7583.0,7504.25,7570.75,1671842,1975783
2026-06-22,7576.75,7599.25,7513.0,7541.25,1582505,1981250
2026-06-23,7541.25,7549.5,7415.25,7437.5,1816290,1976022
2026-06-24,7449.25,7496.5,7404.25,7428.25,1864716,1978419
2026-06-25,7476.25,7496.0,7390.5,7423.25,1670252,1978775
2026-06-26,7431.0,7459.5,7357.25,7401.75,1514235,1984281
2026-06-29,7398.0,7505.0,7398.0,7500.25,1520958,1961997
2026-06-30,7495.5,7567.75,7481.75,7548.25,1347483,1942624
2026-07-01,7543.25,7579.0,7505.75,7543.5,1248310,0
