side,t_entry,entry,stop0,t_exit,reason,net_px,R,t_signal,internal,anchor
1,2024-07-01 13:30:00+00:00,21893.0,21843.0,2024-07-01 13:46:00+00:00,stop,-50.75,-1.015,2024-07-01 13:30:00+00:00,21893.0,21843.5
-1,2024-07-01 14:36:00+00:00,21887.5,21963.25,2024-07-01 16:00:00+00:00,time,-32.0,-0.42244224422442245,2024-07-01 14:35:00+00:00,21887.5,21962.75
-1,2024-07-02 13:31:00+00:00,21947.5,22017.0,2024-07-02 13:42:00+00:00,stop,-70.25,-1.0107913669064748,2024-07-02 13:30:00+00:00,21947.5,22016.5
-1,2024-07-02 14:05:00+00:00,22021.0,22039.5,2024-07-02 14:40:00+00:00,stop,-19.25,-1.0405405405405406,2024-07-02 14:05:00+00:00,22021.0,22039.0
1,2024-07-02 15:20:00+00:00,22045.5,21753.5,2024-07-02 15:30:00+00:00,target,27.25,0.09332191780821918,2024-07-02 15:20:00+00:00,22045.5,21754.0
-1,2024-07-03 13:30:00+00:00,22185.0,22221.25,2024-07-03 13:52:00+00:00,stop,-37.0,-1.0206896551724138,2024-07-03 13:30:00+00:00,22185.0,22220.75
1,2024-07-03 14:26:00+00:00,22194.0,21851.75,2024-07-03 14:43:00+00:00,target,44.5,0.13002191380569758,2024-07-03 14:20:00+00:00,22194.0,21852.25
1,2024-07-04 13:30:00+00:00,22344.25,22147.0,2024-07-04 16:00:00+00:00,time,-16.5,-0.08365019011406843,2024-07-04 13:30:00+00:00,22344.25,22147.5
-1,2024-07-05 14:31:00+00:00,22462.0,22487.5,2024-07-05 14:48:00+00:00,stop,-26.25,-1.0294117647058822,2024-07-05 14:30:00+00:00,22462.0,22487.0
1,2024-07-08 13:30:00+00:00,22565.5,22303.0,2024-07-08 13:32:00+00:00,target,18.5,0.07047619047619047,2024-07-08 13:30:00+00:00,22565.5,22303.5
1,2024-07-08 13:35:00+00:00,22548.25,22303.0,2024-07-08 13:50:00+00:00,target,35.75,0.145769622833843,2024-07-08 13:30:00+00:00,22548.25,22303.5
1,2024-07-08 14:01:00+00:00,22541.5,22303.0,2024-07-08 15:20:00+00:00,target,42.5,0.17819706498951782,2024-07-08 13:30:00+00:00,22541.5,22303.5
-1,2024-07-09 13:30:00+00:00,22674.25,22691.75,2024-07-09 13:33:00+00:00,stop,-18.25,-1.042857142857143,2024-07-09 13:30:00+00:00,22674.25,22691.25
-1,2024-07-09 13:56:00+00:00,22689.5,22707.5,2024-07-09 14:06:00+00:00,target,27.25,1.5138888888888888,2024-07-09 13:55:00+00:00,22689.5,22707.0
-1,2024-07-09 14:12:00+00:00,22704.5,22707.5,2024-07-09 14:12:00+00:00,stop,-3.75,-1.25,2024-07-09 14:05:00+00:00,22704.5,22707.0
1,2024-07-09 14:25:00+00:00,22655.25,22521.25,2024-07-09 16:00:00+00:00,time,-8.25,-0.061567164179104475,2024-07-09 14:20:00+00:00,22655.25,22521.75
-1,2024-07-10 13:30:00+00:00,22707.0,22714.75,2024-07-10 13:31:00+00:00,target,9.5,1.2258064516129032,2024-07-10 13:30:00+00:00,22707.0,22714.25
1,2024-07-10 13:32:00+00:00,22690.5,22558.0,2024-07-10 13:49:00+00:00,target,16.0,0.12075471698113208,2024-07-10 13:30:00+00:00,22690.5,22558.5
1,2024-07-10 14:23:00+00:00,22694.5,22558.0,2024-07-10 16:00:00+00:00,time,14.5,0.10622710622710622,2024-07-10 14:20:00+00:00,22694.5,22558.5
1,2024-07-11 13:30:00+00:00,22834.0,22624.0,2024-07-11 14:19:00+00:00,stop,-210.75,-1.0035714285714286,2024-07-11 13:30:00+00:00,22834.0,22624.5
-1,2024-07-12 13:30:00+00:00,22394.5,22926.5,2024-07-12 16:00:00+00:00,time,-144.25,-0.27114661654135336,2024-07-12 13:30:00+00:00,22394.5,22926.0
-1,2024-07-15 13:33:00+00:00,22580.0,22655.75,2024-07-15 13:44:00+00:00,target,38.25,0.504950495049505,2024-07-15 13:30:00+00:00,22580.0,22655.25
1,2024-07-15 13:45:00+00:00,22528.75,22274.25,2024-07-15 13:48:00+00:00,target,48.25,0.18958742632612965,2024-07-15 13:30:00+00:00,22528.75,22274.75
-1,2024-07-15 14:01:00+00:00,22583.25,22655.75,2024-07-15 14:36:00+00:00,stop,-73.25,-1.0103448275862068,2024-07-15 14:00:00+00:00,22583.25,22655.25
-1,2024-07-16 13:30:00+00:00,22597.5,22630.0,2024-07-16 13:46:00+00:00,target,32.5,1.0,2024-07-16 13:30:00+00:00,22597.5,22629.5
1,2024-07-16 13:48:00+00:00,22562.75,22448.25,2024-07-16 14:07:00+00:00,stop,-115.25,-1.0065502183406114,2024-07-16 13:30:00+00:00,22562.75,22448.75
-1,2024-07-16 14:39:00+00:00,22497.25,22630.0,2024-07-16 16:00:00+00:00,time,3.25,0.02448210922787194,2024-07-16 14:30:00+00:00,22497.25,22629.5
-1,2024-07-17 14:34:00+00:00,22101.0,22627.0,2024-07-17 15:05:00+00:00,target,60.0,0.11406844106463879,2024-07-17 14:25:00+00:00,22101.0,22626.5
-1,2024-07-17 15:09:00+00:00,22073.0,22627.0,2024-07-17 15:12:00+00:00,target,32.0,0.05776173285198556,2024-07-17 15:05:00+00:00,22073.0,22626.5
1,2024-07-18 13:30:00+00:00,22075.75,21907.75,2024-07-18 14:34:00+00:00,stop,-168.75,-1.0044642857142858,2024-07-18 13:30:00+00:00,22075.75,21908.25
1,2024-07-19 13:30:00+00:00,21806.25,21694.0,2024-07-19 13:40:00+00:00,target,81.0,0.7216035634743875,2024-07-19 13:30:00+00:00,21806.25,21694.5
-1,2024-07-19 13:41:00+00:00,21903.75,21922.5,2024-07-19 13:43:00+00:00,target,62.0,3.3066666666666666,2024-07-19 13:30:00+00:00,21903.75,21922.0
1,2024-07-19 14:00:00+00:00,21801.25,21694.0,2024-07-19 15:29:00+00:00,stop,-108.0,-1.006993006993007,2024-07-19 13:55:00+00:00,21801.25,21694.5
1,2024-07-22 13:31:00+00:00,21849.75,21611.5,2024-07-22 13:38:00+00:00,target,69.0,0.28961175236096537,2024-07-22 13:30:00+00:00,21849.75,21612.0
-1,2024-07-22 13:46:00+00:00,21921.75,21922.5,2024-07-22 13:46:00+00:00,stop,-1.5,-2.0,2024-07-22 13:45:00+00:00,21921.75,21922.0
-1,2024-07-22 14:35:00+00:00,21913.5,21969.75,2024-07-22 15:09:00+00:00,target,75.5,1.3422222222222222,2024-07-22 14:25:00+00:00,21913.5,21969.25
1,2024-07-22 15:16:00+00:00,21824.75,21611.5,2024-07-22 16:00:00+00:00,time,-18.0,-0.08440797186400938,2024-07-22 13:40:00+00:00,21824.75,21612.0
1,2024-07-23 13:31:00+00:00,21891.25,21660.75,2024-07-23 13:37:00+00:00,target,35.25,0.15292841648590022,2024-07-23 13:30:00+00:00,21891.25,21661.25
-1,2024-07-23 13:39:00+00:00,21939.0,21975.25,2024-07-23 13:44:00+00:00,stop,-37.0,-1.0206896551724138,2024-07-23 13:30:00+00:00,21939.0,21974.75
1,2024-07-23 14:02:00+00:00,21925.0,21660.75,2024-07-23 14:21:00+00:00,target,51.5,0.19489120151371808,2024-07-23 14:00:00+00:00,21925.0,21661.25
1,2024-07-23 14:45:00+00:00,21902.75,21660.75,2024-07-23 15:12:00+00:00,target,73.75,0.3047520661157025,2024-07-23 14:10:00+00:00,21902.75,21661.25
-1,2024-07-24 13:31:00+00:00,21595.0,22028.0,2024-07-24 13:33:00+00:00,target,44.5,0.10277136258660508,2024-07-24 13:30:00+00:00,21595.0,22027.5
1,2024-07-25 13:32:00+00:00,21116.5,21027.5,2024-07-25 13:55:00+00:00,stop,-89.75,-1.0084269662921348,2024-07-25 13:30:00+00:00,21116.5,21028.0
-1,2024-07-25 14:54:00+00:00,21149.0,21781.0,2024-07-25 16:00:00+00:00,time,-29.0,-0.04588607594936709,2024-07-25 13:50:00+00:00,21149.0,21780.5
1,2024-07-26 13:30:00+00:00,21074.25,20936.75,2024-07-26 14:28:00+00:00,target,57.0,0.41454545454545455,2024-07-26 13:30:00+00:00,21074.25,20937.25
1,2024-07-26 14:46:00+00:00,20994.5,20936.75,2024-07-26 15:50:00+00:00,target,140.0,2.4242424242424243,2024-07-26 14:45:00+00:00,20994.5,20937.25
1,2024-07-29 13:30:00+00:00,21202.0,20936.75,2024-07-29 13:45:00+00:00,target,102.0,0.38454288407163056,2024-07-29 13:30:00+00:00,21202.0,20937.25
1,2024-07-29 14:10:00+00:00,21236.75,20936.75,2024-07-29 16:00:00+00:00,time,-34.0,-0.11333333333333333,2024-07-29 14:00:00+00:00,21236.75,20937.25
-1,2024-07-30 13:30:00+00:00,21229.5,21320.25,2024-07-30 13:31:00+00:00,target,28.5,0.3140495867768595,2024-07-30 13:30:00+00:00,21225.5,21319.75
-1,2024-07-30 13:36:00+00:00,21242.0,21320.25,2024-07-30 13:44:00+00:00,target,35.0,0.4472843450479233,2024-07-30 13:30:00+00:00,21242.0,21319.75
1,2024-07-30 13:45:00+00:00,21184.25,21018.25,2024-07-30 15:01:00+00:00,stop,-166.75,-1.0045180722891567,2024-07-30 13:30:00+00:00,21184.25,21018.75
-1,2024-07-30 15:20:00+00:00,20979.25,21320.25,2024-07-30 15:37:00+00:00,target,60.5,0.1774193548387097,2024-07-30 15:20:00+00:00,20979.25,21319.75
1,2024-07-31 14:52:00+00:00,21367.75,20668.75,2024-07-31 15:30:00+00:00,target,68.25,0.09763948497854077,2024-07-31 14:45:00+00:00,21367.75,20669.25
1,2024-08-01 13:36:00+00:00,21454.5,20956.25,2024-08-01 13:42:00+00:00,target,93.0,0.18665328650275967,2024-08-01 13:30:00+00:00,21454.5,20956.75
-1,2024-08-01 13:43:00+00:00,21552.25,21636.0,2024-08-01 14:21:00+00:00,target,97.25,1.1611940298507464,2024-08-01 13:30:00+00:00,21552.25,21635.5
1,2024-08-01 14:29:00+00:00,21393.25,20956.25,2024-08-01 16:00:00+00:00,time,-289.25,-0.6618993135011442,2024-08-01 13:30:00+00:00,21393.25,20956.75
1,2024-08-02 13:34:00+00:00,20488.0,20450.0,2024-08-02 13:39:00+00:00,target,123.0,3.236842105263158,2024-08-02 13:30:00+00:00,20488.0,20450.5
-1,2024-08-02 13:40:00+00:00,20690.5,21636.0,2024-08-02 14:04:00+00:00,target,202.0,0.21364357482813326,2024-08-02 13:30:00+00:00,20690.5,21635.5
1,2024-08-02 14:05:00+00:00,20484.25,20450.0,2024-08-02 14:05:00+00:00,stop,-35.0,-1.0218978102189782,2024-08-02 13:40:00+00:00,20484.25,20450.5
-1,2024-08-02 14:49:00+00:00,20471.5,21636.0,2024-08-02 16:00:00+00:00,time,-65.25,-0.056032632030914555,2024-08-02 14:40:00+00:00,20471.5,21635.5
1,2024-08-05 13:30:00+00:00,19502.5,19288.0,2024-08-05 13:34:00+00:00,target,139.25,0.6491841491841492,2024-08-05 13:30:00+00:00,19502.5,19288.5
-1,2024-08-05 13:36:00+00:00,19699.25,20924.5,2024-08-05 16:00:00+00:00,time,-350.75,-0.28626810854927565,2024-08-05 13:30:00+00:00,19699.25,20924.0
-1,2024-08-06 13:30:00+00:00,20055.5,20378.5,2024-08-06 13:36:00+00:00,target,48.5,0.15015479876160992,2024-08-06 13:30:00+00:00,20055.5,20378.0
1,2024-08-06 13:37:00+00:00,19986.25,19288.0,2024-08-06 13:52:00+00:00,target,65.25,0.09344790547798067,2024-08-06 13:30:00+00:00,19986.25,19288.5
-1,2024-08-06 14:02:00+00:00,20116.25,20378.5,2024-08-06 16:00:00+00:00,time,-169.0,-0.6444232602478551,2024-08-06 13:40:00+00:00,20116.25,20378.0
-1,2024-08-07 13:30:00+00:00,20405.0,20426.0,2024-08-07 13:30:00+00:00,stop,-21.75,-1.0357142857142858,2024-08-07 13:30:00+00:00,20405.0,20425.5
1,2024-08-07 13:55:00+00:00,20417.5,19903.25,2024-08-07 14:00:00+00:00,target,65.25,0.12688381137579,2024-08-07 13:50:00+00:00,20417.5,19903.75
1,2024-08-07 14:05:00+00:00,20415.0,19903.25,2024-08-07 16:00:00+00:00,time,-72.5,-0.14167073766487542,2024-08-07 14:05:00+00:00,20415.0,19903.75
1,2024-08-08 13:38:00+00:00,20091.0,19802.0,2024-08-08 14:02:00+00:00,target,104.5,0.3615916955017301,2024-08-08 13:30:00+00:00,20091.0,19802.5
-1,2024-08-08 14:15:00+00:00,20250.5,20501.5,2024-08-08 16:00:00+00:00,time,-96.25,-0.3834661354581673,2024-08-08 13:30:00+00:00,20250.5,20501.0
-1,2024-08-09 13:30:00+00:00,20411.25,20541.25,2024-08-09 16:00:00+00:00,time,-12.0,-0.09230769230769231,2024-08-09 13:30:00+00:00,20411.25,20540.75
1,2024-08-12 13:30:00+00:00,20582.75,20325.0,2024-08-12 14:16:00+00:00,target,32.5,0.12609117361784675,2024-08-12 13:30:00+00:00,20582.75,20325.5
1,2024-08-12 15:22:00+00:00,20644.75,20325.0,2024-08-12 16:00:00+00:00,time,17.0,0.053166536356528536,2024-08-12 14:55:00+00:00,20644.75,20325.5
1,2024-08-13 14:31:00+00:00,20813.0,20456.5,2024-08-13 14:46:00+00:00,target,51.0,0.14305750350631136,2024-08-13 14:25:00+00:00,20813.0,20457.0
-1,2024-08-14 13:30:00+00:00,21097.75,21105.75,2024-08-14 13:30:00+00:00,stop,-8.75,-1.09375,2024-08-14 13:30:00+00:00,21097.75,21105.25
1,2024-08-14 13:33:00+00:00,21064.5,20570.75,2024-08-14 15:50:00+00:00,target,32.75,0.06632911392405064,2024-08-14 13:30:00+00:00,21064.5,20571.25
-1,2024-08-15 13:30:00+00:00,21297.5,21313.25,2024-08-15 13:32:00+00:00,stop,-16.5,-1.0476190476190477,2024-08-15 13:30:00+00:00,21297.5,21312.75
1,2024-08-16 13:30:00+00:00,21418.0,21042.25,2024-08-16 14:15:00+00:00,target,90.0,0.23952095808383234,2024-08-16 13:30:00+00:00,21418.0,21042.75
-1,2024-08-16 14:20:00+00:00,21531.0,21602.75,2024-08-16 16:00:00+00:00,time,12.75,0.17770034843205576,2024-08-16 13:30:00+00:00,21531.0,21602.25
1,2024-08-19 13:30:00+00:00,21543.75,21387.25,2024-08-19 14:51:00+00:00,target,36.75,0.23482428115015974,2024-08-19 13:30:00+00:00,21543.75,21387.75
-1,2024-08-19 14:53:00+00:00,21597.5,21631.0,2024-08-19 16:00:00+00:00,time,15.75,0.4701492537313433,2024-08-19 13:30:00+00:00,21597.5,21630.5
-1,2024-08-20 13:30:00+00:00,21771.0,21842.75,2024-08-20 13:53:00+00:00,stop,-72.5,-1.0104529616724738,2024-08-20 13:30:00+00:00,21771.0,21842.25
1,2024-08-20 14:11:00+00:00,21821.75,21467.0,2024-08-20 16:00:00+00:00,time,-27.25,-0.07681465821000705,2024-08-20 14:10:00+00:00,21821.75,21467.5
1,2024-08-21 13:30:00+00:00,21778.25,21685.0,2024-08-21 13:40:00+00:00,target,19.5,0.20911528150134048,2024-08-21 13:30:00+00:00,21778.25,21685.5
-1,2024-08-21 13:46:00+00:00,21810.5,21867.75,2024-08-21 14:32:00+00:00,target,31.75,0.5545851528384279,2024-08-21 13:30:00+00:00,21810.5,21867.25
-1,2024-08-21 14:36:00+00:00,21857.5,21867.75,2024-08-21 14:36:00+00:00,stop,-11.0,-1.0731707317073171,2024-08-21 14:10:00+00:00,21857.5,21867.25
1,2024-08-21 14:52:00+00:00,21752.75,21685.0,2024-08-21 15:05:00+00:00,target,45.0,0.6642066420664207,2024-08-21 13:30:00+00:00,21752.75,21685.5
1,2024-08-22 13:45:00+00:00,21912.5,21713.25,2024-08-22 15:37:00+00:00,stop,-200.0,-1.0037641154328734,2024-08-22 13:45:00+00:00,21912.5,21713.75
1,2024-08-23 13:30:00+00:00,21691.25,21484.0,2024-08-23 14:01:00+00:00,target,82.0,0.3956574185765983,2024-08-23 13:30:00+00:00,21691.25,21484.5
-1,2024-08-23 14:10:00+00:00,21810.5,21968.75,2024-08-23 14:48:00+00:00,target,159.25,1.0063191153238547,2024-08-23 14:10:00+00:00,21810.5,21968.25
1,2024-08-23 14:51:00+00:00,21574.75,21484.0,2024-08-23 16:00:00+00:00,time,84.5,0.931129476584022,2024-08-23 13:30:00+00:00,21574.75,21484.5
1,2024-08-26 13:30:00+00:00,21702.0,21534.0,2024-08-26 13:33:00+00:00,target,30.5,0.18154761904761904,2024-08-26 13:30:00+00:00,21702.0,21534.5
-1,2024-08-26 13:34:00+00:00,21741.25,21846.25,2024-08-26 13:41:00+00:00,target,34.0,0.3238095238095238,2024-08-26 13:30:00+00:00,21741.25,21845.75
1,2024-08-26 13:45:00+00:00,21685.25,21534.0,2024-08-26 14:31:00+00:00,stop,-152.0,-1.0049586776859505,2024-08-26 13:40:00+00:00,21685.25,21534.5
-1,2024-08-26 15:23:00+00:00,21559.0,21846.25,2024-08-26 16:00:00+00:00,time,59.75,0.20800696257615317,2024-08-26 15:10:00+00:00,21559.0,21845.75
-1,2024-08-27 13:55:00+00:00,21510.5,21789.25,2024-08-27 16:00:00+00:00,time,-43.0,-0.15426008968609867,2024-08-27 13:55:00+00:00,21510.5,21788.75
-1,2024-08-28 13:30:00+00:00,21593.5,21637.5,2024-08-28 13:39:00+00:00,target,55.0,1.25,2024-08-28 13:30:00+00:00,21593.5,21637.0
1,2024-08-28 13:45:00+00:00,21521.5,21502.0,2024-08-28 13:45:00+00:00,stop,-20.25,-1.0384615384615385,2024-08-28 13:30:00+00:00,21521.5,21502.5
-1,2024-08-28 14:20:00+00:00,21513.75,21637.5,2024-08-28 15:00:00+00:00,target,129.0,1.0424242424242425,2024-08-28 14:05:00+00:00,21513.75,21637.0
-1,2024-08-29 13:30:00+00:00,21447.25,21629.0,2024-08-29 14:50:00+00:00,stop,-182.5,-1.0041265474552958,2024-08-29 13:30:00+00:00,21447.25,21628.5
1,2024-08-29 15:06:00+00:00,21568.75,21081.0,2024-08-29 16:00:00+00:00,time,5.5,0.011276268580215274,2024-08-29 15:05:00+00:00,21568.75,21081.5
