side,t_entry,entry,stop0,t_exit,reason,net_px,R,t_signal,internal,anchor
1,2024-07-01 13:30:00+00:00,21892.75,21843.0,2024-07-01 13:46:00+00:00,stop,-50.5,-1.015075376884422,2024-07-01 13:30:00+00:00,21893.0,21843.5
-1,2024-07-01 14:36:00+00:00,21887.75,21963.25,2024-07-01 16:00:00+00:00,time,-31.75,-0.4205298013245033,2024-07-01 14:35:00+00:00,21887.5,21962.75
-1,2024-07-02 13:31:00+00:00,21947.75,22017.0,2024-07-02 13:42:00+00:00,stop,-70.0,-1.0108303249097472,2024-07-02 13:30:00+00:00,21947.5,22016.5
-1,2024-07-02 14:05:00+00:00,22021.25,22039.5,2024-07-02 14:40:00+00:00,stop,-19.0,-1.0410958904109588,2024-07-02 14:05:00+00:00,22021.0,22039.0
1,2024-07-02 15:20:00+00:00,22045.25,21753.5,2024-07-02 15:30:00+00:00,target,27.5,0.09425878320479864,2024-07-02 15:20:00+00:00,22045.5,21754.0
-1,2024-07-03 13:30:00+00:00,22185.25,22221.25,2024-07-03 13:52:00+00:00,stop,-36.75,-1.0208333333333333,2024-07-03 13:30:00+00:00,22185.0,22220.75
1,2024-07-03 14:26:00+00:00,22193.75,21851.75,2024-07-03 14:43:00+00:00,target,44.75,0.13084795321637427,2024-07-03 14:20:00+00:00,22194.0,21852.25
1,2024-07-04 13:30:00+00:00,22345.5,22147.0,2024-07-04 16:00:00+00:00,time,-17.75,-0.08942065491183879,2024-07-04 13:30:00+00:00,22345.75,22147.5
-1,2024-07-05 14:31:00+00:00,22462.25,22487.5,2024-07-05 14:48:00+00:00,stop,-26.0,-1.0297029702970297,2024-07-05 14:30:00+00:00,22462.0,22487.0
1,2024-07-08 13:30:00+00:00,22565.25,22303.0,2024-07-08 13:32:00+00:00,target,18.75,0.07149666348903717,2024-07-08 13:30:00+00:00,22565.5,22303.5
1,2024-07-08 13:35:00+00:00,22548.0,22303.0,2024-07-08 13:50:00+00:00,target,36.0,0.1469387755102041,2024-07-08 13:30:00+00:00,22548.25,22303.5
1,2024-07-08 14:01:00+00:00,22541.25,22303.0,2024-07-08 15:20:00+00:00,target,42.75,0.1794333683105981,2024-07-08 13:30:00+00:00,22541.5,22303.5
-1,2024-07-09 13:30:00+00:00,22674.5,22691.75,2024-07-09 13:33:00+00:00,stop,-18.0,-1.0434782608695652,2024-07-09 13:30:00+00:00,22674.25,22691.25
-1,2024-07-09 13:56:00+00:00,22689.75,22707.5,2024-07-09 14:06:00+00:00,target,27.5,1.5492957746478873,2024-07-09 13:55:00+00:00,22689.5,22707.0
-1,2024-07-09 14:12:00+00:00,22704.75,22707.5,2024-07-09 14:12:00+00:00,stop,-3.5,-1.2727272727272727,2024-07-09 14:05:00+00:00,22704.5,22707.0
1,2024-07-09 14:25:00+00:00,22655.0,22521.25,2024-07-09 16:00:00+00:00,time,-8.0,-0.059813084112149535,2024-07-09 14:20:00+00:00,22655.25,22521.75
