side,t_entry,entry,stop0,t_exit,reason,net_px,R,t_signal,internal,anchor
1,2024-07-01 13:34:00+00:00,21876.0,21843.0,2024-07-01 13:46:00+00:00,stop,-33.75,-1.0227272727272727,2024-07-01 13:30:00+00:00,21872.75,21843.5
-1,2024-07-01 14:39:00+00:00,21844.25,21963.25,2024-07-01 16:00:00+00:00,time,-75.25,-0.6323529411764706,2024-07-01 14:35:00+00:00,21887.5,21962.75
-1,2024-07-02 13:34:00+00:00,21964.5,22017.0,2024-07-02 13:42:00+00:00,stop,-53.25,-1.0142857142857142,2024-07-02 13:30:00+00:00,21972.25,22016.5
-1,2024-07-02 14:09:00+00:00,21999.25,22039.5,2024-07-02 14:40:00+00:00,stop,-41.0,-1.0186335403726707,2024-07-02 14:05:00+00:00,22021.0,22039.0
1,2024-07-02 15:24:00+00:00,22069.5,21753.5,2024-07-02 15:30:00+00:00,target,3.25,0.010284810126582278,2024-07-02 15:20:00+00:00,22045.5,21754.0
-1,2024-07-03 13:34:00+00:00,22204.0,22221.25,2024-07-03 13:52:00+00:00,stop,-18.0,-1.0434782608695652,2024-07-03 13:30:00+00:00,22208.75,22220.75
1,2024-07-03 14:29:00+00:00,22203.5,21851.75,2024-07-03 14:43:00+00:00,target,35.0,0.09950248756218906,2024-07-03 14:20:00+00:00,22194.0,21852.25
1,2024-07-04 13:39:00+00:00,22337.75,22147.0,2024-07-04 16:00:00+00:00,time,-10.0,-0.05242463958060288,2024-07-04 13:30:00+00:00,22332.5,22147.5
1,2024-07-08 13:34:00+00:00,22567.5,22303.0,2024-07-08 13:50:00+00:00,target,16.5,0.062381852551984876,2024-07-08 13:30:00+00:00,22565.5,22303.5
1,2024-07-08 14:04:00+00:00,22565.5,22303.0,2024-07-08 15:20:00+00:00,target,18.5,0.07047619047619047,2024-07-08 13:30:00+00:00,22541.5,22303.5
1,2024-07-09 14:09:00+00:00,22674.25,22521.25,2024-07-09 14:10:00+00:00,target,-0.5,-0.0032679738562091504,2024-07-09 13:30:00+00:00,22658.75,22521.75
1,2024-07-09 14:29:00+00:00,22647.0,22521.25,2024-07-09 14:45:00+00:00,target,26.75,0.21272365805168986,2024-07-09 13:30:00+00:00,22646.0,22521.75
1,2024-07-09 15:24:00+00:00,22627.0,22521.25,2024-07-09 16:00:00+00:00,time,20.0,0.18912529550827423,2024-07-09 14:40:00+00:00,22622.75,22521.75
-1,2024-07-10 13:29:00+00:00,22700.5,22714.75,2024-07-10 13:30:00+00:00,target,3.0,0.21052631578947367,2024-07-10 13:30:00+00:00,22707.0,22714.25
-1,2024-07-10 13:34:00+00:00,22682.75,22714.75,2024-07-10 13:35:00+00:00,target,-1.25,-0.0390625,2024-07-10 13:30:00+00:00,22710.0,22714.25
