side,t_entry,entry,stop0,t_exit,reason,net_px,R,t_signal,rng_lo,rng_hi,ob_top,be2R
-1,2024-07-22 10:00:00+00:00,21792.25,21826.5,2024-07-22 10:39:00+00:00,stop,-35.0,-1.0218978102189782,2024-07-22 10:00:00+00:00,21919.25,21661.25,21792.25,21723.75
-1,2024-08-07 13:31:00+00:00,20435.0,20452.5,2024-08-07 13:32:00+00:00,stop,-18.25,-1.042857142857143,2024-08-05 10:00:00+00:00,20531.0,19288.5,20435.0,20400.0
-1,2024-08-08 14:09:00+00:00,20231.75,20463.0,2024-08-08 17:46:00+00:00,stop,-232.0,-1.0032432432432432,2024-08-08 06:00:00+00:00,20501.0,19687.5,20231.75,19769.25
-1,2024-08-23 14:13:00+00:00,21835.25,21919.25,2024-08-26 14:37:00+00:00,target,350.25,4.169642857142857,2024-08-23 02:00:00+00:00,21968.25,21484.5,21835.25,21667.25
-1,2024-08-29 13:32:00+00:00,21485.25,21629.5,2024-08-29 14:50:00+00:00,stop,-145.0,-1.0051993067590987,2024-08-29 06:00:00+00:00,21637.0,21081.5,21485.25,21196.75
-1,2024-10-04 12:53:00+00:00,21938.0,22034.0,2024-10-08 19:53:00+00:00,stop,-96.75,-1.0078125,2024-10-01 21:00:00+00:00,22037.5,21524.0,21938.0,21746.0
1,2024-10-15 14:33:00+00:00,22157.25,22064.25,2024-10-15 14:40:00+00:00,stop,-93.75,-1.0080645161290323,2024-10-14 21:00:00+00:00,22019.25,22386.0,22157.25,22343.25
-1,2024-10-17 05:45:00+00:00,22046.0,22098.25,2024-10-17 06:16:00+00:00,stop,-53.0,-1.014354066985646,2024-10-16 21:00:00+00:00,22103.5,21911.25,22046.0,21941.5
1,2024-10-18 00:28:00+00:00,22038.0,22023.75,2024-10-22 18:02:00+00:00,target,262.0,18.385964912280702,2024-10-17 18:00:00+00:00,21982.75,22300.5,22038.0,22066.5
1,2024-10-30 19:55:00+00:00,22223.5,22219.75,2024-10-30 20:00:00+00:00,stop,-4.5,-1.2,2024-10-30 06:00:00+00:00,22138.0,22495.75,22223.5,22231.0
1,2024-11-03 23:00:00+00:00,21827.5,21799.75,2024-11-03 23:00:00+00:00,stop,-28.5,-1.027027027027027,2024-11-01 21:00:00+00:00,21760.0,21993.25,21827.5,21883.0
-1,2024-11-06 08:50:00+00:00,22419.0,22438.0,2024-11-06 14:33:00+00:00,stop,-19.75,-1.0394736842105263,2024-11-01 02:00:00+00:00,22470.75,21713.75,22419.0,22381.0
1,2024-11-27 09:32:00+00:00,22612.5,22599.75,2024-11-27 14:30:00+00:00,stop,-13.5,-1.0588235294117647,2024-11-27 07:00:00+00:00,22557.5,22725.25,22612.5,22638.0
-1,2024-11-29 16:50:00+00:00,22704.25,22711.5,2024-11-29 16:53:00+00:00,stop,-8.0,-1.103448275862069,2024-11-27 22:00:00+00:00,22725.25,22381.0,22704.25,22689.75
1,2024-12-18 19:05:00+00:00,23586.75,23479.75,2024-12-18 19:30:00+00:00,stop,-107.75,-1.0070093457943925,2024-12-17 03:00:00+00:00,23372.75,23858.5,23586.75,23800.75
1,2024-12-18 19:46:00+00:00,23403.0,23337.5,2024-12-18 19:57:00+00:00,stop,-66.25,-1.0114503816793894,2024-12-17 03:00:00+00:00,23308.25,23858.5,23403.0,23534.0
1,2025-01-07 15:18:00+00:00,22964.75,22942.5,2025-01-07 15:32:00+00:00,stop,-23.0,-1.0337078651685394,2025-01-06 22:00:00+00:00,22911.5,23329.75,22964.75,23009.25
-1,2025-01-17 13:21:00+00:00,22873.5,22931.25,2025-01-17 13:34:00+00:00,stop,-58.5,-1.0129870129870129,2025-01-17 03:00:00+00:00,22999.5,22604.5,22873.5,22758.0
1,2025-01-27 10:32:00+00:00,22460.25,22183.0,2025-02-10 11:00:00+00:00,max_hold,683.5,2.465284039675383,2025-01-22 22:00:00+00:00,22126.25,23526.75,22460.25,23014.75
-1,2025-02-10 15:16:00+00:00,23286.5,23338.0,2025-02-13 00:43:00+00:00,stop,-52.25,-1.0145631067961165,2025-02-10 07:00:00+00:00,23400.5,22847.75,23286.5,23183.5
-1,2025-03-04 23:00:00+00:00,21986.0,21992.25,2025-03-04 23:03:00+00:00,stop,-7.0,-1.12,2025-03-04 22:00:00+00:00,22024.5,21508.5,21955.0,21880.5
-1,2025-03-14 13:33:00+00:00,20973.25,21004.0,2025-03-14 13:35:00+00:00,stop,-31.5,-1.024390243902439,2025-03-13 21:00:00+00:00,21139.0,20598.25,20973.25,20911.75
1,2025-03-18 13:30:00+00:00,21102.25,21042.5,2025-03-18 13:35:00+00:00,stop,-60.5,-1.0125523012552302,2025-03-18 02:00:00+00:00,20983.75,21392.0,21102.25,21221.75
-1,2025-03-19 18:32:00+00:00,21176.5,21204.0,2025-03-19 18:44:00+00:00,stop,-28.25,-1.0272727272727273,2025-03-18 21:00:00+00:00,21261.5,20833.75,21176.5,21121.5
