side,t_entry,entry,stop0,t_exit,reason,net_px,R,t_signal,p1,p2,H,D,count
1,2024-07-03 10:59:00+00:00,22199.25,22176.25,2024-07-03 12:18:00+00:00,stop,-23.75,-1.0326086956521738,2024-07-03 11:00:00+00:00,22174.0,22176.5,22205.0,29.5,2
1,2024-07-05 10:59:00+00:00,22384.25,22368.0,2024-07-05 11:59:00+00:00,close_exit,-9.0,-0.5538461538461539,2024-07-05 11:00:00+00:00,22303.5,22368.25,22402.25,46.95000000000073,1
1,2024-07-08 08:59:00+00:00,22545.0,22525.25,2024-07-08 11:32:00+00:00,target,22.5,1.139240506329114,2024-07-08 09:00:00+00:00,22521.75,22525.5,22545.25,22.75,1
1,2024-07-08 16:59:00+00:00,22577.5,22530.25,2024-07-08 23:29:00+00:00,target,85.125,1.8015873015873016,2024-07-08 17:00:00+00:00,22525.5,22530.5,22596.5,66.625,2
1,2024-07-10 07:59:00+00:00,22655.5,22638.25,2024-07-10 11:37:00+00:00,target,32.272727272727934,1.8708827404479962,2024-07-10 08:00:00+00:00,22558.5,22638.5,22659.75,28.522727272727934,1
1,2024-07-12 01:59:00+00:00,22372.5,22345.75,2024-07-12 02:59:00+00:00,close_exit,-11.5,-0.42990654205607476,2024-07-12 02:00:00+00:00,22318.75,22346.0,22436.5,110.9375,1
1,2024-07-15 00:59:00+00:00,22513.25,22448.5,2024-07-15 02:59:00+00:00,close_exit,1.0,0.015444015444015444,2024-07-15 01:00:00+00:00,22274.75,22448.75,22683.5,312.0833333333321,1
1,2024-07-18 05:59:00+00:00,22018.75,21966.75,2024-07-18 06:50:00+00:00,target,79.33333333333212,1.5256410256410022,2024-07-18 06:00:00+00:00,21908.25,21967.0,22023.0,75.58333333333212,1
1,2024-07-18 09:59:00+00:00,22005.25,21978.0,2024-07-18 10:02:00+00:00,stop,-28.0,-1.0275229357798166,2024-07-18 10:00:00+00:00,21967.0,21978.25,22105.25,129.8125,2
1,2024-07-22 04:59:00+00:00,21743.75,21661.0,2024-07-22 13:46:00+00:00,target,186.28125,2.251132930513595,2024-07-22 05:00:00+00:00,21596.5,21661.25,21783.75,146.78125,1
1,2024-07-23 14:59:00+00:00,21911.25,21866.25,2024-07-23 16:59:00+00:00,close_exit,-20.5,-0.45555555555555555,2024-07-23 15:00:00+00:00,21810.75,21866.5,21958.25,102.90000000000146,1
1,2024-07-25 04:59:00+00:00,21196.75,21158.0,2024-07-25 05:59:00+00:00,close_exit,-20.25,-0.5225806451612903,2024-07-25 05:00:00+00:00,21109.0,21158.25,21247.25,121.83333333333212,1
1,2024-07-25 23:59:00+00:00,20966.25,20882.75,2024-07-26 18:59:00+00:00,close_exit,105.0,1.2574850299401197,2024-07-26 00:00:00+00:00,20826.0,20883.0,21333.0,478.5,1
1,2024-07-28 22:59:00+00:00,21174.75,21046.75,2024-07-29 07:59:00+00:00,close_exit,5.25,0.041015625,2024-07-28 23:00:00+00:00,20983.25,21047.0,21241.5,220.0,1
1,2024-07-29 09:59:00+00:00,21211.5,21161.25,2024-07-29 14:59:00+00:00,stop,-51.0,-1.0149253731343284,2024-07-29 10:00:00+00:00,21047.0,21161.5,21277.5,126.4090909090919,2
1,2024-07-31 19:59:00+00:00,21438.75,21286.5,2024-08-01 06:59:00+00:00,close_exit,97.75,0.6420361247947455,2024-07-31 20:00:00+00:00,20669.25,21286.75,21458.5,233.5,1
1,2024-08-05 14:59:00+00:00,19885.5,19305.75,2024-08-09 08:32:00+00:00,target,684.0,1.1798188874514877,2024-08-05 15:00:00+00:00,19288.5,19306.0,19933.0,637.0,1
1,2024-08-12 00:59:00+00:00,20547.25,20456.75,2024-08-12 06:59:00+00:00,close_exit,22.0,0.2430939226519337,2024-08-12 01:00:00+00:00,20325.5,20457.0,20617.25,218.69444444444525,1
1,2024-08-12 09:59:00+00:00,20593.75,20544.75,2024-08-12 13:42:00+00:00,stop,-49.75,-1.0153061224489797,2024-08-12 10:00:00+00:00,20457.0,20545.0,20609.5,113.3888888888905,2
1,2024-08-12 22:59:00+00:00,20583.75,20523.75,2024-08-13 10:59:00+00:00,close_exit,15.5,0.25833333333333336,2024-08-12 23:00:00+00:00,20466.5,20524.0,20708.0,222.33333333333212,1
1,2024-08-13 12:59:00+00:00,20757.5,20588.5,2024-08-13 16:17:00+00:00,target,188.625,1.1161242603550297,2024-08-13 13:00:00+00:00,20524.0,20588.75,20760.75,185.875,2
1,2024-08-14 22:59:00+00:00,21072.25,20980.5,2024-08-15 04:59:00+00:00,close_exit,80.5,0.8773841961852861,2024-08-14 23:00:00+00:00,20868.0,20980.75,21146.25,255.70000000000073,1
1,2024-08-20 19:59:00+00:00,21754.5,21690.25,2024-08-21 14:42:00+00:00,target,158.16666666666788,2.4617380025940525,2024-08-20 20:00:00+00:00,21685.5,21690.5,21801.0,112.16666666666788,1
1,2024-08-21 22:59:00+00:00,21877.75,21774.75,2024-08-22 01:59:00+00:00,close_exit,-9.25,-0.08980582524271845,2024-08-21 23:00:00+00:00,21713.75,21775.0,21895.5,140.91666666666788,1
1,2024-08-22 05:59:00+00:00,21835.75,21808.0,2024-08-22 14:49:00+00:00,stop,-28.5,-1.027027027027027,2024-08-22 06:00:00+00:00,21775.0,21808.25,21888.5,94.5,2
1,2024-08-23 18:59:00+00:00,21681.5,21534.25,2024-08-26 14:31:00+00:00,stop,-148.0,-1.0050933786078098,2024-08-23 19:00:00+00:00,21484.5,21534.5,21845.75,316.25,1
1,2024-08-26 20:59:00+00:00,21492.5,21456.25,2024-08-27 12:50:00+00:00,stop,-37.0,-1.0206896551724138,2024-08-26 21:00:00+00:00,21449.0,21456.5,21585.75,133.0,1
1,2024-08-28 01:59:00+00:00,21551.75,21502.25,2024-08-28 05:59:00+00:00,close_exit,23.5,0.47474747474747475,2024-08-28 02:00:00+00:00,21384.25,21502.5,21637.0,226.47222222222263,1
1,2024-08-29 22:59:00+00:00,21375.25,21279.25,2024-08-30 14:59:00+00:00,close_exit,35.5,0.3697916666666667,2024-08-29 23:00:00+00:00,21081.5,21279.5,21634.5,402.1428571428587,1
1,2024-09-02 09:59:00+00:00,21532.75,21453.75,2024-09-02 23:59:00+00:00,close_exit,-10.5,-0.13291139240506328,2024-09-02 10:00:00+00:00,21312.5,21454.0,21575.5,232.67857142857247,1
1,2024-09-04 09:59:00+00:00,20864.75,20773.0,2024-09-04 14:39:00+00:00,target,120.91666666666788,1.317892824704827,2024-09-04 10:00:00+00:00,20766.75,20773.25,20877.0,109.16666666666788,1
1,2024-09-04 22:59:00+00:00,20917.5,20849.75,2024-09-04 23:41:00+00:00,stop,-68.5,-1.011070110701107,2024-09-04 23:00:00+00:00,20778.5,20850.0,21057.5,264.7000000000007,1
1,2024-09-05 17:59:00+00:00,20955.0,20784.25,2024-09-06 00:38:00+00:00,stop,-171.5,-1.0043923865300146,2024-09-05 18:00:00+00:00,20770.5,20784.5,21092.75,312.9166666666679,1
1,2024-09-09 17:59:00+00:00,20582.5,20439.5,2024-09-10 09:59:00+00:00,close_exit,-2.25,-0.015734265734265736,2024-09-09 18:00:00+00:00,20279.75,20439.75,20663.0,232.1388888888905,1
1,2024-09-11 07:59:00+00:00,20764.25,20647.0,2024-09-11 14:14:00+00:00,stop,-118.0,-1.0063965884861408,2024-09-11 08:00:00+00:00,20532.25,20647.25,20819.25,258.25,2
1,2024-09-13 10:59:00+00:00,21411.75,21366.75,2024-09-13 12:40:00+00:00,stop,-45.75,-1.0166666666666666,2024-09-13 11:00:00+00:00,21362.5,21367.0,21431.0,66.25,2
1,2024-09-16 00:59:00+00:00,21462.5,21420.75,2024-09-16 02:59:00+00:00,close_exit,-2.0,-0.04790419161676647,2024-09-16 01:00:00+00:00,21338.5,21421.0,21519.5,139.75,1
1,2024-09-16 03:59:00+00:00,21473.5,21438.5,2024-09-16 05:59:00+00:00,close_exit,-14.25,-0.40714285714285714,2024-09-16 04:00:00+00:00,21421.0,21438.75,21489.25,62.33333333333212,2
1,2024-09-17 00:59:00+00:00,21364.5,21331.0,2024-09-17 01:59:00+00:00,close_exit,-0.25,-0.007462686567164179,2024-09-17 01:00:00+00:00,21241.5,21331.25,21394.75,89.1428571428587,1
1,2024-09-17 03:59:00+00:00,21358.5,21344.75,2024-09-17 09:11:00+00:00,target,112.66666666666788,8.193939393939482,2024-09-17 04:00:00+00:00,21331.25,21345.0,21403.75,67.91666666666788,2
1,2024-09-18 07:59:00+00:00,21402.0,21375.0,2024-09-18 08:09:00+00:00,stop,-27.75,-1.0277777777777777,2024-09-18 08:00:00+00:00,21283.75,21375.25,21421.75,71.45454545454413,1
1,2024-09-20 04:59:00+00:00,21764.0,21726.0,2024-09-20 06:59:00+00:00,close_exit,-27.0,-0.7105263157894737,2024-09-20 05:00:00+00:00,21669.25,21726.25,21909.0,220.75,2
1,2024-09-20 20:59:00+00:00,21720.75,21639.75,2024-09-23 04:59:00+00:00,close_exit,127.0,1.5679012345679013,2024-09-20 21:00:00+00:00,21566.0,21640.0,21742.5,151.83333333333212,1
1,2024-09-23 09:59:00+00:00,21784.75,21660.75,2024-09-24 14:41:00+00:00,stop,-124.75,-1.0060483870967742,2024-09-23 10:00:00+00:00,21640.0,21661.0,21870.0,216.0,2
1,2024-09-25 19:59:00+00:00,21901.0,21841.25,2024-09-26 06:01:00+00:00,target,236.02500000000146,3.9502092050209447,2024-09-25 20:00:00+00:00,21769.75,21841.5,21978.75,158.77500000000146,1
1,2024-09-26 17:59:00+00:00,21980.25,21893.75,2024-09-27 15:59:00+00:00,close_exit,-39.25,-0.45375722543352603,2024-09-26 18:00:00+00:00,21841.5,21894.0,22243.75,354.75,2
1,2024-10-01 09:59:00+00:00,21984.25,21920.75,2024-10-01 12:59:00+00:00,close_exit,-3.25,-0.051181102362204724,2024-10-01 10:00:00+00:00,21763.5,21921.0,22037.5,195.25,1
1,2024-10-02 01:59:00+00:00,21691.5,21597.5,2024-10-02 04:59:00+00:00,close_exit,-56.75,-0.6037234042553191,2024-10-02 02:00:00+00:00,21524.0,21597.75,21786.5,230.8928571428587,1
1,2024-10-04 09:59:00+00:00,21743.75,21677.75,2024-10-04 12:46:00+00:00,target,165.5192307692305,2.5078671328671285,2024-10-04 10:00:00+00:00,21585.0,21678.0,21776.0,133.7692307692305,1
1,2024-10-04 16:59:00+00:00,21860.0,21718.75,2024-10-07 09:59:00+00:00,close_exit,-60.25,-0.4265486725663717,2024-10-04 17:00:00+00:00,21678.0,21719.0,21969.0,255.8571428571413,2
1,2024-10-10 20:59:00+00:00,22140.25,22077.75,2024-10-11 01:59:00+00:00,close_exit,16.25,0.26,2024-10-10 21:00:00+00:00,22007.25,22078.0,22214.0,164.29999999999927,1
1,2024-10-14 17:59:00+00:00,22314.25,22230.75,2024-10-15 00:59:00+00:00,close_exit,-6.25,-0.0748502994011976,2024-10-14 18:00:00+00:00,22088.5,22231.0,22386.0,165.96153846153902,1
1,2024-10-15 02:59:00+00:00,22328.75,22296.0,2024-10-15 05:59:00+00:00,close_exit,-16.0,-0.48854961832061067,2024-10-15 03:00:00+00:00,22231.0,22296.25,22372.75,109.125,2
1,2024-10-17 02:59:00+00:00,22011.0,21982.5,2024-10-17 03:59:00+00:00,close_exit,-8.0,-0.2807017543859649,2024-10-17 03:00:00+00:00,21911.25,21982.75,22085.5,142.47222222222263,1
1,2024-10-17 16:59:00+00:00,22173.25,22071.0,2024-10-17 19:38:00+00:00,stop,-103.0,-1.0073349633251834,2024-10-17 17:00:00+00:00,21982.75,22071.25,22300.5,235.57142857142753,2
1,2024-10-18 15:59:00+00:00,22175.75,22138.75,2024-10-21 02:59:00+00:00,close_exit,20.0,0.5405405405405406,2024-10-18 16:00:00+00:00,22124.5,22139.0,22192.0,57.83333333333212,2
1,2024-10-21 17:59:00+00:00,22198.0,22050.75,2024-10-23 15:13:00+00:00,stop,-148.0,-1.0050933786078098,2024-10-21 18:00:00+00:00,22048.5,22051.0,22260.25,209.875,1
1,2024-10-25 06:59:00+00:00,22093.5,22070.5,2024-10-25 12:06:00+00:00,target,73.65000000000146,3.2021739130435414,2024-10-25 07:00:00+00:00,22069.25,22070.75,22118.75,48.900000000001455,2
1,2024-10-29 10:59:00+00:00,22219.5,22187.75,2024-10-29 11:59:00+00:00,close_exit,-20.0,-0.6299212598425197,2024-10-29 11:00:00+00:00,22157.0,22188.0,22261.0,80.75,1
1,2024-10-30 07:59:00+00:00,22450.75,22408.5,2024-10-30 08:59:00+00:00,close_exit,-23.25,-0.5502958579881657,2024-10-30 08:00:00+00:00,22138.0,22408.75,22495.75,159.20000000000073,1
1,2024-10-30 11:59:00+00:00,22420.75,22414.25,2024-10-30 12:03:00+00:00,stop,-7.25,-1.1153846153846154,2024-10-30 12:00:00+00:00,22408.75,22414.5,22470.75,57.6875,2
1,2024-11-01 04:59:00+00:00,21788.0,21723.5,2024-11-01 14:23:00+00:00,target,172.32142857142753,2.6716500553709697,2024-11-01 05:00:00+00:00,21713.75,21723.75,21838.0,122.82142857142753,1
1,2024-11-04 19:59:00+00:00,21842.5,21734.5,2024-11-05 13:59:00+00:00,close_exit,-11.0,-0.10185185185185185,2024-11-04 20:00:00+00:00,21719.25,21734.75,21932.75,203.16666666666788,1
1,2024-11-05 23:59:00+00:00,22050.25,21985.75,2024-11-06 02:40:00+00:00,target,207.625,3.2189922480620154,2024-11-06 00:00:00+00:00,21813.25,21986.0,22079.0,179.375,2
1,2024-11-12 04:59:00+00:00,22928.75,22896.5,2024-11-12 05:58:00+00:00,stop,-33.0,-1.0232558139534884,2024-11-12 05:00:00+00:00,22804.25,22896.75,22955.75,72.21428571428623,1
1,2024-11-13 08:59:00+00:00,22884.25,22807.0,2024-11-13 15:05:00+00:00,stop,-78.0,-1.0097087378640777,2024-11-13 09:00:00+00:00,22760.75,22807.25,22917.0,152.02272727272793,1
1,2024-11-13 23:59:00+00:00,22872.5,22829.75,2024-11-14 00:59:00+00:00,close_exit,-14.25,-0.3333333333333333,2024-11-14 00:00:00+00:00,22763.5,22830.0,22974.75,171.34999999999854,1
1,2024-11-18 11:59:00+00:00,22278.0,22250.5,2024-11-18 12:59:00+00:00,close_exit,-15.0,-0.5454545454545454,2024-11-18 12:00:00+00:00,22111.25,22250.75,22363.75,152.8571428571413,1
1,2024-11-18 21:59:00+00:00,22337.0,22296.25,2024-11-18 23:59:00+00:00,close_exit,-9.25,-0.22699386503067484,2024-11-18 22:00:00+00:00,22187.75,22296.5,22430.5,188.375,1
1,2024-11-19 01:59:00+00:00,22343.75,22309.25,2024-11-19 08:38:00+00:00,stop,-35.25,-1.0217391304347827,2024-11-19 02:00:00+00:00,22296.5,22309.5,22359.5,58.66666666666788,2
1,2024-11-21 03:59:00+00:00,22361.5,22325.75,2024-11-21 05:59:00+00:00,close_exit,21.75,0.6083916083916084,2024-11-21 04:00:00+00:00,22183.25,22326.0,22492.5,214.08333333333212,1
1,2024-11-22 05:59:00+00:00,22472.5,22465.75,2024-11-22 09:24:00+00:00,stop,-7.5,-1.1111111111111112,2024-11-22 06:00:00+00:00,22464.75,22466.0,22531.75,66.0625,2
1,2024-11-22 17:59:00+00:00,22561.25,22427.75,2024-11-25 14:12:00+00:00,target,174.54999999999927,1.3074906367041144,2024-11-22 18:00:00+00:00,22399.0,22428.0,22579.25,157.04999999999927,1
1,2024-11-26 10:59:00+00:00,22600.25,22557.25,2024-11-26 18:59:00+00:00,close_exit,75.0,1.744186046511628,2024-11-26 11:00:00+00:00,22461.25,22557.5,22630.5,100.5,1
1,2024-11-27 07:59:00+00:00,22684.75,22657.75,2024-11-27 08:14:00+00:00,stop,-27.75,-1.0277777777777777,2024-11-27 08:00:00+00:00,22609.75,22658.0,22725.25,83.33333333333212,1
1,2024-11-29 09:59:00+00:00,22603.75,22571.25,2024-11-29 11:59:00+00:00,close_exit,-14.0,-0.4307692307692308,2024-11-29 10:00:00+00:00,22528.25,22571.5,22643.75,93.875,1
1,2024-12-02 05:59:00+00:00,22660.75,22650.75,2024-12-02 06:17:00+00:00,stop,-10.75,-1.075,2024-12-02 06:00:00+00:00,22647.75,22651.0,22680.5,31.66666666666788,2
1,2024-12-06 06:59:00+00:00,23182.75,23164.5,2024-12-06 07:59:00+00:00,close_exit,-1.75,-0.0958904109589041,2024-12-06 07:00:00+00:00,23130.0,23164.75,23187.75,36.900000000001455,1
1,2024-12-09 23:59:00+00:00,23171.75,23146.75,2024-12-10 18:59:00+00:00,close_exit,-13.25,-0.53,2024-12-10 00:00:00+00:00,23143.0,23147.0,23255.75,110.75,1
1,2024-12-13 06:59:00+00:00,23452.25,23403.25,2024-12-13 07:59:00+00:00,close_exit,-10.75,-0.2193877551020408,2024-12-13 07:00:00+00:00,23308.25,23403.5,23474.75,134.75,1
1,2024-12-16 00:59:00+00:00,23507.25,23456.0,2024-12-16 02:59:00+00:00,close_exit,14.5,0.28292682926829266,2024-12-16 01:00:00+00:00,23372.75,23456.25,23530.25,90.70000000000073,1
1,2024-12-16 07:59:00+00:00,23510.25,23490.25,2024-12-16 12:14:00+00:00,target,68.92857142857247,3.4464285714286236,2024-12-16 08:00:00+00:00,23456.25,23490.5,23527.75,51.92857142857247,2
1,2024-12-19 19:59:00+00:00,22895.25,22863.25,2024-12-19 20:35:00+00:00,stop,-32.75,-1.0234375,2024-12-19 20:00:00+00:00,22860.75,22863.5,23130.75,267.83928571428623,2
1,2024-12-23 00:59:00+00:00,23060.0,22945.5,2024-12-23 02:59:00+00:00,close_exit,46.25,0.4039301310043668,2024-12-23 01:00:00+00:00,22439.75,22945.75,23245.25,524.3888888888905,1
1,2024-12-24 02:59:00+00:00,23183.5,23141.0,2024-12-24 03:59:00+00:00,close_exit,-8.25,-0.19411764705882353,2024-12-24 03:00:00+00:00,23099.0,23141.25,23201.75,88.66666666666788,2
1,2024-12-30 09:59:00+00:00,23077.25,23045.25,2024-12-30 11:59:00+00:00,close_exit,1.25,0.0390625,2024-12-30 10:00:00+00:00,22931.0,23045.5,23175.25,200.21153846153902,1
1,2024-12-31 01:59:00+00:00,22850.25,22775.75,2024-12-31 05:59:00+00:00,close_exit,-10.75,-0.14429530201342283,2024-12-31 02:00:00+00:00,22685.5,22776.0,23002.25,277.96428571428623,1
1,2025-01-02 10:59:00+00:00,22830.25,22750.5,2025-01-02 13:59:00+00:00,close_exit,18.75,0.23510971786833856,2025-01-02 11:00:00+00:00,22553.75,22750.75,22831.25,105.125,1
1,2025-01-09 02:59:00+00:00,22777.5,22703.75,2025-01-09 03:59:00+00:00,close_exit,-34.75,-0.4711864406779661,2025-01-09 03:00:00+00:00,22598.75,22704.0,22864.25,230.41666666666788,1
1,2025-01-09 06:59:00+00:00,22748.25,22726.25,2025-01-09 07:18:00+00:00,stop,-22.75,-1.0340909090909092,2025-01-09 07:00:00+00:00,22704.0,22726.5,22779.75,64.5,2
1,2025-01-10 09:59:00+00:00,22710.25,22666.0,2025-01-10 13:30:00+00:00,stop,-45.0,-1.0169491525423728,2025-01-10 10:00:00+00:00,22611.75,22666.25,22760.75,110.07142857142753,1
1,2025-01-13 16:59:00+00:00,22171.0,22134.0,2025-01-13 21:43:00+00:00,target,254.45000000000073,6.877027027027046,2025-01-13 17:00:00+00:00,22126.25,22134.25,22278.5,147.45000000000073,1
1,2025-01-23 04:59:00+00:00,23397.0,23358.75,2025-01-23 06:59:00+00:00,close_exit,-22.75,-0.5947712418300654,2025-01-23 05:00:00+00:00,23272.0,23359.0,23526.75,204.38157894737014,2
1,2025-01-24 02:59:00+00:00,23482.75,23427.0,2025-01-24 03:41:00+00:00,stop,-56.5,-1.0134529147982063,2025-01-24 03:00:00+00:00,23298.75,23427.25,23484.0,85.30555555555475,2
1,2025-01-27 21:59:00+00:00,22736.75,22529.25,2025-01-28 01:59:00+00:00,close_exit,-67.5,-0.3253012048192771,2025-01-27 22:00:00+00:00,22196.5,22529.5,22850.75,469.25,1
1,2025-01-28 04:59:00+00:00,22735.5,22650.5,2025-01-28 06:59:00+00:00,close_exit,-13.0,-0.15294117647058825,2025-01-28 05:00:00+00:00,22529.5,22650.75,22789.25,199.125,2
1,2025-01-29 11:59:00+00:00,23114.25,23060.5,2025-01-29 12:59:00+00:00,close_exit,-35.5,-0.6604651162790698,2025-01-29 12:00:00+00:00,22963.75,23060.75,23130.0,78.95000000000073,2
