side,t_entry,entry,stop0,t_exit,reason,net_px,R,t_signal,one,zero,note
1,2022-01-03 08:05:00+00:00,1.1339878,1.13349,2022-01-03 09:09:00+00:00,target,0.0007421999999999297,1.4909602249898364,2022-01-03 08:00:00+00:00,1.13349,1.1348,
1,2022-01-04 16:35:00+00:00,1.1287148,1.12721,2022-01-05 10:05:00+00:00,target,0.0023851999999999905,1.585061137692739,2022-01-04 15:30:00+00:00,1.12721,1.13117,
-1,2022-01-31 07:59:00+00:00,1.11658,1.11675,2022-01-31 07:59:00+00:00,stop,-0.00025999999999991243,-1.5294117647053358,2022-01-31 07:30:00+00:00,1.11675,1.11616,
-1,2022-02-04 08:55:00+00:00,1.145872,1.14686,2022-02-04 10:07:00+00:00,stop,-0.0010779999999998978,-1.0910931174088156,2022-02-04 08:15:00+00:00,1.14686,1.14426,
1,2022-02-07 13:42:00+00:00,1.1430338,1.14151,2022-02-08 05:51:00+00:00,be_approx,-0.001613799999999873,-1.0590628691428738,2022-02-07 13:00:00+00:00,1.14151,1.14552,BE path approximated
1,2022-02-08 13:07:00+00:00,1.1408184,1.13961,2022-02-09 02:23:00+00:00,target,0.0019016000000000733,1.5736511089045437,2022-02-08 11:00:00+00:00,1.13961,1.14279,
-1,2022-02-14 12:43:00+00:00,1.1339288,1.13497,2022-02-14 13:11:00+00:00,target,0.0016288000000000003,1.564348828275121,2022-02-14 08:30:00+00:00,1.13497,1.13223,
-1,2022-03-09 12:01:00+00:00,1.0974359999999999,1.09926,2022-03-09 13:12:00+00:00,stop,-0.0019139999999999568,-1.0493421052631067,2022-03-09 11:30:00+00:00,1.09926,1.09446,
-1,2022-03-14 15:24:00+00:00,1.0971954,1.09897,2022-03-14 16:28:00+00:00,stop,-0.0018645999999999795,-1.0507156542318863,2022-03-14 12:00:00+00:00,1.09897,1.0943,
-1,2022-03-16 14:14:00+00:00,1.1011096,1.10247,2022-03-16 14:14:00+00:00,stop,-0.0014503999999999483,-1.0661570126432713,2022-03-16 12:45:00+00:00,1.10247,1.09889,
