day,coin,src,status,ev,ev_c,ev_c0,rx,rx_c,hl_lead,bn_lead,hl_del,bn_del
2024-11-01,BTC,trades,ok,900,0.0913,0.0107,1000,0.0958,0.0992,1.1402,37.6,4.6
2024-11-01,BTC,quotes,ok,1200,0.1005,0.0189,1200,0.0978,0.1451,1.6314,30.2,3.4
2024-11-01,ETH,trades,ok,900,0.0652,-0.0001,1000,0.0647,0.0511,0.8426,39.1,4.5
2024-11-01,ETH,quotes,ok,600,0.1388,0.0239,700,0.1413,0.1001,1.6893,32.8,3.2
2024-11-01,SOL,trades,ok,900,0.0486,0.0056,1000,0.0466,0.0488,0.5903,36.5,4.3
2024-11-01,SOL,quotes,ok,600,0.1338,0.0251,700,0.1407,0.1539,1.577,34.7,3.1
2024-12-01,BTC,trades,ok,900,0.0603,0.0103,1000,0.0589,0.0682,0.7056,49.7,4.6
2024-12-01,BTC,quotes,ok,600,0.1043,0.0164,600,0.0998,0.1711,1.3866,43.2,3.6
2024-12-01,ETH,trades,ok,900,0.0567,0.0081,1000,0.0585,0.07,0.8588,47.1,4.1
2024-12-01,ETH,quotes,ok,700,0.118,0.02,700,0.1202,0.1662,1.55,45.7,2.8
2024-12-01,SOL,trades,ok,800,0.0599,0.0047,900,0.0597,0.0438,0.4115,48.8,3.8
2024-12-01,SOL,quotes,ok,600,0.1425,0.0255,600,0.1368,0.1809,1.5297,51.5,2.7
2025-01-01,BTC,trades,ok,800,0.0948,0.0125,1000,0.0885,0.1143,0.8599,51.6,3.1
2025-01-01,BTC,quotes,ok,1300,0.0873,0.0213,1300,0.0903,0.1758,1.4443,45.8,2.5
2025-01-01,ETH,trades,ok,800,0.0859,0.0081,900,0.085,0.0449,0.8048,50.0,3.4
2025-01-01,ETH,quotes,ok,600,0.1081,0.0235,700,0.107,0.1183,1.4306,47.4,2.7
2025-01-01,SOL,trades,ok,900,0.0583,0.0099,900,0.0498,0.041,0.5025,53.2,3.6
2025-01-01,SOL,quotes,ok,600,0.1097,0.026,600,0.1081,0.1431,1.4437,58.1,3.1
2025-02-01,BTC,trades,ok,900,0.0953,0.0059,1100,0.0918,0.2092,0.9247,248.7,3.1
2025-02-01,BTC,quotes,ok,1300,0.0992,0.0199,1300,0.0966,0.2688,1.4237,281.7,2.5
