tag,side,t_signal,t_entry,entry,stop0,t_exit,reason,gross_px,net_px,risk_px,R,gross_R,mfe_R,mae_R,net_usd_1,m_anchor,m_internal,m_anchor_i,m_internal_i,m_tgt1,m_day
A1_k1_spike_nearest,-1,2026-06-24 13:30:00+00:00,2026-06-24 13:30:00+00:00,52419.0,52570.0,2026-06-24 13:50:00+00:00,stop,-8.0,-152.7,151.0,-1.0112582781456954,-0.052980132450331126,0.1456953642384106,-1.1986754966887416,-763.5,52568.0,52561.0,144,148,52325.0,2026-06-24
A1_k1_spike_nearest,-1,2026-06-24 14:15:00+00:00,2026-06-24 14:15:00+00:00,52603.0,52652.0,2026-06-24 14:22:00+00:00,stop,-18.0,-50.7,49.0,-1.0346938775510204,-0.3673469387755102,0.9795918367346939,-1.4489795918367347,-253.5,52650.0,52633.0,166,169,52397.0,2026-06-24
A1_k1_spike_nearest,1,2026-06-24 15:15:00+00:00,2026-06-24 15:15:00+00:00,52889.0,52323.0,2026-06-24 15:16:00+00:00,target,285.0,34.3,566.0,0.060600706713780914,0.5035335689045937,0.07773851590106007,-0.0017667844522968198,171.5,52325.0,52640.0,160,176,52924.0,2026-06-24
A1_k1_spike_nearest,1,2026-06-25 13:30:00+00:00,2026-06-25 13:30:00+00:00,52932.0,52323.0,2026-06-25 13:31:00+00:00,target,306.0,105.3,609.0,0.1729064039408867,0.5024630541871922,0.2315270935960591,-0.029556650246305417,526.5,52325.0,52550.0,160,213,52855.0,2026-06-25
A1_k1_spike_nearest,1,2026-06-25 13:55:00+00:00,2026-06-25 13:55:00+00:00,52871.0,52323.0,2026-06-25 14:05:00+00:00,target,221.0,201.3,548.0,0.3673357664233577,0.4032846715328467,0.5383211678832117,-0.10766423357664233,1006.5,52325.0,52853.0,160,441,53073.0,2026-06-25
A1_k1_spike_nearest,1,2026-06-25 14:45:00+00:00,2026-06-25 14:45:00+00:00,53372.0,52323.0,2026-06-25 16:00:00+00:00,time,-134.0,-310.7,1049.0,-0.29618684461391803,-0.12774070543374644,0.09914204003813155,-0.3536701620591039,-1553.5,52325.0,53198.0,160,447,53489.0,2026-06-25
A1_k1_spike_nearest,-1,2026-06-26 13:30:00+00:00,2026-06-26 13:30:00+00:00,52487.0,53140.0,2026-06-26 13:33:00+00:00,target,461.0,-16.7,653.0,-0.025574272588055127,0.7059724349157733,0.02450229709035222,-0.2006125574272588,-83.5,53138.0,52963.0,470,497,52503.0,2026-06-26
A1_k1_spike_nearest,-1,2026-06-26 13:40:00+00:00,2026-06-26 13:40:00+00:00,52485.0,53140.0,2026-06-26 13:42:00+00:00,target,172.0,37.3,655.0,0.05694656488549618,0.26259541984732826,0.07633587786259542,-0.06412213740458016,186.5,53138.0,52618.0,470,714,52447.0,2026-06-26
A1_k1_spike_nearest,-1,2026-06-26 13:55:00+00:00,2026-06-26 13:55:00+00:00,52508.0,53140.0,2026-06-26 16:00:00+00:00,time,-315.0,-390.7,632.0,-0.6181962025316455,-0.49841772151898733,0.022151898734177215,-0.6740506329113924,-1953.5,53138.0,52581.0,470,717,52400.0,2026-06-26
A1_k1_spike_nearest,-1,2026-06-29 13:30:00+00:00,2026-06-29 13:30:00+00:00,52848.0,52936.0,2026-06-29 13:31:00+00:00,target,142.0,67.3,88.0,0.7647727272727273,1.6136363636363635,0.8636363636363636,-0.2840909090909091,336.5,52934.0,52921.0,740,987,52780.0,2026-06-29
