tag,side,t_signal,t_entry,entry,stop0,t_exit,reason,gross_px,net_px,risk_px,R,gross_R,mfe_R,mae_R,net_usd_1,m_anchor,m_internal,m_anchor_i,m_internal_i,m_tgt1,m_day
A2_k2_spike_nearest,-1,2024-07-01 13:30:00+00:00,2024-07-01 13:30:00+00:00,21913.25,21963.25,2024-07-01 13:34:00+00:00,target,86.25,40.0,50.0,0.8,1.725,0.855,-0.3,80.0,21962.75,21958.75,76,86,21872.75,2024-07-01
A2_k2_spike_nearest,-1,2024-07-01 13:45:00+00:00,2024-07-01 13:45:00+00:00,21860.25,21963.25,2024-07-01 13:46:00+00:00,target,85.0,16.25,103.0,0.15776699029126215,0.8252427184466019,0.2815533980582524,-0.08980582524271845,32.5,21962.75,21928.25,76,162,21843.5,2024-07-01
A2_k2_spike_nearest,-1,2024-07-01 14:50:00+00:00,2024-07-01 14:50:00+00:00,21835.75,21963.25,2024-07-01 16:00:00+00:00,time,-25.75,-83.75,127.5,-0.6568627450980392,-0.2019607843137255,0.23333333333333334,-0.6509803921568628,-167.5,21962.75,21892.75,76,175,21754.0,2024-07-01
A2_k2_spike_nearest,-1,2024-07-02 13:30:00+00:00,2024-07-02 13:30:00+00:00,21924.25,22017.0,2024-07-02 13:42:00+00:00,stop,-20.0,-93.5,92.75,-1.0080862533692723,-0.215633423180593,0.05660377358490566,-1.0808625336927224,-187.0,22016.5,21996.75,239,253,21874.75,2024-07-02
A2_k2_spike_nearest,-1,2024-07-02 14:20:00+00:00,2024-07-02 14:20:00+00:00,22001.75,22039.5,2024-07-02 14:40:00+00:00,stop,-6.75,-38.5,37.75,-1.0198675496688743,-0.17880794701986755,1.0596026490066226,-1.2847682119205297,-77.0,22039.0,22032.5,441,445,21874.75,2024-07-02
A2_k2_spike_nearest,1,2024-07-02 15:20:00+00:00,2024-07-02 15:20:00+00:00,22048.25,21753.5,2024-07-02 15:30:00+00:00,target,69.75,24.5,294.75,0.08312128922815945,0.2366412213740458,0.11789652247667515,-0.0720949957591179,49.0,21754.0,22003.75,171,453,22073.25,2024-07-02
A2_k2_spike_nearest,-1,2024-07-03 13:30:00+00:00,2024-07-03 13:30:00+00:00,22158.5,22221.25,2024-07-03 13:52:00+00:00,stop,-7.75,-63.5,62.75,-1.0119521912350598,-0.12350597609561753,0.0,-1.0119521912350598,-127.0,22220.75,22213.25,669,678,22147.5,2024-07-03
A2_k2_spike_nearest,1,2024-07-03 14:15:00+00:00,2024-07-03 14:15:00+00:00,22226.0,21851.75,2024-07-03 14:43:00+00:00,target,61.5,12.5,374.25,0.033400133600534405,0.16432865731462926,0.052772211088844355,-0.10554442217768871,25.0,21852.25,22177.75,418,720,22239.0,2024-07-03
A2_k2_spike_nearest,-1,2024-07-04 13:30:00+00:00,2024-07-04 13:30:00+00:00,22347.75,22378.5,2024-07-04 13:31:00+00:00,target,16.0,3.0,30.75,0.0975609756097561,0.5203252032520326,0.17886178861788618,-0.032520325203252036,6.0,22378.0,22360.0,757,804,22344.25,2024-07-04
A2_k2_spike_nearest,1,2024-07-04 14:30:00+00:00,2024-07-04 14:30:00+00:00,22322.75,22147.0,2024-07-04 16:00:00+00:00,time,14.25,5.0,175.75,0.02844950213371266,0.08108108108108109,0.07539118065433854,-0.06116642958748222,10.0,22147.5,22314.5,704,954,22352.25,2024-07-04
A2_k2_spike_nearest,1,2024-07-05 13:30:00+00:00,2024-07-05 13:30:00+00:00,22384.25,22303.0,2024-07-05 13:55:00+00:00,target,114.25,52.5,81.25,0.6461538461538462,1.406153846153846,0.8215384615384616,-0.16923076923076924,105.0,22303.5,22323.25,987,1161,22437.25,2024-07-05
A2_k2_spike_nearest,1,2024-07-05 14:15:00+00:00,2024-07-05 14:15:00+00:00,22435.0,22303.0,2024-07-05 14:48:00+00:00,target,116.75,51.5,132.0,0.39015151515151514,0.884469696969697,0.4109848484848485,-0.06060606060606061,103.0,22303.5,22370.5,987,1176,22487.0,2024-07-05
A2_k2_spike_nearest,1,2024-07-05 15:00:00+00:00,2024-07-05 15:00:00+00:00,22466.25,22303.0,2024-07-05 15:10:00+00:00,target,62.0,27.75,163.25,0.16998468606431852,0.37978560490045943,0.1883614088820827,-0.08728943338437979,55.5,22303.5,22432.75,987,1186,22494.5,2024-07-05
A2_k2_spike_nearest,1,2024-07-08 13:30:00+00:00,2024-07-08 13:30:00+00:00,22574.75,22303.0,2024-07-08 13:32:00+00:00,target,132.75,9.25,271.75,0.03403863845446182,0.48850045998160074,0.046918123275068994,-0.06347746090156393,18.5,22303.5,22452.0,987,1191,22584.5,2024-07-08
A2_k2_spike_nearest,1,2024-07-08 13:50:00+00:00,2024-07-08 13:50:00+00:00,22565.5,22303.0,2024-07-08 13:51:00+00:00,target,44.5,22.75,262.5,0.08666666666666667,0.16952380952380952,0.1180952380952381,-0.0019047619047619048,45.5,22303.5,22543.25,987,1450,22587.5,2024-07-08
A2_k2_spike_nearest,1,2024-07-08 14:15:00+00:00,2024-07-08 14:15:00+00:00,22577.5,22303.0,2024-07-08 15:22:00+00:00,target,57.75,18.5,274.5,0.06739526411657559,0.2103825136612022,0.10746812386156648,-0.17122040072859745,37.0,22303.5,22539.0,987,1455,22596.5,2024-07-08
A2_k2_spike_nearest,-1,2024-07-09 13:30:00+00:00,2024-07-09 13:30:00+00:00,22665.25,22688.5,2024-07-09 13:32:00+00:00,stop,-14.0,-24.0,23.25,-1.032258064516129,-0.6021505376344086,0.07526881720430108,-1.053763440860215,-48.0,22688.0,22674.25,1696,1708,22658.75,2024-07-09
A2_k2_spike_nearest,1,2024-07-09 13:50:00+00:00,2024-07-09 13:50:00+00:00,22674.5,22521.25,2024-07-09 14:12:00+00:00,target,46.75,32.0,153.25,0.20880913539967375,0.30505709624796085,0.25938009787928223,-0.12561174551386622,64.0,22521.75,22660.5,1300,1724,22707.0,2024-07-09
A2_k2_spike_nearest,1,2024-07-09 14:25:00+00:00,2024-07-09 14:25:00+00:00,22661.25,22521.25,2024-07-09 16:00:00+00:00,time,-7.25,-14.25,140.0,-0.10178571428571428,-0.05178571428571429,0.16785714285714284,-0.3482142857142857,-28.5,22521.75,22655.25,1300,1732,22714.25,2024-07-09
