tag,side,t_signal,t_entry,entry,stop0,t_exit,reason,gross_px,net_px,risk_px,R,gross_R,mfe_R,mae_R,net_usd_1,m_anchor,m_internal,m_anchor_i,m_internal_i,m_tgt1,m_day
A3_k1_spike_split,-1,2024-07-01 13:30:00+00:00,2024-07-01 13:30:00+00:00,21913.25,21963.25,2024-07-01 13:34:00+00:00,target,78.625,29.875,50.0,0.5975,1.5725,0.855,-0.3,59.75,21962.75,21961.25,76,78,21893.0,2024-07-01
A3_k1_spike_split,-1,2024-07-01 13:40:00+00:00,2024-07-01 13:40:00+00:00,21896.5,21963.25,2024-07-01 13:41:00+00:00,target,60.625,28.125,66.75,0.42134831460674155,0.9082397003745318,0.5093632958801498,-0.003745318352059925,56.25,21962.75,21928.25,76,162,21870.5,2024-07-01
A3_k1_spike_split,-1,2024-07-01 14:35:00+00:00,2024-07-01 14:35:00+00:00,21855.75,21963.25,2024-07-01 16:00:00+00:00,time,-31.0,-63.75,107.5,-0.5930232558139535,-0.28837209302325584,0.4627906976744186,-0.586046511627907,-127.5,21962.75,21887.5,76,173,21754.0,2024-07-01
A3_k1_spike_split,-1,2024-07-02 13:30:00+00:00,2024-07-02 13:30:00+00:00,21924.25,22017.0,2024-07-02 13:42:00+00:00,stop,-20.0,-93.5,92.75,-1.0080862533692723,-0.215633423180593,0.05660377358490566,-1.0808625336927224,-187.0,22016.5,21996.75,239,253,21874.75,2024-07-02
A3_k1_spike_split,-1,2024-07-02 14:05:00+00:00,2024-07-02 14:05:00+00:00,22013.75,22039.5,2024-07-02 14:40:00+00:00,stop,-18.25,-26.5,25.75,-1.029126213592233,-0.7087378640776699,2.1844660194174756,-1.4174757281553398,-53.0,22039.0,22021.0,441,443,21913.0,2024-07-02
A3_k1_spike_split,1,2024-07-02 15:05:00+00:00,2024-07-02 15:05:00+00:00,22060.5,21753.5,2024-07-02 15:06:00+00:00,target,63.25,5.75,307.0,0.018729641693811076,0.20602605863192183,0.033387622149837134,-0.0016286644951140066,11.5,21754.0,22003.75,171,453,22066.75,2024-07-02
A3_k1_spike_split,1,2024-07-02 15:20:00+00:00,2024-07-02 15:20:00+00:00,22048.25,21753.5,2024-07-02 15:30:00+00:00,target,28.0,24.5,294.75,0.08312128922815945,0.09499575911789652,0.11789652247667515,-0.0720949957591179,49.0,21754.0,22045.5,171,458,22073.25,2024-07-02
A3_k1_spike_split,-1,2024-07-03 13:30:00+00:00,2024-07-03 13:30:00+00:00,22158.5,22221.25,2024-07-03 13:52:00+00:00,stop,-5.0,-63.5,62.75,-1.0119521912350598,-0.0796812749003984,0.0,-1.0119521912350598,-127.0,22220.75,22216.0,669,671,22147.5,2024-07-03
A3_k1_spike_split,1,2024-07-03 14:10:00+00:00,2024-07-03 14:10:00+00:00,22200.5,21851.75,2024-07-03 14:43:00+00:00,target,61.5,38.0,348.75,0.10896057347670252,0.17634408602150536,0.12974910394265232,-0.04014336917562724,76.0,21852.25,22177.75,418,720,22239.0,2024-07-03
A3_k1_spike_split,1,2024-07-03 15:05:00+00:00,2024-07-03 15:05:00+00:00,22244.75,21851.75,2024-07-03 15:06:00+00:00,target,30.0,18.25,393.0,0.04643765903307888,0.07633587786259542,0.060432569974554706,-0.010178117048346057,36.5,21852.25,22233.75,418,730,22263.5,2024-07-03
A3_k1_spike_split,-1,2024-07-04 13:30:00+00:00,2024-07-04 13:30:00+00:00,22347.75,22378.5,2024-07-04 13:31:00+00:00,target,13.5,2.75,30.75,0.08943089430894309,0.43902439024390244,0.17886178861788618,-0.032520325203252036,5.5,22378.0,22360.0,757,804,22347.75,2024-07-04
A3_k1_spike_split,1,2024-07-04 13:45:00+00:00,2024-07-04 13:45:00+00:00,22337.0,22147.0,2024-07-04 16:00:00+00:00,time,-1.25,-9.25,190.0,-0.04868421052631579,-0.006578947368421052,0.0,-0.13157894736842105,-18.5,22147.5,22330.0,704,946,22352.25,2024-07-04
A3_k1_spike_split,1,2024-07-05 13:30:00+00:00,2024-07-05 13:30:00+00:00,22384.25,22303.0,2024-07-05 13:55:00+00:00,target,114.25,52.5,81.25,0.6461538461538462,1.406153846153846,0.8215384615384616,-0.16923076923076924,105.0,22303.5,22323.25,987,1161,22437.25,2024-07-05
A3_k1_spike_split,1,2024-07-05 14:20:00+00:00,2024-07-05 14:20:00+00:00,22451.25,22303.0,2024-07-05 14:48:00+00:00,target,82.5,35.25,148.25,0.23777403035413153,0.5564924114671164,0.2563237774030354,-0.13827993254637436,70.5,22303.5,22404.75,987,1181,22487.0,2024-07-05
A3_k1_spike_split,1,2024-07-05 15:10:00+00:00,2024-07-05 15:10:00+00:00,22482.25,22303.0,2024-07-05 15:11:00+00:00,target,42.75,11.75,179.25,0.06555090655509066,0.2384937238493724,0.100418410041841,-0.015341701534170154,23.5,22303.5,22452.0,987,1191,22494.5,2024-07-05
A3_k1_spike_split,1,2024-07-08 13:30:00+00:00,2024-07-08 13:30:00+00:00,22574.75,22303.0,2024-07-08 13:32:00+00:00,target,101.25,9.25,271.75,0.03403863845446182,0.37258509659613614,0.046918123275068994,-0.06347746090156393,18.5,22303.5,22483.5,987,1195,22584.5,2024-07-08
A3_k1_spike_split,1,2024-07-08 13:45:00+00:00,2024-07-08 13:45:00+00:00,22565.0,22303.0,2024-07-08 13:50:00+00:00,target,44.5,22.0,262.0,0.08396946564885496,0.16984732824427481,0.10209923664122138,-0.04961832061068702,44.0,22303.5,22543.25,987,1450,22587.5,2024-07-08
A3_k1_spike_split,1,2024-07-08 14:10:00+00:00,2024-07-08 14:10:00+00:00,22573.75,22303.0,2024-07-08 15:22:00+00:00,target,57.75,22.25,270.75,0.08217913204062789,0.21329639889196675,0.12280701754385964,-0.15974145891043398,44.5,22303.5,22539.0,987,1455,22596.5,2024-07-08
A3_k1_spike_split,-1,2024-07-09 13:30:00+00:00,2024-07-09 13:30:00+00:00,22665.25,22691.75,2024-07-09 13:33:00+00:00,stop,-1.0,-27.25,26.5,-1.028301886792453,-0.03773584905660377,0.0660377358490566,-1.3962264150943395,-54.5,22691.25,22690.5,1566,1681,22658.75,2024-07-09
A3_k1_spike_split,1,2024-07-09 13:45:00+00:00,2024-07-09 13:45:00+00:00,22686.5,22521.25,2024-07-09 14:12:00+00:00,target,46.75,20.0,165.25,0.12102874432677761,0.28290468986384265,0.16792738275340394,-0.18910741301059,40.0,22521.75,22660.5,1300,1724,22707.0,2024-07-09
A3_k1_spike_split,1,2024-07-09 14:20:00+00:00,2024-07-09 14:20:00+00:00,22700.25,22521.25,2024-07-09 16:00:00+00:00,time,-7.25,-53.25,179.0,-0.29748603351955305,-0.040502793296089384,0.023743016759776536,-0.49022346368715086,-106.5,22521.75,22655.25,1300,1732,22714.25,2024-07-09
A3_k1_spike_split,-1,2024-07-10 13:30:00+00:00,2024-07-10 13:30:00+00:00,22700.25,22714.75,2024-07-10 13:31:00+00:00,target,14.375,3.875,14.5,0.2672413793103448,0.9913793103448276,0.5,-0.7241379310344828,7.75,22714.25,22710.0,1733,1990,22697.0,2024-07-10
