tag,side,t_signal,t_entry,entry,stop0,t_exit,reason,gross_px,net_px,risk_px,R,gross_R,mfe_R,mae_R,net_usd_1,m_anchor,m_internal,m_anchor_i,m_internal_i,m_tgt1,m_day
A3_k1_spike_split,1,2024-07-01 13:30:00+00:00,2024-07-01 13:30:00+00:00,21892.75,21843.0,2024-07-01 13:46:00+00:00,stop,-49.75,-50.5,49.75,-1.015075376884422,-1.0,0.7135678391959799,-1.236180904522613,-101.0,21843.5,21893.0,110,159,21935.25,2024-07-01
A3_k1_spike_split,-1,2024-07-01 14:35:00+00:00,2024-07-01 14:36:00+00:00,21887.75,21963.25,2024-07-01 16:00:00+00:00,time,-31.0,-31.75,75.5,-0.4205298013245033,-0.4105960264900662,1.0827814569536425,-0.4105960264900662,-63.5,21962.75,21887.5,76,173,21754.0,2024-07-01
A3_k1_spike_split,-1,2024-07-02 13:30:00+00:00,2024-07-02 13:31:00+00:00,21947.75,22017.0,2024-07-02 13:42:00+00:00,stop,-69.25,-70.0,69.25,-1.0108303249097472,-1.0,0.3285198555956679,-1.108303249097473,-140.0,22016.5,21947.5,239,353,21874.75,2024-07-02
A3_k1_spike_split,-1,2024-07-02 14:05:00+00:00,2024-07-02 14:05:00+00:00,22021.25,22039.5,2024-07-02 14:40:00+00:00,stop,-18.25,-19.0,18.25,-1.0410958904109588,-1.0,3.493150684931507,-1.5890410958904109,-38.0,22039.0,22021.0,441,443,21913.0,2024-07-02
A3_k1_spike_split,1,2024-07-02 15:20:00+00:00,2024-07-02 15:20:00+00:00,22045.25,21753.5,2024-07-02 15:30:00+00:00,target,28.0,27.5,291.75,0.09425878320479864,0.0959725792630677,0.1293916023993145,-0.06255355612682091,55.0,21754.0,22045.5,171,458,22073.25,2024-07-02
A3_k1_spike_split,-1,2024-07-03 13:30:00+00:00,2024-07-03 13:30:00+00:00,22185.25,22221.25,2024-07-03 13:52:00+00:00,stop,-36.0,-36.75,36.0,-1.0208333333333333,-1.0,0.7430555555555556,-1.0208333333333333,-73.5,22220.75,22185.0,669,702,22147.5,2024-07-03
A3_k1_spike_split,1,2024-07-03 14:20:00+00:00,2024-07-03 14:26:00+00:00,22193.75,21851.75,2024-07-03 14:43:00+00:00,target,45.25,44.75,342.0,0.13084795321637427,0.13230994152046785,0.15204678362573099,-0.021198830409356724,89.5,21852.25,22194.0,418,722,22239.0,2024-07-03
A3_k1_spike_split,1,2024-07-04 13:30:00+00:00,2024-07-04 13:30:00+00:00,22345.5,22147.0,2024-07-04 16:00:00+00:00,time,-17.0,-17.75,198.5,-0.08942065491183879,-0.08564231738035265,0.0163727959697733,-0.16876574307304787,-35.5,22147.5,22345.75,704,933,22352.25,2024-07-04
A3_k1_spike_split,-1,2024-07-05 14:30:00+00:00,2024-07-05 14:31:00+00:00,22462.25,22487.5,2024-07-05 14:48:00+00:00,stop,-25.25,-26.0,25.25,-1.0297029702970297,-1.0,1.1683168316831682,-1.0693069306930694,-52.0,22487.0,22462.0,1179,1183,22404.75,2024-07-05
A3_k1_spike_split,1,2024-07-08 13:30:00+00:00,2024-07-08 13:30:00+00:00,22565.25,22303.0,2024-07-08 13:32:00+00:00,target,19.25,18.75,262.25,0.07149666348903717,0.07340324118207817,0.08484270734032412,-0.029551954242135366,37.5,22303.5,22565.5,987,1427,22584.5,2024-07-08
A3_k1_spike_split,1,2024-07-08 13:30:00+00:00,2024-07-08 13:35:00+00:00,22548.0,22303.0,2024-07-08 13:50:00+00:00,target,36.5,36.0,245.0,0.1469387755102041,0.1489795918367347,0.17857142857142858,-0.019387755102040816,72.0,22303.5,22548.25,987,1419,22584.5,2024-07-08
A3_k1_spike_split,1,2024-07-08 13:30:00+00:00,2024-07-08 14:01:00+00:00,22541.25,22303.0,2024-07-08 15:20:00+00:00,target,43.25,42.75,238.25,0.1794333683105981,0.18153200419727178,0.20461699895068206,-0.04512067156348373,85.5,22303.5,22541.5,987,1380,22584.5,2024-07-08
A3_k1_spike_split,-1,2024-07-09 13:30:00+00:00,2024-07-09 13:30:00+00:00,22674.5,22691.75,2024-07-09 13:33:00+00:00,stop,-17.25,-18.0,17.25,-1.0434782608695652,-1.0,0.6376811594202898,-1.608695652173913,-36.0,22691.25,22674.25,1566,1708,22658.75,2024-07-09
A3_k1_spike_split,-1,2024-07-09 13:55:00+00:00,2024-07-09 13:56:00+00:00,22689.75,22707.5,2024-07-09 14:06:00+00:00,target,28.625,28.125,17.75,1.5845070422535212,1.6126760563380282,1.943661971830986,-0.8309859154929577,56.25,22707.0,22689.5,1726,1728,22661.75,2024-07-09
A3_k1_spike_split,-1,2024-07-09 14:05:00+00:00,2024-07-09 14:12:00+00:00,22704.75,22707.5,2024-07-09 14:12:00+00:00,stop,-2.75,-3.5,2.75,-1.2727272727272727,-1.0,4.2727272727272725,-3.4545454545454546,-7.0,22707.0,22704.5,1726,1730,22665.75,2024-07-09
A3_k1_spike_split,1,2024-07-09 14:20:00+00:00,2024-07-09 14:25:00+00:00,22655.0,22521.25,2024-07-09 16:00:00+00:00,time,-7.25,-8.0,133.75,-0.059813084112149535,-0.05420560747663551,0.22242990654205608,-0.3177570093457944,-16.0,22521.75,22655.25,1300,1732,22714.25,2024-07-09
A3_k1_spike_split,-1,2024-07-10 13:30:00+00:00,2024-07-10 13:30:00+00:00,22707.25,22714.75,2024-07-10 13:31:00+00:00,target,11.375,10.875,7.5,1.45,1.5166666666666666,1.9,-0.4666666666666667,21.75,22714.25,22707.0,1733,1997,22697.0,2024-07-10
A3_k1_spike_split,1,2024-07-10 13:30:00+00:00,2024-07-10 13:32:00+00:00,22690.25,22558.0,2024-07-10 13:49:00+00:00,target,18.25,17.75,132.25,0.1342155009451796,0.13799621928166353,0.23062381852551986,-0.19848771266540643,35.5,22558.5,22690.5,1772,1983,22707.0,2024-07-10
A3_k1_spike_split,1,2024-07-10 14:20:00+00:00,2024-07-10 14:23:00+00:00,22694.25,22558.0,2024-07-10 16:00:00+00:00,time,15.5,14.75,136.25,0.10825688073394496,0.11376146788990826,0.1688073394495413,-0.3577981651376147,29.5,22558.5,22694.5,1772,2007,22738.25,2024-07-10
A3_k1_spike_split,1,2024-07-11 13:30:00+00:00,2024-07-11 13:30:00+00:00,22833.75,22624.0,2024-07-11 14:19:00+00:00,stop,-209.75,-210.5,209.75,-1.0035756853396902,-1.0,0.052443384982121574,-1.0190703218116806,-421.0,22624.5,22834.0,1815,2273,22926.0,2024-07-11
A3_k1_spike_split,-1,2024-07-12 13:30:00+00:00,2024-07-12 13:30:00+00:00,22394.75,22926.5,2024-07-12 16:00:00+00:00,time,-143.25,-144.0,531.75,-0.27080394922425954,-0.2693935119887165,0.05077574047954866,-0.4085566525622943,-288.0,22926.0,22394.5,2265,2549,22352.5,2024-07-12
A3_k1_spike_split,-1,2024-07-15 13:30:00+00:00,2024-07-15 13:33:00+00:00,22580.25,22655.75,2024-07-15 13:45:00+00:00,target,42.375,41.875,75.5,0.554635761589404,0.5612582781456954,0.7152317880794702,-0.3675496688741722,83.75,22655.25,22580.0,2618,2814,22541.25,2024-07-15
A3_k1_spike_split,-1,2024-07-15 14:00:00+00:00,2024-07-15 14:01:00+00:00,22583.5,22655.75,2024-07-15 14:36:00+00:00,stop,-72.25,-73.0,72.25,-1.0103806228373702,-1.0,0.14186851211072665,-1.0173010380622838,-146.0,22655.25,22583.25,2618,2833,22524.0,2024-07-15
A3_k1_spike_split,-1,2024-07-16 13:30:00+00:00,2024-07-16 13:30:00+00:00,22597.75,22630.0,2024-07-16 13:48:00+00:00,target,34.125,33.625,32.25,1.0426356589147288,1.058139534883721,1.1317829457364341,-0.8914728682170543,67.25,22629.5,22597.5,2867,2978,22564.5,2024-07-16
A3_k1_spike_split,1,2024-07-16 13:55:00+00:00,2024-07-16 13:56:00+00:00,22542.75,22448.25,2024-07-16 14:07:00+00:00,stop,-94.5,-95.25,94.5,-1.007936507936508,-1.0,0.18518518518518517,-1.0423280423280423,-190.5,22448.75,22543.0,2647,3108,22626.5,2024-07-16
A3_k1_spike_split,-1,2024-07-16 14:30:00+00:00,2024-07-16 14:39:00+00:00,22497.5,22630.0,2024-07-16 16:00:00+00:00,time,4.25,3.5,132.5,0.026415094339622643,0.03207547169811321,0.24716981132075472,-0.4037735849056604,7.0,22629.5,22497.25,2867,3115,22434.5,2024-07-16
A3_k1_spike_split,-1,2024-07-17 14:25:00+00:00,2024-07-17 14:34:00+00:00,22101.25,22627.0,2024-07-17 15:05:00+00:00,target,60.75,60.25,525.75,0.11459819305753685,0.11554921540656206,0.12363290537327627,-0.03946742748454589,120.5,22626.5,22101.0,3106,3390,22040.5,2024-07-17
A3_k1_spike_split,-1,2024-07-17 15:05:00+00:00,2024-07-17 15:09:00+00:00,22073.25,22627.0,2024-07-17 15:12:00+00:00,target,32.75,32.25,553.75,0.058239277652370205,0.05914221218961625,0.060948081264108354,-0.0036117381489841984,64.5,22626.5,22073.0,3106,3398,22040.5,2024-07-17
A3_k1_spike_split,1,2024-07-18 13:30:00+00:00,2024-07-18 13:30:00+00:00,22075.5,21907.75,2024-07-18 14:34:00+00:00,stop,-167.75,-168.5,167.75,-1.0044709388971684,-1.0,0.09687034277198212,-1.0476900149031296,-337.0,21908.25,22075.75,3459,3655,22102.5,2024-07-18
A3_k1_spike_split,1,2024-07-19 13:30:00+00:00,2024-07-19 13:30:00+00:00,21806.0,21694.0,2024-07-19 13:41:00+00:00,target,89.75,89.25,112.0,0.796875,0.8013392857142857,1.0111607142857142,-0.24553571428571427,178.5,21694.5,21806.25,3863,3903,21887.75,2024-07-19
A3_k1_spike_split,1,2024-07-19 13:55:00+00:00,2024-07-19 14:00:00+00:00,21801.0,21694.0,2024-07-19 15:29:00+00:00,stop,-107.0,-107.75,107.0,-1.0070093457943925,-1.0,0.5467289719626168,-1.0771028037383177,-215.5,21694.5,21801.25,3863,3936,21919.25,2024-07-19
A3_k1_spike_split,1,2024-07-22 13:30:00+00:00,2024-07-22 13:31:00+00:00,21849.5,21611.5,2024-07-22 13:46:00+00:00,target,71.125,70.625,238.0,0.2967436974789916,0.29884453781512604,0.38445378151260506,-0.10399159663865547,141.25,21612.0,21849.75,3996,4202,21919.25,2024-07-22
A3_k1_spike_split,-1,2024-07-22 14:25:00+00:00,2024-07-22 14:35:00+00:00,21913.75,21969.75,2024-07-22 15:16:00+00:00,target,82.625,82.125,56.0,1.4665178571428572,1.4754464285714286,1.8660714285714286,-0.84375,164.25,21969.25,21913.5,4213,4218,21837.5,2024-07-22
A3_k1_spike_split,1,2024-07-22 13:30:00+00:00,2024-07-22 15:23:00+00:00,21801.0,21611.5,2024-07-22 16:00:00+00:00,time,6.5,5.75,189.5,0.030343007915567283,0.03430079155672823,0.16358839050131926,-0.2612137203166227,11.5,21612.0,21801.25,3996,4173,21919.25,2024-07-22
A3_k1_spike_split,1,2024-07-23 13:30:00+00:00,2024-07-23 13:31:00+00:00,21891.0,21660.75,2024-07-23 13:39:00+00:00,target,42.0,41.5,230.25,0.18023887079261672,0.18241042345276873,0.23235613463626492,-0.06623235613463627,83.0,21661.25,21891.25,4074,4481,21927.0,2024-07-23
A3_k1_spike_split,-1,2024-07-23 13:30:00+00:00,2024-07-23 13:40:00+00:00,21958.5,21975.25,2024-07-23 13:44:00+00:00,stop,-16.75,-17.5,16.75,-1.044776119402985,-1.0,1.1940298507462686,-1.0597014925373134,-35.0,21974.75,21958.25,4284,4462,21891.25,2024-07-23
A3_k1_spike_split,1,2024-07-23 14:00:00+00:00,2024-07-23 14:02:00+00:00,21924.75,21660.75,2024-07-23 14:21:00+00:00,target,56.0,55.5,264.0,0.21022727272727273,0.21212121212121213,0.2481060606060606,-0.08333333333333333,111.0,21661.25,21925.0,4074,4489,21977.0,2024-07-23
A3_k1_spike_split,1,2024-07-23 14:10:00+00:00,2024-07-23 14:45:00+00:00,21902.5,21660.75,2024-07-23 15:14:00+00:00,target,78.25,77.75,241.75,0.3216132368148914,0.32368148914167527,0.38676318510858326,-0.13547052740434332,155.5,21661.25,21902.75,4074,4491,21977.0,2024-07-23
A3_k1_spike_split,-1,2024-07-24 13:30:00+00:00,2024-07-24 13:31:00+00:00,21595.25,22028.0,2024-07-24 13:33:00+00:00,target,45.25,44.75,432.75,0.10340843443096476,0.10456383593298671,0.1120739456961294,-0.005199306759098787,89.5,22027.5,21595.0,4506,4759,21550.0,2024-07-24
A3_k1_spike_split,1,2024-07-25 13:30:00+00:00,2024-07-25 13:32:00+00:00,21116.25,21027.5,2024-07-25 13:55:00+00:00,stop,-88.75,-89.5,88.75,-1.008450704225352,-1.0,0.36901408450704226,-1.0338028169014084,-179.0,21028.0,21116.5,5025,5032,21217.5,2024-07-25
A3_k1_spike_split,-1,2024-07-25 13:50:00+00:00,2024-07-25 14:54:00+00:00,21149.25,21781.0,2024-07-25 16:00:00+00:00,time,-28.0,-28.75,631.75,-0.04550850811238623,-0.0443213296398892,0.10170162247724575,-0.11515631183221212,-57.5,21780.5,21149.0,4608,5039,21028.0,2024-07-25
A3_k1_spike_split,1,2024-07-26 13:30:00+00:00,2024-07-26 13:30:00+00:00,21074.0,20936.75,2024-07-26 14:30:00+00:00,be,28.875,28.25,137.25,0.2058287795992714,0.2103825136612022,0.4444444444444444,-0.6411657559198543,56.5,20937.25,21074.25,5139,5248,21131.75,2024-07-26
A3_k1_spike_split,1,2024-07-26 14:45:00+00:00,2024-07-26 14:46:00+00:00,20994.25,20936.75,2024-07-26 16:00:00+00:00,time,137.125,136.5,57.5,2.373913043478261,2.384782608695652,2.4782608695652173,-0.19130434782608696,273.0,20937.25,20994.5,5139,5326,21135.0,2024-07-26
A3_k1_spike_split,1,2024-07-29 13:30:00+00:00,2024-07-29 13:30:00+00:00,21201.75,20936.75,2024-07-29 13:45:00+00:00,target,102.75,102.25,265.0,0.3858490566037736,0.3877358490566038,0.41037735849056606,-0.13867924528301886,204.5,20937.25,21202.0,5139,5547,21304.5,2024-07-29
A3_k1_spike_split,1,2024-07-29 14:00:00+00:00,2024-07-29 14:10:00+00:00,21236.5,20936.75,2024-07-29 16:00:00+00:00,time,-33.0,-33.75,299.75,-0.11259382819015847,-0.11009174311926606,0.09424520433694746,-0.603836530442035,-67.5,20937.25,21236.75,5139,5593,21310.5,2024-07-29
A3_k1_spike_split,-1,2024-07-30 13:30:00+00:00,2024-07-30 13:30:00+00:00,21229.75,21320.25,2024-07-30 13:31:00+00:00,target,21.75,28.75,90.5,0.31767955801104975,0.24033149171270718,0.35359116022099446,-0.0856353591160221,57.5,21319.75,21225.5,5595,5862,21206.5,2024-07-30
A3_k1_spike_split,-1,2024-07-30 13:30:00+00:00,2024-07-30 13:36:00+00:00,21242.25,21320.25,2024-07-30 13:44:00+00:00,target,38.25,37.75,78.0,0.483974358974359,0.49038461538461536,0.5608974358974359,-0.25,75.5,21319.75,21242.0,5595,5639,21206.5,2024-07-30
A3_k1_spike_split,1,2024-07-30 13:30:00+00:00,2024-07-30 13:45:00+00:00,21184.0,21018.25,2024-07-30 15:01:00+00:00,stop,-165.75,-166.5,165.75,-1.004524886877828,-1.0,0.15384615384615385,-1.110105580693816,-333.0,21018.75,21184.25,5734,5830,21225.5,2024-07-30
A3_k1_spike_split,-1,2024-07-30 15:20:00+00:00,2024-07-30 15:20:00+00:00,20979.5,21320.25,2024-07-30 15:37:00+00:00,target,61.25,60.75,340.75,0.17828319882611884,0.1797505502567865,0.20616287600880412,-0.00880410858400587,121.5,21319.75,20979.25,5595,5885,20918.25,2024-07-30
A3_k1_spike_split,1,2024-07-31 14:45:00+00:00,2024-07-31 14:52:00+00:00,21367.5,20668.75,2024-07-31 15:30:00+00:00,target,69.0,68.5,698.75,0.09803220035778175,0.09874776386404294,0.10196779964221825,-0.01967799642218247,137.0,20669.25,21367.75,5943,6152,21436.5,2024-07-31
A3_k1_spike_split,1,2024-08-01 13:30:00+00:00,2024-08-01 13:36:00+00:00,21454.25,20956.25,2024-08-01 13:43:00+00:00,target,95.875,95.375,498.0,0.1915160642570281,0.19252008032128515,0.23644578313253012,-0.01355421686746988,190.75,20956.75,21454.5,5983,6362,21548.0,2024-08-01
A3_k1_spike_split,-1,2024-08-01 13:30:00+00:00,2024-08-01 13:47:00+00:00,21590.25,21636.0,2024-08-01 14:21:00+00:00,target,139.375,138.875,45.75,3.0355191256830603,3.046448087431694,3.3224043715846996,-0.7431693989071039,277.75,21635.5,21590.0,6327,6405,21454.5,2024-08-01
A3_k1_spike_split,1,2024-08-01 13:30:00+00:00,2024-08-01 14:29:00+00:00,21393.0,20956.25,2024-08-01 16:00:00+00:00,time,-288.25,-289.0,436.75,-0.661705781339439,-0.659988551803091,0.07727532913566114,-0.6971951917572983,-578.0,20956.75,21393.25,5983,6217,21548.0,2024-08-01
A3_k1_spike_split,1,2024-08-02 13:30:00+00:00,2024-08-02 13:34:00+00:00,20487.75,20450.0,2024-08-02 13:40:00+00:00,target,163.25,162.75,37.75,4.311258278145695,4.324503311258278,5.629139072847682,-0.09271523178807947,325.5,20450.5,20488.0,6682,6687,20611.5,2024-08-02
A3_k1_spike_split,1,2024-08-02 13:40:00+00:00,2024-08-02 14:05:00+00:00,20484.0,20450.0,2024-08-02 14:05:00+00:00,stop,-34.0,-34.75,34.0,-1.0220588235294117,-1.0,0.22794117647058823,-1.5441176470588236,-69.5,20450.5,20484.25,6682,6693,20690.5,2024-08-02
A3_k1_spike_split,-1,2024-08-02 14:40:00+00:00,2024-08-02 14:49:00+00:00,20471.75,21636.0,2024-08-02 16:00:00+00:00,time,-64.25,-65.0,1164.25,-0.0558299334335409,-0.055185741893923126,0.10736525660296328,-0.08653639682198841,-130.0,21635.5,20471.5,6327,6705,20328.25,2024-08-02
A3_k1_spike_split,1,2024-08-05 13:30:00+00:00,2024-08-05 13:30:00+00:00,19502.25,19288.0,2024-08-05 13:36:00+00:00,target,145.625,145.125,214.25,0.677362893815636,0.6796966161026837,0.94049008168028,-0.23570595099183198,290.25,19288.5,19502.5,6878,6966,19642.25,2024-08-05
A3_k1_spike_split,-1,2024-08-05 13:30:00+00:00,2024-08-05 13:39:00+00:00,19787.25,20924.5,2024-08-05 16:00:00+00:00,time,-262.0,-262.75,1137.25,-0.2310397889646076,-0.23038030336337656,0.12903934930754013,-0.3031435480325346,-525.5,20924.0,19787.0,6507,6921,19502.5,2024-08-05
A3_k1_spike_split,-1,2024-08-06 13:30:00+00:00,2024-08-06 13:30:00+00:00,20055.75,20378.5,2024-08-06 13:37:00+00:00,target,54.875,54.375,322.75,0.16847405112316033,0.1700232378001549,0.2532920216886135,-0.18745158791634392,108.75,20378.0,20055.5,7097,7237,20006.5,2024-08-06
A3_k1_spike_split,1,2024-08-06 13:30:00+00:00,2024-08-06 13:41:00+00:00,19960.0,19288.0,2024-08-06 13:52:00+00:00,target,93.75,93.25,672.0,0.13876488095238096,0.13950892857142858,0.15029761904761904,-0.08370535714285714,186.5,19288.5,19960.25,6878,7199,20052.0,2024-08-06
A3_k1_spike_split,-1,2024-08-06 13:40:00+00:00,2024-08-06 14:02:00+00:00,20116.5,20378.5,2024-08-06 16:00:00+00:00,time,-168.0,-168.75,262.0,-0.6440839694656488,-0.6412213740458015,0.191793893129771,-0.708969465648855,-337.5,20378.0,20116.25,7097,7245,19960.25,2024-08-06
