tag,side,t_signal,t_entry,entry,stop0,t_exit,reason,gross_px,net_px,risk_px,R,gross_R,mfe_R,mae_R,net_usd_1,m_anchor,m_internal,m_anchor_i,m_internal_i,m_tgt1,m_day,m_confirm_bar
A4_k1_close_nearest,1,2024-07-01 13:35:00+00:00,2024-07-01 13:34:00+00:00,21876.0,21843.0,2024-07-01 13:46:00+00:00,stop,-32.75,-33.75,33.0,-1.0227272727272727,-0.9924242424242424,1.2424242424242424,-1.356060606060606,-67.5,21843.5,21872.75,110,124,21935.25,2024-07-01,162
A4_k1_close_nearest,-1,2024-07-01 14:40:00+00:00,2024-07-01 14:39:00+00:00,21844.25,21963.25,2024-07-01 16:00:00+00:00,time,-74.25,-75.25,119.0,-0.6323529411764706,-0.6239495798319328,0.32142857142857145,-0.6260504201680672,-150.5,21962.75,21887.5,76,173,21754.0,2024-07-01,175
A4_k1_close_nearest,-1,2024-07-02 13:35:00+00:00,2024-07-02 13:34:00+00:00,21964.5,22017.0,2024-07-02 13:42:00+00:00,stop,-52.25,-53.25,52.5,-1.0142857142857142,-0.9952380952380953,0.37142857142857144,-1.1428571428571428,-106.5,22016.5,21972.25,239,269,21874.75,2024-07-02,438
A4_k1_close_nearest,-1,2024-07-02 14:10:00+00:00,2024-07-02 14:09:00+00:00,21999.25,22039.5,2024-07-02 14:40:00+00:00,stop,-40.0,-41.0,40.25,-1.0186335403726707,-0.9937888198757764,1.0372670807453417,-1.2670807453416149,-82.0,22039.0,22021.0,441,443,21913.0,2024-07-02,445
A4_k1_close_nearest,1,2024-07-02 15:25:00+00:00,2024-07-02 15:24:00+00:00,22069.5,21753.5,2024-07-02 15:30:00+00:00,target,4.0,3.25,316.0,0.010284810126582278,0.012658227848101266,0.04272151898734177,-0.030854430379746837,6.5,21754.0,22045.5,171,458,22073.25,2024-07-02,460
A4_k1_close_nearest,-1,2024-07-03 13:35:00+00:00,2024-07-03 13:34:00+00:00,22204.0,22221.25,2024-07-03 13:52:00+00:00,stop,-17.0,-18.0,17.25,-1.0434782608695652,-0.9855072463768116,1.5797101449275361,-1.0434782608695652,-36.0,22220.75,22208.75,669,682,22147.5,2024-07-03,714
A4_k1_close_nearest,1,2024-07-03 14:30:00+00:00,2024-07-03 14:29:00+00:00,22203.5,21851.75,2024-07-03 14:43:00+00:00,target,35.75,35.0,351.75,0.09950248756218906,0.10163468372423597,0.12011371712864251,-0.026297085998578537,70.0,21852.25,22194.0,418,722,22239.0,2024-07-03,725
A4_k1_close_nearest,1,2024-07-04 13:40:00+00:00,2024-07-04 13:39:00+00:00,22337.75,22147.0,2024-07-04 16:00:00+00:00,time,-9.0,-10.0,190.75,-0.05242463958060288,-0.047182175622542594,0.002621231979030144,-0.1349934469200524,-20.0,22147.5,22332.5,704,760,22352.25,2024-07-04,946
A4_k1_close_nearest,1,2024-07-08 13:35:00+00:00,2024-07-08 13:34:00+00:00,22567.5,22303.0,2024-07-08 13:50:00+00:00,target,17.25,16.5,264.5,0.062381852551984876,0.06521739130434782,0.09168241965973535,-0.09168241965973535,33.0,22303.5,22565.5,987,1427,22584.5,2024-07-08,1449
A4_k1_close_nearest,1,2024-07-08 14:05:00+00:00,2024-07-08 14:04:00+00:00,22565.5,22303.0,2024-07-08 15:20:00+00:00,target,19.25,18.5,262.5,0.07047619047619047,0.07333333333333333,0.09333333333333334,-0.13333333333333333,37.0,22303.5,22541.5,987,1380,22584.5,2024-07-08,1455
