tag,side,t_signal,t_entry,entry,stop0,t_exit,reason,gross_px,net_px,risk_px,R,gross_R,mfe_R,mae_R,net_usd_1,m_p1,m_p2,m_low,m_D,m_count,m_target
D1_F_short_1h_pivot,-1,2024-07-08 11:00:00+00:00,2024-07-08 10:59:00+00:00,6090.5,6093.75,2024-07-08 11:09:00+00:00,stop,-3.0,-3.57,3.25,-1.0984615384615384,-0.9230769230769231,0.0,-1.0,-178.5,6098.25,6093.5,6083.0,13.27083333333303,1,6069.729166666667
D1_F_short_1h_pivot,-1,2024-07-11 08:00:00+00:00,2024-07-11 07:59:00+00:00,6156.5,6159.25,2024-07-11 12:30:00+00:00,stop,-2.5,-3.07,2.75,-1.1163636363636362,-0.9090909090909091,2.5454545454545454,-5.0,-153.5,6162.75,6159.0,6151.25,9.41666666666697,1,6141.833333333333
D1_F_short_1h_pivot,-1,2024-07-16 08:00:00+00:00,2024-07-16 07:59:00+00:00,6152.75,6167.25,2024-07-16 10:59:00+00:00,close_exit,-8.5,-9.07,14.5,-0.6255172413793104,-0.5862068965517241,0.5172413793103449,-0.8103448275862069,-453.5,6191.0,6167.0,6138.25,45.365384615384755,1,6092.884615384615
D1_F_short_1h_pivot,-1,2024-07-19 16:00:00+00:00,2024-07-19 15:59:00+00:00,6046.25,6077.25,2024-07-22 13:47:00+00:00,stop,-30.75,-31.32,31.0,-1.0103225806451612,-0.9919354838709677,1.032258064516129,-1.0887096774193548,-1566.0,6079.75,6077.0,6040.75,38.60714285714312,1,6002.142857142857
D1_F_short_1h_pivot,-1,2024-07-26 11:00:00+00:00,2024-07-26 10:59:00+00:00,5952.5,5960.5,2024-07-26 11:59:00+00:00,close_exit,-7.5,-8.07,8.0,-1.00875,-0.9375,0.40625,-0.96875,-403.5,6005.5,5960.25,5905.5,90.30357142857156,1,5815.196428571428
D1_F_short_1h_pivot,-1,2024-07-29 20:00:00+00:00,2024-07-29 19:59:00+00:00,5975.0,5997.75,2024-07-30 06:59:00+00:00,close_exit,-1.25,-1.82,22.75,-0.08,-0.054945054945054944,1.021978021978022,-0.26373626373626374,-91.0,6006.75,5997.5,5953.25,47.94999999999982,1,5905.3
D1_F_short_1h_pivot,-1,2024-07-30 10:00:00+00:00,2024-07-30 09:59:00+00:00,5981.75,5988.25,2024-07-30 12:59:00+00:00,close_exit,-2.5,-3.07,6.5,-0.47230769230769226,-0.38461538461538464,0.19230769230769232,-0.9615384615384616,-153.5,5997.5,5988.0,5951.75,39.903846153845734,2,5911.846153846154
D1_F_short_1h_pivot,-1,2024-07-30 23:00:00+00:00,2024-07-30 22:59:00+00:00,5939.5,5963.5,2024-07-30 23:59:00+00:00,close_exit,-13.0,-13.57,24.0,-0.5654166666666667,-0.5416666666666666,0.03125,-0.6145833333333334,-678.5,5999.75,5963.25,5910.25,65.16666666666697,1,5845.083333333333
D1_F_short_1h_pivot,-1,2024-08-06 14:00:00+00:00,2024-08-06 13:59:00+00:00,5734.25,5748.5,2024-08-06 14:08:00+00:00,stop,-14.0,-14.57,14.25,-1.0224561403508772,-0.9824561403508771,0.49122807017543857,-1.263157894736842,-728.5,5777.75,5748.25,5699.75,54.399999999999636,1,5645.35
D1_F_short_1h_pivot,-1,2024-08-07 07:00:00+00:00,2024-08-07 06:59:00+00:00,5771.25,5792.0,2024-08-07 08:59:00+00:00,close_exit,-19.5,-20.07,20.75,-0.9672289156626506,-0.9397590361445783,0.9156626506024096,-0.9518072289156626,-1003.5,5814.25,5791.75,5708.5,98.25,1,5610.25
D1_F_short_1h_pivot,-1,2024-08-08 06:00:00+00:00,2024-08-08 05:59:00+00:00,5685.5,5712.0,2024-08-08 06:59:00+00:00,close_exit,-21.0,-21.57,26.5,-0.8139622641509434,-0.7924528301886793,0.10377358490566038,-0.9056603773584906,-1078.5,5831.5,5711.75,5654.25,97.41666666666697,1,5556.833333333333
D1_F_short_1h_pivot,-1,2024-08-08 09:00:00+00:00,2024-08-08 08:59:00+00:00,5698.25,5709.75,2024-08-08 12:30:00+00:00,stop,-11.25,-11.82,11.5,-1.0278260869565217,-0.9782608695652174,2.0,-3.9347826086956523,-591.0,5711.75,5709.5,5685.25,25.0,2,5660.25
D1_F_short_1h_pivot,-1,2024-08-12 01:00:00+00:00,2024-08-12 00:59:00+00:00,5836.75,5848.0,2024-08-12 02:53:00+00:00,stop,-11.0,-11.57,11.25,-1.0284444444444445,-0.9777777777777777,0.4,-1.1555555555555554,-578.5,5857.5,5847.75,5826.5,28.5625,1,5797.9375
D1_F_short_1h_pivot,-1,2024-08-15 00:00:00+00:00,2024-08-14 23:59:00+00:00,5946.75,5957.75,2024-08-15 01:07:00+00:00,stop,-10.75,-11.32,11.0,-1.029090909090909,-0.9772727272727273,0.0,-1.0454545454545454,-566.0,5960.0,5957.5,5935.0,24.375,1,5910.625
