tag,side,t_signal,t_entry,entry,stop0,t_exit,reason,gross_px,net_px,risk_px,R,gross_R,mfe_R,mae_R,net_usd_1,m_p1,m_p2,m_low,m_D,m_count,m_target
D1_F_short_1h_pivot,-1,2022-01-05 00:00:00+00:00,2022-01-04 23:59:00+00:00,1813.738,1815.365,2022-01-05 01:57:00+00:00,stop,-1.5769999999999982,-1.7469999999999073,1.6269999999999527,-1.0737553779962865,-0.9692685925015636,0.5716041794714756,-1.0325752919484403,-174.69999999999072,1816.688,1815.355,1811.518,4.903400000000147,1,1806.6145999999999
D1_F_short_1h_pivot,-1,2022-01-13 04:00:00+00:00,2022-01-13 03:59:00+00:00,1824.998,1826.489,2022-01-13 04:26:00+00:00,stop,-1.441000000000031,-1.61099999999994,1.4909999999999854,-1.0804828973842762,-0.966465459423236,0.0,-1.0167672702884583,-161.099999999994,1827.984,1826.479,1824.058,2.7972500000000764,1,1821.26075
D1_F_short_1h_pivot,-1,2022-01-14 16:00:00+00:00,2022-01-14 15:59:00+00:00,1820.968,1827.554,2022-01-17 08:59:00+00:00,close_exit,-1.2899999999999636,-1.6599999999999182,6.586000000000013,-0.25204980261158744,-0.19587002733069558,1.1794716064379007,-0.3522623747342745,-165.99999999999181,1829.048,1827.544,1819.408,8.436800000000176,1,1810.9711999999997
D1_F_short_1h_pivot,-1,2022-01-17 17:00:00+00:00,2022-01-17 16:59:00+00:00,1819.159,1821.404,2022-01-18 00:59:00+00:00,close_exit,-0.8889999999998963,-1.258999999999851,2.244999999999891,-0.5608017817371547,-0.39599109131400423,0.46993318485528507,-0.5608017817372275,-125.89999999998508,1823.088,1821.394,1819.098,2.5783333333333758,1,1816.5196666666666
D1_F_short_1h_pivot,-1,2022-01-18 18:00:00+00:00,2022-01-18 17:59:00+00:00,1811.948,1820.058,2022-01-19 09:59:00+00:00,close_exit,-4.819999999999936,-5.189999999999891,8.1099999999999,-0.639950678175087,-0.5943279901356345,0.197903822441435,-0.667817509247843,-518.9999999999891,1822.644,1820.048,1805.658,14.822666666666692,1,1790.8353333333332
D1_F_short_1h_pivot,-1,2022-01-25 07:00:00+00:00,2022-01-25 06:59:00+00:00,1841.228,1842.938,2022-01-25 07:23:00+00:00,stop,-1.6600000000000819,-1.829999999999991,1.7100000000000364,-1.0701754385964632,-0.9707602339181559,0.41169590643271103,-1.0760233918127948,-182.9999999999991,1844.028,1842.928,1839.321,3.973666666666759,1,1835.3473333333332
D1_F_short_1h_pivot,-1,2022-02-01 04:00:00+00:00,2022-02-01 03:59:00+00:00,1796.415,1799.248,2022-02-01 04:54:00+00:00,stop,-2.783000000000129,-2.953000000000038,2.8330000000000837,-1.042357924461684,-0.982350864807641,0.0105894811154154,-1.0144722908577264,-295.3000000000038,1799.805,1799.238,1796.198,3.493600000000015,1,1792.7044
D1_F_short_1h_pivot,-1,2022-02-01 19:00:00+00:00,2022-02-01 18:59:00+00:00,1800.818,1807.818,2022-02-02 12:59:00+00:00,close_exit,-3.2999999999999545,-3.669999999999909,7.0,-0.5242857142857013,-0.4714285714285649,0.894285714285713,-0.619571428571427,-366.9999999999909,1808.638,1807.808,1797.665,10.419666666666672,1,1787.2453333333333
D1_F_short_1h_pivot,-1,2022-02-03 05:00:00+00:00,2022-02-03 04:59:00+00:00,1806.3880000000001,1808.885,2022-02-03 13:04:00+00:00,target,6.348875000000135,6.22887500000018,2.4969999999998436,2.4945434521427994,2.542601121345828,2.5310372446938563,-0.22827392871444616,622.887500000018,1810.718,1808.875,1805.058,4.9688750000000255,1,1800.089125
D1_F_short_1h_pivot,-1,2022-02-07 11:00:00+00:00,2022-02-07 10:59:00+00:00,1810.224,1814.068,2022-02-07 11:55:00+00:00,stop,-3.7940000000000964,-3.9640000000000053,3.844000000000051,-1.0312174817897901,-0.9869927159209277,0.0,-1.0015608740895123,-396.40000000000055,1815.208,1814.058,1808.638,5.748571428571495,1,1802.8894285714284
D1_F_short_1h_pivot,-1,2022-02-08 06:00:00+00:00,2022-02-08 05:59:00+00:00,1820.144,1823.208,2022-02-08 07:36:00+00:00,target,3.746571428571542,3.6265714285715878,3.064000000000078,1.1836068631108012,1.222771353972404,1.2127937336813968,-0.29862924281982384,362.65714285715876,1823.458,1823.198,1819.897,3.4495714285715167,1,1816.4474285714284
D1_F_short_1h_pivot,-1,2022-02-08 13:00:00+00:00,2022-02-08 12:59:00+00:00,1817.564,1820.968,2022-02-08 13:35:00+00:00,stop,-3.354000000000042,-3.5239999999999507,3.4039999999999964,-1.0352526439482828,-0.98531139835489,0.02232667450059398,-1.358401880141019,-352.3999999999951,1823.198,1820.958,1815.314,6.604000000000042,2,1808.71
D1_F_short_1h_pivot,-1,2022-02-10 05:00:00+00:00,2022-02-10 04:59:00+00:00,1833.938,1834.638,2022-02-10 05:45:00+00:00,stop,-0.6499999999998636,-0.8199999999997727,0.6999999999998181,-1.171428571428551,-0.928571428571475,0.5428571428574398,-1.12857142857167,-81.99999999997726,1835.708,1834.628,1831.098,4.205000000000155,1,1826.8929999999998
D1_F_short_1h_pivot,-1,2022-02-14 11:00:00+00:00,2022-02-14 10:59:00+00:00,1855.4080000000001,1858.438,2022-02-14 13:28:00+00:00,stop,-2.980000000000018,-3.149999999999927,3.0299999999999727,-1.039603960396025,-0.9834983498349984,1.310231023102331,-1.0297029702970029,-314.9999999999927,1865.378,1858.428,1850.698,8.36181818181808,1,1842.336181818182
D1_F_short_1h_pivot,-1,2022-02-15 21:00:00+00:00,2022-02-15 20:59:00+00:00,1853.198,1856.398,2022-02-16 06:59:00+00:00,close_exit,-1.8199999999999363,-2.1899999999998907,3.199999999999818,-0.6843750000000047,-0.5687500000000124,0.8781250000000329,-0.9175000000000277,-218.99999999998906,1857.034,1856.388,1846.358,10.353000000000065,2,1836.0049999999999
D1_F_short_1h_pivot,-1,2022-02-18 21:00:00+00:00,2022-02-18 20:59:00+00:00,1896.853,1897.833,2022-02-18 21:15:00+00:00,stop,-0.9300000000000637,-1.0999999999999728,0.9800000000000182,-1.122448979591788,-0.948979591836782,0.698979591836666,-1.1581632653060916,-109.99999999999727,1899.886,1897.823,1890.318,8.742799999999988,1,1881.5752
D1_F_short_1h_pivot,-1,2022-02-21 14:00:00+00:00,2022-02-21 13:59:00+00:00,1895.7920000000001,1898.558,2022-02-21 15:59:00+00:00,close_exit,0.5640000000000782,0.19400000000012368,2.765999999999849,0.07013738250185621,0.20390455531457302,1.1655820679683067,-0.4938539407086262,19.40000000001237,1908.158,1898.548,1887.453,14.589545454545487,1,1872.8634545454545
D1_F_short_1h_pivot,-1,2022-02-22 17:00:00+00:00,2022-02-22 16:59:00+00:00,1903.1480000000001,1907.048,2022-02-22 18:59:00+00:00,close_exit,-0.2599999999999909,-0.6299999999999455,3.8999999999998636,-0.16153846153845322,-0.06666666666666667,0.2858974358974482,-0.6743589743589676,-62.99999999999455,1913.308,1907.038,1891.268,18.4571428571428,2,1872.8108571428572
D1_F_short_1h_pivot,-1,2022-02-25 10:00:00+00:00,2022-02-25 09:59:00+00:00,1910.547,1921.208,2022-02-25 11:43:00+00:00,target,16.312333333333527,16.192333333333572,10.661000000000058,1.5188381327580418,1.530094112497274,1.6535972235249798,-0.3241722164900208,1619.2333333333572,1921.478,1921.198,1907.858,13.573333333333494,2,1894.2846666666665
D1_F_short_1h_pivot,-1,2022-03-01 01:00:00+00:00,2022-03-01 00:59:00+00:00,1905.288,1910.848,2022-03-01 04:59:00+00:00,close_exit,-0.05999999999994543,-0.42999999999989996,5.559999999999945,-0.07733812949638565,-0.010791366906465111,0.6870503597122255,-0.2769784172661832,-42.999999999989996,1918.158,1910.838,1890.768,23.730000000000018,1,1867.038
D1_F_short_1h_pivot,-1,2022-03-02 10:00:00+00:00,2022-03-02 09:59:00+00:00,1932.856,1947.798,2022-03-04 00:37:00+00:00,stop,-14.892000000000053,-15.061999999999962,14.942000000000007,-1.0080310534065022,-0.9966537277472926,1.2660955695355296,-1.063579172801502,-1506.1999999999962,1950.078,1947.788,1930.888,18.426666666666733,1,1912.4613333333332
D1_F_short_1h_pivot,-1,2022-03-07 18:00:00+00:00,2022-03-07 17:59:00+00:00,1983.99,1991.558,2022-03-07 18:26:00+00:00,stop,-7.518000000000029,-7.687999999999938,7.567999999999984,-1.0158562367864634,-0.9933932346723104,0.04915433403806445,-1.0775634249471446,-768.7999999999938,2002.518,1991.548,1960.878,35.05799999999999,1,1925.82
D1_F_short_1h_pivot,-1,2022-03-09 01:00:00+00:00,2022-03-09 00:59:00+00:00,2038.508,2054.018,2022-03-09 02:51:00+00:00,stop,-15.460000000000036,-15.630000000000173,15.509999999999991,-1.0077369439071684,-0.996776273372021,0.1431334622824003,-1.0921985815602733,-1563.0000000000173,2070.358,2054.008,2021.098,45.99000000000024,1,1975.1079999999997
D1_F_short_1h_pivot,-1,2022-03-09 19:00:00+00:00,2022-03-09 18:59:00+00:00,1983.358,2005.418,2022-03-09 20:59:00+00:00,close_exit,-7.554000000000087,-7.924000000000042,22.059999999999945,-0.35920217588395564,-0.34242973708069385,0.1662737987307299,-0.5634632819582999,-792.4000000000042,2021.408,2005.408,1976.008,37.399999999999864,2,1938.6080000000002
D1_F_short_1h_pivot,-1,2022-03-10 21:00:00+00:00,2022-03-10 20:59:00+00:00,1997.518,2005.912,2022-03-14 11:24:00+00:00,target,41.83400000000006,41.714000000000105,8.394000000000005,4.969502025256145,4.983797950917326,5.0746962115796945,-0.1786990707648319,4171.400000000011,2009.062,2005.902,1981.608,25.874000000000024,1,1955.734
D1_F_short_1h_pivot,-1,2022-03-14 15:00:00+00:00,2022-03-14 14:59:00+00:00,1956.005,1967.892,2022-03-14 16:59:00+00:00,close_exit,-4.8969999999999345,-5.266999999999889,11.886999999999944,-0.44308908892066245,-0.4119626482712171,0.29654244132246216,-0.4612602002187241,-526.6999999999889,1978.468,1967.882,1954.628,15.01833333333343,2,1939.6096666666665
D1_F_short_1h_pivot,-1,2022-03-18 11:00:00+00:00,2022-03-18 10:59:00+00:00,1934.942,1937.103,2022-03-18 11:05:00+00:00,stop,-2.1110000000001037,-2.2810000000000126,2.161000000000058,-1.0555298472928973,-0.9768625636279716,0.0550670985654379,-1.428042572882892,-228.10000000000124,1945.203,1937.093,1926.708,15.4537499999999,2,1911.2542500000002
