tag,side,t_signal,t_entry,entry,stop0,t_exit,reason,gross_px,net_px,risk_px,R,gross_R,mfe_R,mae_R,net_usd_1,m_p1,m_p2,m_low,m_D,m_count,m_target
D3_F_short_1h_bb,-1,2024-07-11 12:00:00+00:00,2024-07-11 11:59:00+00:00,6151.75,6159.25,2024-07-11 12:30:00+00:00,stop,-7.25,-7.82,7.5,-1.0426666666666666,-0.9666666666666667,0.3,-2.466666666666667,-391.0,6162.75,6159.0,6151.25,9.41666666666697,1,6141.833333333333
D3_F_short_1h_bb,-1,2024-07-16 08:00:00+00:00,2024-07-16 07:59:00+00:00,6152.75,6167.25,2024-07-16 10:59:00+00:00,close_exit,-8.5,-9.07,14.5,-0.6255172413793104,-0.5862068965517241,0.5172413793103449,-0.8103448275862069,-453.5,6191.0,6167.0,6138.25,45.365384615384755,1,6092.884615384615
D3_F_short_1h_bb,-1,2024-07-19 16:00:00+00:00,2024-07-19 15:59:00+00:00,6046.25,6077.25,2024-07-22 13:47:00+00:00,stop,-30.75,-31.32,31.0,-1.0103225806451612,-0.9919354838709677,1.032258064516129,-1.0887096774193548,-1566.0,6079.75,6077.0,6040.75,38.60714285714312,1,6002.142857142857
D3_F_short_1h_bb,-1,2024-07-29 20:00:00+00:00,2024-07-29 19:59:00+00:00,5975.0,5997.75,2024-07-30 06:59:00+00:00,close_exit,-1.25,-1.82,22.75,-0.08,-0.054945054945054944,1.021978021978022,-0.26373626373626374,-91.0,6006.75,5997.5,5953.25,47.94999999999982,1,5905.3
D3_F_short_1h_bb,-1,2024-07-30 23:00:00+00:00,2024-07-30 22:59:00+00:00,5939.5,5963.5,2024-07-30 23:59:00+00:00,close_exit,-13.0,-13.57,24.0,-0.5654166666666667,-0.5416666666666666,0.03125,-0.6145833333333334,-678.5,5999.75,5963.25,5910.25,65.16666666666697,1,5845.083333333333
D3_F_short_1h_bb,-1,2024-08-08 06:00:00+00:00,2024-08-08 05:59:00+00:00,5685.5,5712.0,2024-08-08 06:59:00+00:00,close_exit,-21.0,-21.57,26.5,-0.8139622641509434,-0.7924528301886793,0.10377358490566038,-0.9056603773584906,-1078.5,5831.5,5711.75,5654.25,97.41666666666697,1,5556.833333333333
D3_F_short_1h_bb,-1,2024-08-08 09:00:00+00:00,2024-08-08 08:59:00+00:00,5698.25,5709.75,2024-08-08 12:30:00+00:00,stop,-11.25,-11.82,11.5,-1.0278260869565217,-0.9782608695652174,2.0,-3.9347826086956523,-591.0,5711.75,5709.5,5685.25,25.0,2,5660.25
D3_F_short_1h_bb,-1,2024-08-20 21:00:00+00:00,2024-08-20 20:59:00+00:00,6092.0,6104.75,2024-08-21 00:59:00+00:00,close_exit,-6.0,-6.57,12.75,-0.5152941176470588,-0.47058823529411764,0.1568627450980392,-0.5686274509803921,-328.5,6116.0,6104.5,6080.0,26.800000000000182,1,6053.2
D3_F_short_1h_bb,-1,2024-08-21 03:00:00+00:00,2024-08-21 02:59:00+00:00,6096.75,6099.5,2024-08-21 03:14:00+00:00,stop,-2.5,-3.07,2.75,-1.1163636363636362,-0.9090909090909091,0.0,-1.0909090909090908,-153.5,6104.5,6099.25,6090.0,11.350000000000364,2,6078.65
D3_F_short_1h_bb,-1,2024-08-22 04:00:00+00:00,2024-08-22 03:59:00+00:00,6105.5,6119.75,2024-08-22 07:59:00+00:00,close_exit,-10.5,-11.07,14.25,-0.7768421052631579,-0.7368421052631579,0.03508771929824561,-0.8596491228070176,-553.5,6123.25,6119.5,6098.25,24.25,2,6074.0
D3_F_short_1h_bb,-1,2024-08-27 11:00:00+00:00,2024-08-27 10:59:00+00:00,6101.75,6118.25,2024-08-27 14:59:00+00:00,stop,-16.25,-16.82,16.5,-1.0193939393939395,-0.9848484848484849,1.0909090909090908,-1.0,-841.0,6118.75,6118.0,6092.0,26.69642857142844,2,6065.303571428572
D3_F_short_1h_bb,-1,2024-08-27 23:00:00+00:00,2024-08-27 22:59:00+00:00,6108.0,6121.75,2024-08-28 08:41:00+00:00,stop,-13.5,-14.07,13.75,-1.0232727272727273,-0.9818181818181818,0.38181818181818183,-1.0,-703.5,6121.75,6121.5,6099.25,22.41666666666697,1,6076.833333333333
D3_F_short_1h_bb,-1,2024-08-30 17:00:00+00:00,2024-08-30 16:59:00+00:00,6086.25,6118.5,2024-08-30 19:50:00+00:00,stop,-32.0,-32.57,32.25,-1.009922480620155,-0.9922480620155039,0.16279069767441862,-1.3410852713178294,-1628.5,6136.0,6118.25,6070.25,64.05952380952385,1,6006.190476190476
D3_F_short_1h_bb,-1,2024-09-05 10:00:00+00:00,2024-09-05 09:59:00+00:00,6002.25,6012.5,2024-09-05 13:39:00+00:00,stop,-10.0,-10.57,10.25,-1.031219512195122,-0.975609756097561,1.7560975609756098,-1.048780487804878,-528.5,6037.25,6012.25,5987.25,43.33333333333303,1,5943.916666666667
D3_F_short_1h_bb,-1,2024-09-05 21:00:00+00:00,2024-09-05 20:59:00+00:00,5983.5,6003.75,2024-09-05 23:59:00+00:00,close_exit,1.5,0.9299999999999999,20.25,0.045925925925925926,0.07407407407407407,0.2962962962962963,-0.12345679012345678,46.5,6029.5,6003.5,5962.25,54.25,1,5908.0
D3_F_short_1h_bb,-1,2024-09-06 06:00:00+00:00,2024-09-06 05:59:00+00:00,5975.75,5983.5,2024-09-06 12:30:00+00:00,stop,-7.5,-8.07,7.75,-1.0412903225806451,-0.967741935483871,4.774193548387097,-1.4838709677419355,-403.5,6003.5,5983.25,5960.75,27.5625,2,5933.1875
D3_F_short_1h_bb,-1,2024-09-10 05:00:00+00:00,2024-09-10 04:59:00+00:00,5942.0,5964.0,2024-09-10 12:17:00+00:00,stop,-21.75,-22.32,22.0,-1.0145454545454546,-0.9886363636363636,0.32954545454545453,-1.0113636363636365,-1116.0,5965.25,5963.75,5929.5,35.375,1,5894.125
D3_F_short_1h_bb,-1,2024-09-16 07:00:00+00:00,2024-09-16 06:59:00+00:00,6098.25,6106.0,2024-09-16 08:03:00+00:00,stop,-7.5,-8.07,7.75,-1.0412903225806451,-0.967741935483871,0.12903225806451613,-1.032258064516129,-403.5,6106.5,6105.75,6098.0,8.199999999999818,2,6089.8
D3_F_short_1h_bb,-1,2024-09-20 07:00:00+00:00,2024-09-20 06:59:00+00:00,6177.25,6184.0,2024-09-20 07:59:00+00:00,close_exit,-4.0,-4.57,6.75,-0.6770370370370371,-0.5925925925925926,0.14814814814814814,-0.9629629629629629,-228.5,6208.25,6183.75,6175.0,18.550000000000182,1,6156.45
D3_F_short_1h_bb,-1,2024-09-23 23:00:00+00:00,2024-09-23 22:59:00+00:00,6181.25,6190.5,2024-09-24 04:59:00+00:00,close_exit,-2.75,-3.32,9.25,-0.3589189189189189,-0.2972972972972973,0.7297297297297297,-0.7567567567567568,-166.0,6195.25,6190.25,6171.75,20.5,1,6151.25
D3_F_short_1h_bb,-1,2024-09-27 01:00:00+00:00,2024-09-27 00:59:00+00:00,6215.0,6223.0,2024-09-27 03:59:00+00:00,close_exit,2.5,1.93,8.0,0.24125,0.3125,1.03125,-0.15625,96.5,6240.75,6222.75,6189.0,42.75,1,6146.25
D3_F_short_1h_bb,-1,2024-09-30 03:00:00+00:00,2024-09-30 02:59:00+00:00,6202.0,6213.75,2024-09-30 07:59:00+00:00,close_exit,-1.5,-2.07,11.75,-0.17617021276595743,-0.1276595744680851,0.723404255319149,-0.46808510638297873,-103.49999999999999,6232.25,6213.5,6189.75,27.91666666666697,1,6161.833333333333
D3_F_short_1h_bb,-1,2024-10-01 21:00:00+00:00,2024-10-01 20:59:00+00:00,6168.75,6194.75,2024-10-02 01:59:00+00:00,close_exit,-3.0,-3.57,26.0,-0.1373076923076923,-0.11538461538461539,0.5961538461538461,-0.21153846153846154,-178.5,6230.0,6194.5,6143.75,65.96428571428532,1,6077.785714285715
D3_F_short_1h_bb,-1,2024-10-02 05:00:00+00:00,2024-10-02 04:59:00+00:00,6160.75,6174.5,2024-10-02 07:59:00+00:00,close_exit,-2.5,-3.07,13.75,-0.22327272727272726,-0.18181818181818182,0.8181818181818182,-0.5272727272727272,-153.5,6194.5,6174.25,6153.25,29.67857142857156,2,6123.571428571428
D3_F_short_1h_bb,-1,2024-10-04 07:00:00+00:00,2024-10-04 06:59:00+00:00,6157.25,6174.25,2024-10-04 10:18:00+00:00,stop,-16.75,-17.32,17.0,-1.0188235294117647,-0.9852941176470589,0.17647058823529413,-1.0441176470588236,-866.0,6180.75,6174.0,6136.5,42.40909090909099,1,6094.090909090909
D3_F_short_1h_bb,-1,2024-10-07 17:00:00+00:00,2024-10-07 16:59:00+00:00,6185.5,6199.75,2024-10-07 22:33:00+00:00,target,44.265625,43.945625,14.25,3.0839035087719298,3.106359649122807,3.473684210526316,-0.2807017543859649,2197.28125,6218.75,6199.5,6173.5,32.015625,1,6141.484375
D3_F_short_1h_bb,-1,2024-10-10 19:00:00+00:00,2024-10-10 18:59:00+00:00,6230.5,6254.25,2024-10-11 14:06:00+00:00,stop,-23.5,-24.07,23.75,-1.0134736842105263,-0.9894736842105263,0.18947368421052632,-1.1789473684210525,-1203.5,6254.75,6254.0,6223.5,31.0625,1,6192.4375
D3_F_short_1h_bb,-1,2024-10-22 01:00:00+00:00,2024-10-22 00:59:00+00:00,6298.5,6312.0,2024-10-22 15:59:00+00:00,close_exit,9.0,8.43,13.5,0.6244444444444445,0.6666666666666666,1.962962962962963,-0.18518518518518517,421.5,6319.25,6311.75,6275.75,42.25,1,6233.5
D3_F_short_1h_bb,-1,2024-10-25 00:00:00+00:00,2024-10-24 23:59:00+00:00,6261.0,6267.75,2024-10-25 00:59:00+00:00,close_exit,-2.5,-3.07,6.75,-0.4548148148148148,-0.37037037037037035,0.3333333333333333,-0.5555555555555556,-153.5,6280.75,6267.5,6233.25,40.875,1,6192.375
D3_F_short_1h_bb,-1,2024-10-28 21:00:00+00:00,2024-10-28 20:59:00+00:00,6274.75,6283.75,2024-10-29 04:59:00+00:00,close_exit,7.0,6.43,9.0,0.7144444444444444,0.7777777777777778,1.5277777777777777,-0.3333333333333333,321.5,6292.5,6283.5,6270.75,16.350000000000364,2,6254.4
D3_F_short_1h_bb,-1,2024-11-04 09:00:00+00:00,2024-11-04 08:59:00+00:00,6174.25,6187.5,2024-11-04 10:59:00+00:00,close_exit,-9.25,-9.82,13.25,-0.7411320754716981,-0.6981132075471698,0.3584905660377358,-0.8301886792452831,-491.0,6214.5,6187.25,6150.75,50.125,1,6100.625
D3_F_short_1h_bb,-1,2024-11-04 14:00:00+00:00,2024-11-04 13:59:00+00:00,6172.75,6185.5,2024-11-04 14:36:00+00:00,target,21.75,21.43,12.75,1.68078431372549,1.7058823529411764,1.8235294117647058,-0.0392156862745098,1071.5,6187.25,6185.25,6168.75,17.5,2,6151.25
D3_F_short_1h_bb,-1,2024-11-12 00:00:00+00:00,2024-11-11 23:59:00+00:00,6438.25,6444.5,2024-11-12 01:59:00+00:00,close_exit,-0.5,-1.07,6.25,-0.17120000000000002,-0.08,0.76,-0.8,-53.5,6464.0,6444.25,6424.25,24.9375,1,6399.3125
D3_F_short_1h_bb,-1,2024-11-12 04:00:00+00:00,2024-11-12 03:59:00+00:00,6434.75,6443.5,2024-11-12 10:26:00+00:00,target,11.5,11.18,8.75,1.2777142857142856,1.3142857142857143,1.3428571428571427,-0.8857142857142857,559.0,6444.25,6443.25,6433.5,10.0,2,6423.5
D3_F_short_1h_bb,-1,2024-11-12 22:00:00+00:00,2024-11-12 21:59:00+00:00,6422.75,6438.75,2024-11-13 08:59:00+00:00,close_exit,5.25,4.68,16.0,0.2925,0.328125,1.1875,-0.078125,234.0,6447.25,6438.5,6397.5,42.75,1,6354.75
