tag,side,t_signal,t_entry,entry,stop0,t_exit,reason,gross_px,net_px,risk_px,R,gross_R,mfe_R,mae_R,net_usd_1,m_p1,m_p2,m_low,m_D,m_count,m_target
D3_F_short_1h_bb,-1,2024-07-10 07:00:00+00:00,2024-07-10 06:59:00+00:00,22643.25,22660.0,2024-07-10 07:56:00+00:00,stop,-16.5,-17.5,16.75,-1.044776119402985,-0.9850746268656716,0.19402985074626866,-1.0895522388059702,-35.0,22714.25,22659.75,22558.5,143.17307692307804,1,22415.326923076922
D3_F_short_1h_bb,-1,2024-07-16 23:00:00+00:00,2024-07-16 22:59:00+00:00,22531.0,22557.25,2024-07-17 02:59:00+00:00,close_exit,36.5,35.5,26.25,1.3523809523809525,1.3904761904761904,1.5904761904761904,-0.0761904761904762,71.0,22626.5,22557.0,22406.5,185.25,1,22221.25
D3_F_short_1h_bb,-1,2024-07-19 16:00:00+00:00,2024-07-19 15:59:00+00:00,21759.75,21919.5,2024-07-22 13:38:00+00:00,stop,-159.5,-160.5,159.75,-1.0046948356807512,-0.9984350547730829,1.021909233176839,-1.0140845070422535,-321.0,21922.0,21919.25,21694.5,227.1071428571413,1,21467.39285714286
D3_F_short_1h_bb,-1,2024-07-29 20:00:00+00:00,2024-07-29 19:59:00+00:00,21151.25,21291.75,2024-07-30 07:59:00+00:00,close_exit,-26.0,-27.0,140.5,-0.19217081850533807,-0.18505338078291814,0.9430604982206405,-0.30604982206405695,-54.0,21319.75,21291.5,21055.5,254.83333333333212,1,20800.666666666668
D3_F_short_1h_bb,-1,2024-08-06 14:00:00+00:00,2024-08-06 13:59:00+00:00,20083.75,20196.0,2024-08-06 14:43:00+00:00,stop,-112.0,-113.0,112.25,-1.0066815144766148,-0.9977728285077951,0.34743875278396436,-1.0267260579064588,-226.0,20378.0,20195.75,19960.25,271.9500000000007,1,19688.3
D3_F_short_1h_bb,-1,2024-08-07 08:00:00+00:00,2024-08-07 07:59:00+00:00,20199.75,20379.75,2024-08-07 09:37:00+00:00,stop,-179.75,-180.75,180.0,-1.0041666666666667,-0.9986111111111111,0.07916666666666666,-1.0416666666666667,-361.5,20425.5,20379.5,19970.0,440.1666666666679,1,19529.833333333332
D3_F_short_1h_bb,-1,2024-08-08 06:00:00+00:00,2024-08-08 05:59:00+00:00,19877.5,20022.75,2024-08-08 06:59:00+00:00,close_exit,-102.25,-103.25,145.25,-0.7108433734939759,-0.7039586919104991,0.13080895008605853,-0.8175559380378657,-206.5,20501.0,20022.5,19687.5,482.2307692307695,1,19205.26923076923
D3_F_short_1h_bb,-1,2024-08-08 09:00:00+00:00,2024-08-08 08:59:00+00:00,19940.75,19996.5,2024-08-08 12:30:00+00:00,stop,-55.5,-56.5,55.75,-1.0134529147982063,-0.9955156950672646,1.5650224215246638,-2.811659192825112,-113.0,20022.5,19996.25,19868.0,137.0,2,19731.0
D3_F_short_1h_bb,-1,2024-08-20 16:00:00+00:00,2024-08-20 15:59:00+00:00,21795.25,21867.5,2024-08-20 17:00:00+00:00,target,94.25,93.5,72.25,1.2941176470588236,1.3044982698961938,1.4498269896193772,-0.07958477508650519,187.0,21873.25,21867.25,21784.75,83.5,1,21701.25
D3_F_short_1h_bb,-1,2024-08-20 21:00:00+00:00,2024-08-20 20:59:00+00:00,21747.5,21810.75,2024-08-21 00:59:00+00:00,close_exit,-19.75,-20.75,63.25,-0.32806324110671936,-0.31225296442687744,0.30434782608695654,-0.3794466403162055,-41.5,21867.25,21810.5,21685.5,170.40000000000146,2,21515.1
