tag,side,t_signal,t_entry,entry,stop0,t_exit,reason,gross_px,net_px,risk_px,R,gross_R,mfe_R,mae_R,net_usd_1,m_p1,m_p2,m_low,m_D,m_count,m_target
D3_F_short_1h_bb,-1,2022-01-14 16:00:00+00:00,2022-01-14 15:59:00+00:00,1820.968,1827.554,2022-01-17 08:59:00+00:00,close_exit,-1.2899999999999636,-1.6599999999999182,6.586000000000013,-0.25204980261158744,-0.19587002733069558,1.1794716064379007,-0.3522623747342745,-165.99999999999181,1829.048,1827.544,1819.408,8.436800000000176,1,1810.9711999999997
D3_F_short_1h_bb,-1,2022-01-18 18:00:00+00:00,2022-01-18 17:59:00+00:00,1811.948,1820.058,2022-01-19 09:59:00+00:00,close_exit,-4.819999999999936,-5.189999999999891,8.1099999999999,-0.639950678175087,-0.5943279901356345,0.197903822441435,-0.667817509247843,-518.9999999999891,1822.644,1820.048,1805.658,14.822666666666692,1,1790.8353333333332
D3_F_short_1h_bb,-1,2022-02-01 19:00:00+00:00,2022-02-01 18:59:00+00:00,1800.818,1807.818,2022-02-02 12:59:00+00:00,close_exit,-3.2999999999999545,-3.669999999999909,7.0,-0.5242857142857013,-0.4714285714285649,0.894285714285713,-0.619571428571427,-366.9999999999909,1808.638,1807.808,1797.665,10.419666666666672,1,1787.2453333333333
D3_F_short_1h_bb,-1,2022-02-03 07:00:00+00:00,2022-02-03 06:59:00+00:00,1805.188,1808.885,2022-02-03 13:04:00+00:00,target,5.148875000000089,5.028875000000134,3.696999999999889,1.3602583175548513,1.3927170678929521,1.3849066810928514,-0.2650797944279274,502.88750000001346,1810.718,1808.875,1805.058,4.9688750000000255,1,1800.089125
D3_F_short_1h_bb,-1,2022-02-08 13:00:00+00:00,2022-02-08 12:59:00+00:00,1817.564,1820.968,2022-02-08 13:35:00+00:00,stop,-3.354000000000042,-3.5239999999999507,3.4039999999999964,-1.0352526439482828,-0.98531139835489,0.02232667450059398,-1.358401880141019,-352.3999999999951,1823.198,1820.958,1815.314,6.604000000000042,2,1808.71
D3_F_short_1h_bb,-1,2022-02-15 21:00:00+00:00,2022-02-15 20:59:00+00:00,1853.198,1856.398,2022-02-16 06:59:00+00:00,close_exit,-1.8199999999999363,-2.1899999999998907,3.199999999999818,-0.6843750000000047,-0.5687500000000124,0.8781250000000329,-0.9175000000000277,-218.99999999998906,1857.034,1856.388,1846.358,10.353000000000065,2,1836.0049999999999
D3_F_short_1h_bb,-1,2022-02-21 15:00:00+00:00,2022-02-21 14:59:00+00:00,1894.913,1898.558,2022-02-21 15:59:00+00:00,close_exit,-0.31500000000005457,-0.6850000000000092,3.644999999999982,-0.18792866941015435,-0.08641975308643515,0.5473251028806312,-0.3909465020576026,-68.50000000000091,1908.158,1898.548,1887.453,14.589545454545487,1,1872.8634545454545
D3_F_short_1h_bb,-1,2022-02-22 17:00:00+00:00,2022-02-22 16:59:00+00:00,1903.1480000000001,1907.048,2022-02-22 18:59:00+00:00,close_exit,-0.2599999999999909,-0.6299999999999455,3.8999999999998636,-0.16153846153845322,-0.06666666666666667,0.2858974358974482,-0.6743589743589676,-62.99999999999455,1913.308,1907.038,1891.268,18.4571428571428,2,1872.8108571428572
D3_F_short_1h_bb,-1,2022-02-25 10:00:00+00:00,2022-02-25 09:59:00+00:00,1910.547,1921.208,2022-02-25 11:43:00+00:00,target,16.312333333333527,16.192333333333572,10.661000000000058,1.5188381327580418,1.530094112497274,1.6535972235249798,-0.3241722164900208,1619.2333333333572,1921.478,1921.198,1907.858,13.573333333333494,2,1894.2846666666665
D3_F_short_1h_bb,-1,2022-03-01 01:00:00+00:00,2022-03-01 00:59:00+00:00,1905.288,1910.848,2022-03-01 04:59:00+00:00,close_exit,-0.05999999999994543,-0.42999999999989996,5.559999999999945,-0.07733812949638565,-0.010791366906465111,0.6870503597122255,-0.2769784172661832,-42.999999999989996,1918.158,1910.838,1890.768,23.730000000000018,1,1867.038
D3_F_short_1h_bb,-1,2022-03-02 10:00:00+00:00,2022-03-02 09:59:00+00:00,1932.856,1947.798,2022-03-04 00:37:00+00:00,stop,-14.892000000000053,-15.061999999999962,14.942000000000007,-1.0080310534065022,-0.9966537277472926,1.2660955695355296,-1.063579172801502,-1506.1999999999962,1950.078,1947.788,1930.888,18.426666666666733,1,1912.4613333333332
