tag,side,t_signal,t_entry,entry,stop0,t_exit,reason,gross_px,net_px,risk_px,R,gross_R,mfe_R,mae_R,net_usd_1,m_p1,m_p2,m_low,m_D,m_count,m_target
D4_G_long_1h_pivot,1,2024-07-01 23:00:00+00:00,2024-07-01 22:59:00+00:00,6002.75,5990.5,2024-07-02 00:59:00+00:00,close_exit,-6.0,-6.57,12.25,-0.5363265306122449,-0.4897959183673469,0.0,-0.7755102040816326,-328.5,5976.75,5990.75,6009.75,21.800000000000182,1,6031.55
D4_G_long_1h_pivot,1,2024-07-02 06:00:00+00:00,2024-07-02 05:59:00+00:00,5999.0,5991.0,2024-07-02 07:01:00+00:00,stop,-7.75,-8.32,8.0,-1.04,-0.96875,0.125,-1.375,-416.0,5990.75,5991.25,6007.25,16.42857142857156,2,6023.678571428572
D4_G_long_1h_pivot,1,2024-07-08 21:00:00+00:00,2024-07-08 20:59:00+00:00,6101.0,6087.25,2024-07-10 16:25:00+00:00,target,33.125,32.805,13.75,2.385818181818182,2.409090909090909,2.418181818181818,-0.18181818181818182,1640.25,6083.0,6087.5,6109.75,24.125,1,6133.875
D4_G_long_1h_pivot,1,2024-07-22 05:00:00+00:00,2024-07-22 04:59:00+00:00,6039.0,6025.5,2024-07-22 13:38:00+00:00,target,32.3125,31.9925,13.5,2.3698148148148146,2.3935185185185186,2.5185185185185186,-0.48148148148148145,1599.625,6014.25,6025.75,6046.25,24.8125,1,6071.0625
D4_G_long_1h_pivot,1,2024-07-23 15:00:00+00:00,2024-07-23 14:59:00+00:00,6083.75,6074.5,2024-07-23 16:59:00+00:00,close_exit,-3.25,-3.82,9.25,-0.412972972972973,-0.35135135135135137,1.972972972972973,-0.8648648648648649,-191.0,6060.0,6074.75,6090.5,19.4375,1,6109.9375
D4_G_long_1h_pivot,1,2024-07-23 19:00:00+00:00,2024-07-23 18:59:00+00:00,6085.5,6075.5,2024-07-23 19:42:00+00:00,stop,-9.75,-10.32,10.0,-1.032,-0.975,0.25,-1.4,-516.0,6074.75,6075.75,6102.0,26.5,2,6128.5
D4_G_long_1h_pivot,1,2024-07-25 05:00:00+00:00,2024-07-25 04:59:00+00:00,5955.25,5945.25,2024-07-25 05:59:00+00:00,close_exit,-4.5,-5.07,10.0,-0.507,-0.45,0.2,-0.525,-253.5,5934.25,5945.5,5962.25,20.5,1,5982.75
D4_G_long_1h_pivot,1,2024-07-26 00:00:00+00:00,2024-07-25 23:59:00+00:00,5924.0,5905.25,2024-07-30 20:02:00+00:00,stop,-18.5,-19.07,18.75,-1.0170666666666668,-0.9866666666666667,4.413333333333333,-1.0,-953.5,5904.75,5905.5,6005.5,100.375,1,6105.875
D4_G_long_1h_pivot,1,2024-07-31 20:00:00+00:00,2024-07-31 19:59:00+00:00,6029.0,6011.5,2024-08-01 04:59:00+00:00,close_exit,34.5,33.93,17.5,1.9388571428571428,1.9714285714285715,2.157142857142857,-0.05714285714285714,1696.5,5905.25,6011.75,6043.25,42.149999999999636,1,6085.4
D4_G_long_1h_pivot,1,2024-08-02 01:00:00+00:00,2024-08-02 00:59:00+00:00,5930.0,5918.0,2024-08-02 02:18:00+00:00,stop,-11.75,-12.32,12.0,-1.0266666666666666,-0.9791666666666666,0.3333333333333333,-1.0416666666666667,-616.0,5917.0,5918.25,5958.0,40.58333333333303,1,5998.583333333333
D4_G_long_1h_pivot,1,2024-08-02 21:00:00+00:00,2024-08-02 20:59:00+00:00,5830.5,5813.25,2024-08-04 22:00:00+00:00,stop,-17.0,-28.57,17.25,-1.656231884057971,-0.9855072463768116,0.0,-1.855072463768116,-1428.5,5804.0,5813.5,5854.0,46.83333333333303,1,5900.833333333333
D4_G_long_1h_pivot,1,2024-08-05 23:00:00+00:00,2024-08-05 22:59:00+00:00,5734.0,5664.25,2024-08-06 06:59:00+00:00,close_exit,12.75,12.18,69.75,0.1746236559139785,0.1827956989247312,0.6272401433691757,-0.07168458781362007,609.0,5592.25,5664.5,5751.75,118.21428571428532,1,5869.964285714285
D4_G_long_1h_pivot,1,2024-08-06 12:00:00+00:00,2024-08-06 11:59:00+00:00,5730.75,5699.5,2024-08-06 13:41:00+00:00,stop,-31.0,-31.57,31.25,-1.01024,-0.992,0.048,-1.024,-1578.5,5664.5,5699.75,5777.75,99.69230769230762,2,5877.442307692308
D4_G_long_1h_pivot,1,2024-08-07 01:00:00+00:00,2024-08-07 00:59:00+00:00,5736.25,5708.25,2024-08-07 17:59:00+00:00,close_exit,-1.25,-1.82,28.0,-0.065,-0.044642857142857144,3.4017857142857144,-0.25892857142857145,-91.0,5694.0,5708.5,5814.25,111.1875,1,5925.4375
D4_G_long_1h_pivot,1,2024-08-08 10:00:00+00:00,2024-08-08 09:59:00+00:00,5682.75,5674.25,2024-08-08 13:55:00+00:00,target,76.625,76.305,8.5,8.977058823529413,9.014705882352942,9.352941176470589,-0.7352941176470589,3815.2500000000005,5654.25,5674.5,5711.75,47.375,1,5759.125
D4_G_long_1h_pivot,1,2024-08-09 03:00:00+00:00,2024-08-09 02:59:00+00:00,5830.25,5808.75,2024-08-09 03:59:00+00:00,close_exit,-2.25,-2.82,21.5,-0.13116279069767442,-0.10465116279069768,0.03488372093023256,-0.38372093023255816,-141.0,5674.5,5809.0,5835.0,34.40625,2,5869.40625
D4_G_long_1h_pivot,1,2024-08-12 01:00:00+00:00,2024-08-12 00:59:00+00:00,5837.25,5822.25,2024-08-12 05:59:00+00:00,close_exit,8.75,8.18,15.0,0.5453333333333333,0.5833333333333334,0.8333333333333334,-0.3333333333333333,409.0,5791.75,5822.5,5857.5,48.66666666666697,1,5906.166666666667
D4_G_long_1h_pivot,1,2024-08-13 03:00:00+00:00,2024-08-13 02:59:00+00:00,5849.0,5839.5,2024-08-13 10:59:00+00:00,close_exit,-4.5,-5.07,9.5,-0.5336842105263159,-0.47368421052631576,2.6315789473684212,-0.6842105263157895,-253.5,5820.0,5839.75,5869.0,45.05000000000018,1,5914.05
D4_G_long_1h_pivot,1,2024-08-15 02:00:00+00:00,2024-08-15 01:59:00+00:00,5957.75,5944.5,2024-08-15 04:59:00+00:00,close_exit,4.5,3.93,13.25,0.2966037735849057,0.33962264150943394,0.49056603773584906,-0.11320754716981132,196.5,5911.0,5944.75,5960.0,40.5625,1,6000.5625
D4_G_long_1h_pivot,1,2024-08-18 23:00:00+00:00,2024-08-18 22:59:00+00:00,6057.5,6043.25,2024-08-18 23:59:00+00:00,close_exit,0.5,-0.07,14.25,-0.004912280701754386,0.03508771929824561,0.2982456140350877,-0.2982456140350877,-3.5000000000000004,6008.75,6043.5,6058.5,29.892857142856883,1,6088.392857142857
D4_G_long_1h_pivot,1,2024-08-21 01:00:00+00:00,2024-08-21 00:59:00+00:00,6098.5,6089.75,2024-08-21 01:59:00+00:00,close_exit,-2.75,-3.32,8.75,-0.3794285714285714,-0.3142857142857143,0.02857142857142857,-0.42857142857142855,-166.0,6080.0,6090.0,6104.5,22.0,1,6126.5
D4_G_long_1h_pivot,1,2024-08-21 12:00:00+00:00,2024-08-21 11:59:00+00:00,6101.25,6091.25,2024-08-21 14:36:00+00:00,target,14.045454545454959,13.725454545454959,10.0,1.3725454545454958,1.4045454545454958,1.9,-0.55,686.2727272727479,6090.0,6091.5,6103.0,12.045454545454959,2,6115.045454545455
D4_G_long_1h_pivot,1,2024-08-21 23:00:00+00:00,2024-08-21 22:59:00+00:00,6116.75,6098.0,2024-08-22 01:59:00+00:00,close_exit,-0.25,-0.8200000000000001,18.75,-0.04373333333333334,-0.013333333333333334,0.14666666666666667,-0.13333333333333333,-41.0,6085.75,6098.25,6123.25,29.16666666666697,1,6152.416666666667
D4_G_long_1h_pivot,1,2024-08-22 06:00:00+00:00,2024-08-22 05:59:00+00:00,6110.0,6103.5,2024-08-22 14:59:00+00:00,close_exit,0.5,-0.07,6.5,-0.01076923076923077,0.07692307692307693,4.230769230769231,-0.5384615384615384,-3.5000000000000004,6098.25,6103.75,6119.5,18.107142857143117,2,6137.607142857143
D4_G_long_1h_pivot,1,2024-08-26 02:00:00+00:00,2024-08-26 01:59:00+00:00,6125.25,6112.25,2024-08-26 02:59:00+00:00,close_exit,-2.75,-3.32,13.0,-0.2553846153846154,-0.21153846153846154,0.057692307692307696,-0.28846153846153844,-166.0,6075.25,6112.5,6131.5,25.20833333333303,1,6156.708333333333
D4_G_long_1h_pivot,1,2024-08-26 06:00:00+00:00,2024-08-26 05:59:00+00:00,6122.5,6116.25,2024-08-26 14:31:00+00:00,stop,-6.0,-6.57,6.25,-1.0512000000000001,-0.96,3.0,-1.04,-328.5,6112.5,6116.5,6131.75,17.25,2,6149.0
D4_G_long_1h_pivot,1,2024-08-27 01:00:00+00:00,2024-08-27 00:59:00+00:00,6101.0,6095.25,2024-08-27 10:59:00+00:00,close_exit,1.25,0.6799999999999999,5.75,0.11826086956521738,0.21739130434782608,2.9565217391304346,-0.4782608695652174,34.0,6092.0,6095.5,6110.75,17.58333333333303,1,6128.333333333333
D4_G_long_1h_pivot,1,2024-08-28 02:00:00+00:00,2024-08-28 01:59:00+00:00,6112.0,6102.5,2024-08-28 07:59:00+00:00,close_exit,5.5,4.93,9.5,0.5189473684210526,0.5789473684210527,0.7105263157894737,-0.21052631578947367,246.5,6083.75,6102.75,6121.75,33.777777777777374,1,6155.527777777777
D4_G_long_1h_pivot,1,2024-08-29 21:00:00+00:00,2024-08-29 20:59:00+00:00,6090.5,6070.0,2024-08-30 12:59:00+00:00,close_exit,9.5,8.93,20.5,0.435609756097561,0.4634146341463415,1.048780487804878,-0.4878048780487805,446.5,6033.5,6070.25,6136.0,69.42500000000018,1,6205.425
D4_G_long_1h_pivot,1,2024-09-05 10:00:00+00:00,2024-09-05 09:59:00+00:00,6002.75,5989.0,2024-09-05 12:19:00+00:00,stop,-13.5,-14.07,13.75,-1.0232727272727273,-0.9818181818181818,0.4909090909090909,-1.0363636363636364,-703.5,5987.25,5989.25,6010.0,22.5,1,6032.5
D4_G_long_1h_pivot,1,2024-09-09 21:00:00+00:00,2024-09-09 20:59:00+00:00,5960.0,5929.25,2024-09-10 00:59:00+00:00,close_exit,-6.0,-6.57,30.75,-0.21365853658536585,-0.1951219512195122,0.12195121951219512,-0.45528455284552843,-328.5,5914.75,5929.5,5965.25,40.66666666666697,1,6005.916666666667
D4_G_long_1h_pivot,1,2024-09-11 08:00:00+00:00,2024-09-11 07:59:00+00:00,5964.5,5943.0,2024-09-11 12:31:00+00:00,stop,-21.25,-21.82,21.5,-1.0148837209302326,-0.9883720930232558,0.3023255813953488,-1.1046511627906976,-1091.0,5920.5,5943.25,5978.25,52.0625,1,6030.3125
D4_G_long_1h_pivot,1,2024-09-12 11:00:00+00:00,2024-09-12 10:59:00+00:00,6041.75,6034.0,2024-09-12 12:59:00+00:00,close_exit,-4.5,-5.07,7.75,-0.6541935483870968,-0.5806451612903226,1.5483870967741935,-0.8709677419354839,-253.5,6026.75,6034.25,6049.75,16.57142857142844,2,6066.321428571428
D4_G_long_1h_pivot,1,2024-09-13 09:00:00+00:00,2024-09-13 08:59:00+00:00,6081.0,6073.75,2024-09-13 14:00:00+00:00,target,15.875,15.555,7.25,2.14551724137931,2.189655172413793,2.6206896551724137,-0.5172413793103449,777.75,6071.5,6074.0,6085.0,11.625,2,6096.625
D4_G_long_1h_pivot,1,2024-09-18 11:00:00+00:00,2024-09-18 10:59:00+00:00,6119.25,6108.75,2024-09-18 13:31:00+00:00,stop,-10.25,-10.82,10.5,-1.0304761904761905,-0.9761904761904762,0.2857142857142857,-1.0,-541.0,6089.25,6109.0,6121.75,15.571428571428442,1,6137.321428571428
D4_G_long_1h_pivot,1,2024-09-19 16:00:00+00:00,2024-09-19 15:59:00+00:00,6183.0,6158.75,2024-09-19 20:59:00+00:00,close_exit,2.5,1.93,24.25,0.07958762886597938,0.10309278350515463,1.041237113402062,-0.05154639175257732,96.5,6086.0,6159.0,6189.75,39.33823529411802,1,6229.088235294118
D4_G_long_1h_pivot,1,2024-09-20 21:00:00+00:00,2024-09-20 20:59:00+00:00,6169.25,6153.0,2024-09-23 06:59:00+00:00,close_exit,12.0,11.43,16.25,0.7033846153846154,0.7384615384615385,1.4307692307692308,-0.18461538461538463,571.5,6144.25,6153.25,6179.75,29.5,1,6209.25
D4_G_long_1h_pivot,1,2024-09-23 10:00:00+00:00,2024-09-23 09:59:00+00:00,6182.5,6155.75,2024-09-26 06:05:00+00:00,target,47.66666666666697,47.34666666666697,26.75,1.7699688473520363,1.7819314641744661,1.8037383177570094,-0.6355140186915887,2367.3333333333485,6153.25,6156.0,6192.5,37.41666666666697,2,6229.916666666667
