tag,side,t_signal,t_entry,entry,stop0,t_exit,reason,gross_px,net_px,risk_px,R,gross_R,mfe_R,mae_R,net_usd_1,m_one,m_zero,m_level,m_bias,m_disp_i
F1_ote62_sl100_PD,-1,2022-01-31 11:45:00+00:00,2022-01-31 13:51:00+00:00,1.3439888,1.34484,2022-01-31 14:55:00+00:00,target,0.0013887999999999678,0.0013187999999999679,0.0008512000000000519,1.5493421052630256,1.6315789473682838,1.8078007518796622,-0.5183270676691771,131.87999999999678,1.34484,1.3426,1.34327,-1,1974
F1_ote62_sl100_PD,-1,2022-02-01 12:00:00+00:00,2022-02-01 14:31:00+00:00,1.3506072,1.35139,2022-02-01 14:45:00+00:00,target,0.0012772000000000894,0.0012072000000000894,0.0007828000000000834,1.542156361778182,1.6315789473683613,1.6315789473683613,-0.8211548288193202,120.72000000000894,1.35139,1.34933,1.346,-1,2071
F1_ote62_sl100_PD,-1,2022-03-10 08:30:00+00:00,2022-03-10 09:00:00+00:00,1.3176412,1.31945,2022-03-10 10:25:00+00:00,target,0.0029512000000000427,0.0028812000000000425,0.0018088000000000548,1.5928792569659196,1.6315789473683953,1.7974347633789867,-0.5079610791684926,288.12000000000427,1.31945,1.31469,1.31896,-1,4649
F1_ote62_sl100_PD,1,2022-03-24 10:45:00+00:00,2022-03-24 13:58:00+00:00,1.3171557999999999,1.31567,2022-03-24 15:01:00+00:00,target,0.0024242000000000985,0.0023542000000000983,0.0014857999999999816,1.5844662807915786,1.6315789473685076,2.102705613137744,-0.32023152510419306,235.42000000000982,1.31567,1.31958,1.31749,1,5622
F1_ote62_sl100_PD,1,2022-08-18 09:15:00+00:00,2022-08-18 14:42:00+00:00,1.2014326,1.19943,2022-08-18 15:02:00+00:00,stop,-0.0020025999999999655,-0.0020925999999998747,0.0020025999999999655,-1.0449415759512188,-1.0,0.09357834814738437,-1.3745131329272153,-209.25999999998746,1.19943,1.2047,1.20277,1,15687
F1_ote62_sl100_PD,-1,2022-09-28 12:15:00+00:00,2022-09-28 15:37:00+00:00,1.0736216,1.08395,2022-09-28 16:53:00+00:00,stop,-0.010328399999999904,-0.010418399999999814,0.010328399999999904,-1.008713837574059,-1.0,0.22187366871927816,-1.1297393594361091,-1041.8399999999815,1.08395,1.05677,1.08374,-1,18483
F1_ote62_sl100_PD,-1,2022-11-07 12:30:00+00:00,2022-11-07 13:03:00+00:00,1.1456986,1.14761,2022-11-07 13:18:00+00:00,stop,-0.0019114000000000075,-0.0020013999999999167,0.0019114000000000075,-1.0470859056188704,-1.0,0.5381395835514038,-1.0313906037459186,-200.13999999999166,1.14761,1.14258,1.13818,-1,21172
F1_ote62_sl100_PD,-1,2022-11-11 14:45:00+00:00,2022-11-11 15:18:00+00:00,1.1762788,1.1796,2022-11-11 16:50:00+00:00,stop,-0.003321200000000024,-0.0034111999999999333,0.003321200000000024,-1.0270986390461003,-1.0,0.7975430567264806,-1.0,-341.11999999999335,1.1796,1.17086,1.17311,-1,21565
F1_ote62_sl100_PD,1,2023-01-12 14:00:00+00:00,2023-01-12 14:43:00+00:00,1.2147708,1.20901,2023-01-12 14:55:00+00:00,stop,-0.00576080000000001,-0.005850799999999919,0.00576080000000001,-1.0156228301624615,-1.0,0.12310790168031595,-1.0381891403971473,-585.0799999999919,1.20901,1.22417,1.20999,1,25774
F1_ote62_sl100_PD,-1,2023-02-08 11:15:00+00:00,2023-02-08 11:31:00+00:00,1.2099966,1.21092,2023-02-08 12:55:00+00:00,target,0.0015065999999999136,0.0014365999999999136,0.0009234000000000187,1.5557721464152963,1.6315789473682945,1.7073857483213084,-0.9350227420403424,143.65999999999136,1.21092,1.20849,1.20948,-1,27583
F1_ote62_sl100_PD,-1,2023-02-20 08:45:00+00:00,2023-02-20 09:07:00+00:00,1.2044164,1.20564,2023-02-20 09:35:00+00:00,target,0.0019963999999998983,0.0019263999999998983,0.0012236000000001024,1.5743707093819361,1.6315789473682014,1.6479241582215272,-0.0764955867930853,192.63999999998984,1.20564,1.20242,1.20491,-1,28337
F1_ote62_sl100_PD,-1,2023-04-17 09:15:00+00:00,2023-04-17 13:00:00+00:00,1.24241,1.24279,2023-04-17 13:10:00+00:00,stop,-0.0009196000000000204,-0.0004699999999999559,0.00038000000000004697,-1.236842105262889,-2.419999999999755,1.184210526315805,-1.9473684210522932,-46.999999999995595,1.24279,1.24037,1.24186,-1,30987
F1_ote62_sl100_PD,-1,2023-06-27 10:15:00+00:00,2023-06-27 15:00:00+00:00,1.27536,1.27579,2023-06-28 05:57:00+00:00,target,0.0020583999999999048,0.002820000000000059,0.00042999999999993044,6.558139534884919,4.7869767441866,6.837209302327071,-0.6976744186046872,282.0000000000059,1.27579,1.27247,1.27484,-1,34447
F1_ote62_sl100_PD,-1,2023-07-26 14:15:00+00:00,2023-07-26 14:29:00+00:00,1.2916182,1.29242,2023-07-26 14:32:00+00:00,stop,-0.0008017999999998526,-0.0008917999999997616,0.0008017999999998526,-1.1122474432525886,-1.0,0.3594412571716584,-1.0124719381392708,-89.17999999997616,1.29242,1.29031,1.29028,-1,35871
F1_ote62_sl100_PD,1,2023-08-21 08:30:00+00:00,2023-08-21 08:58:00+00:00,1.2730556000000002,1.27225,2023-08-21 09:18:00+00:00,stop,-0.0008056000000000729,-0.0008955999999999819,0.0008056000000000729,-1.1117179741806118,-1.0,0.4026812313800286,-1.0744786494540288,-89.55999999999818,1.27225,1.27437,1.27272,1,37508
F1_ote62_sl100_PD,-1,2023-09-08 08:00:00+00:00,2023-09-08 09:06:00+00:00,1.249906,1.25097,2023-09-08 10:01:00+00:00,target,0.0017359999999999598,0.0016659999999999598,0.0010639999999999539,1.5657894736842406,1.631578947368454,1.6691729323308993,-0.15413533834592114,166.599999999996,1.25097,1.24817,1.25094,-1,38850
