tag,side,t_signal,t_entry,entry,stop0,t_exit,reason,gross_px,net_px,risk_px,R,gross_R,mfe_R,mae_R,net_usd_1,m_one,m_zero,m_level,m_bias,m_disp_i
F2_ote705_sl90_PD,-1,2022-03-09 11:30:00+00:00,2022-03-09 12:01:00+00:00,1.09775845,1.098751,2022-03-09 12:46:00+00:00,stop,-0.000992550000000092,-0.001082550000000001,0.000992550000000092,-1.0906755327186546,-1.0,1.4089466525613927,-1.1501183819454344,-108.2550000000001,1.09926,1.09417,1.09582,-1,4565
F2_ote705_sl90_PD,-1,2022-03-16 12:45:00+00:00,2022-03-16 14:14:00+00:00,1.1013608000000001,1.1020940000000001,2022-03-16 14:14:00+00:00,stop,-0.0007331999999999894,-0.0008231999999998984,0.0007331999999999894,-1.1227495908345748,-1.0,0.546644844517467,-1.5673758865244898,-82.31999999998983,1.10247,1.09871,1.10196,-1,5054
F2_ote705_sl90_PD,-1,2022-07-13 13:45:00+00:00,2022-07-13 15:44:00+00:00,1.00714755,1.0091189999999999,2022-07-13 15:47:00+00:00,stop,-0.0019714499999998747,-0.002061449999999784,0.0019714499999998747,-1.0456516776991123,-1.0,0.3284638210454708,-1.0563037358290606,-206.14499999997838,1.01013,1.00002,1.00738,-1,13210
F2_ote705_sl90_PD,-1,2022-08-30 13:45:00+00:00,2022-08-30 14:33:00+00:00,1.0041012,1.005006,2022-08-30 15:03:00+00:00,target,0.0032711999999999186,0.0032011999999999184,0.0009048000000000389,3.538019451812313,3.61538461538437,3.7701149425285156,-0.05393457117578124,320.1199999999918,1.00547,1.00083,1.00291,-1,16474
F2_ote705_sl90_PD,1,2022-10-28 14:15:00+00:00,2022-10-28 15:12:00+00:00,0.99451735,0.993283,2022-10-28 16:16:00+00:00,stop,-0.0012343499999999397,-0.0013243499999999596,0.0012343499999999397,-1.0729128691214196,-1.0,1.857374326568736,-1.204966176530215,-132.43499999999597,0.99265,0.99898,0.99575,1,20604
F2_ote705_sl90_PD,1,2022-12-15 13:45:00+00:00,2022-12-15 15:31:00+00:00,1.06239375,1.061175,2022-12-15 17:08:00+00:00,stop,-0.0012187500000000462,-0.0013087499999999551,0.0012187500000000462,-1.0738461538460764,-1.0,2.696410256410101,-1.1764102564103123,-130.8749999999955,1.06055,1.0668,1.06187,1,23866
F2_ote705_sl90_PD,-1,2023-05-30 14:00:00+00:00,2023-05-30 15:36:00+00:00,1.0739125,1.0744,2023-05-30 17:00:00+00:00,target,0.0017625000000001112,0.0016925000000001112,0.00048749999999997407,3.4717948717952845,3.615384615385036,3.7794871794873175,-0.38461538461541966,169.2500000000111,1.07465,1.07215,1.07434,-1,33167
F2_ote705_sl90_PD,1,2023-10-13 13:30:00+00:00,2023-10-13 14:23:00+00:00,1.0520508,1.051614,2023-10-13 15:00:00+00:00,stop,-0.00043679999999990393,-0.0005267999999998129,0.00043679999999990393,-1.206043956043793,-1.0,2.1501831501839432,-1.7646520146523121,-52.67999999998129,1.05139,1.05363,1.05257,1,41334
F2_ote705_sl90_PD,-1,2023-10-17 13:45:00+00:00,2023-10-17 15:11:00+00:00,1.0567205,1.05752,2023-10-17 15:17:00+00:00,stop,-0.000799500000000064,-0.000889499999999973,0.000799500000000064,-1.1125703564726726,-1.0,0.2257661038147622,-1.1626016260162015,-88.9499999999973,1.05793,1.05383,1.05627,-1,41527
F2_ote705_sl90_PD,1,2023-11-08 11:15:00+00:00,2023-11-08 13:33:00+00:00,1.0663902,1.066086,2023-11-08 13:45:00+00:00,stop,-0.0003041999999999767,-0.00039419999999988566,0.0003041999999999767,-1.2958579881654038,-1.0,1.4457593688360053,-1.0197238658782808,-39.41999999998857,1.06593,1.06749,1.0664,1,43053
F2_ote705_sl90_PD,-1,2023-11-13 12:15:00+00:00,2023-11-13 16:13:00+00:00,1.0693571,1.069868,2023-11-13 16:38:00+00:00,stop,-0.0005109000000000918,-0.0006009000000000008,0.0005109000000000918,-1.1761597181442411,-1.0,1.0708553532977358,-1.2192209825795064,-60.09000000000008,1.07013,1.06751,1.06927,-1,43345
F2_ote705_sl90_PD,1,2023-11-30 12:45:00+00:00,2023-11-30 13:58:00+00:00,1.0915313,1.091114,2023-11-30 14:00:00+00:00,stop,-0.00041730000000006484,-0.0005072999999999738,0.00041730000000006484,-1.215672178288749,-1.0,0.5480469686078266,-1.8483105679365215,-50.72999999999738,1.0909,1.09304,1.09601,1,44595
F2_ote705_sl90_PD,1,2023-12-29 12:30:00+00:00,2023-12-29 12:56:00+00:00,1.1054938,1.104784,2023-12-29 12:58:00+00:00,stop,-0.0007098000000000937,-0.0007998000000000026,0.0007098000000000937,-1.1267962806422895,-1.0,0.12144265990407699,-1.0056353902506234,-79.98000000000026,1.10442,1.10806,1.10552,1,46549
F2_ote705_sl90_PD,1,2024-04-11 08:15:00+00:00,2024-04-11 10:47:00+00:00,1.0731161,1.0728080000000002,2024-04-11 11:07:00+00:00,stop,-0.0003080999999998113,-0.00039809999999972025,0.0003080999999998113,-1.2921129503406819,-1.0,0.6617981174948376,-1.123336579033521,-39.80999999997203,1.07265,1.07423,1.07288,1,53516
F2_ote705_sl90_PD,1,2024-04-12 15:00:00+00:00,2024-04-12 15:07:00+00:00,1.0634705500000001,1.0632190000000001,2024-04-12 15:08:00+00:00,stop,-0.0002515499999999893,-0.00034154999999989823,0.0002515499999999893,-1.3577817531302436,-1.0,1.3891870403493431,-1.0357781753136481,-34.154999999989826,1.06309,1.06438,1.06992,1,53639
F2_ote705_sl90_PD,1,2024-05-09 11:15:00+00:00,2024-05-09 12:05:00+00:00,1.072954,1.07272,2024-05-09 12:32:00+00:00,stop,-0.0002340000000000675,-0.00032399999999997643,0.0002340000000000675,-1.3846153846148845,-1.0,1.6923076923074734,-1.1282051282049823,-32.39999999999765,1.0726,1.0738,1.0735,1,55448
F2_ote705_sl90_PD,-1,2024-07-31 13:00:00+00:00,2024-07-31 13:21:00+00:00,1.0836176499999999,1.083877,2024-07-31 13:24:00+00:00,stop,-0.00025935000000010255,-0.0003493500000000115,0.00025935000000010255,-1.3470213996524902,-1.0,0.22228648544351395,-1.0501253132833452,-34.93500000000115,1.08401,1.08268,1.08356,-1,61119
F2_ote705_sl90_PD,-1,2024-09-06 08:45:00+00:00,2024-09-06 09:00:00+00:00,1.1117879499999999,1.1119809999999999,2024-09-06 09:49:00+00:00,stop,-0.00019305000000002792,-0.00028304999999993687,0.00019305000000002792,-1.466200466199927,-1.0,2.4239834239830462,-1.0466200466208053,-28.304999999993687,1.11208,1.11109,1.11197,-1,63694
F2_ote705_sl90_PD,-1,2024-10-30 10:45:00+00:00,2024-10-30 14:08:00+00:00,1.0850951500000001,1.085647,2024-10-30 14:47:00+00:00,stop,-0.0005518499999999094,-0.0006418499999998183,0.0005518499999999094,-1.1630877955964913,-1.0,1.0241007520163417,-1.2772492525140398,-64.18499999998183,1.08593,1.0831,1.08263,-1,67350
