tag,side,t_signal,t_entry,entry,stop0,t_exit,reason,gross_px,net_px,risk_px,R,gross_R,mfe_R,mae_R,net_usd_1,m_day,m_ref_nq,m_ref_es,m_n_ext,m_e_ext,m_fvg_edge,m_range_low,m_target
C3_5m_overnight,1,2024-07-26 15:05:00+00:00,2024-07-26 15:04:00+00:00,21080.25,20983.0,2024-07-26 15:05:00+00:00,target,1.5,0.75,97.25,0.007712082262210797,0.015424164524421594,0.19794344473007713,-0.015424164524421594,1.5,2024-07-26,21003.0,5942.25,20983.25,5944.0,21077.25,21179.75,21081.5
C3_5m_overnight,1,2024-10-16 14:10:00+00:00,2024-10-16 14:09:00+00:00,21993.25,21911.0,2024-10-16 14:13:00+00:00,target,14.375,13.625,82.25,0.1656534954407295,0.17477203647416414,0.23404255319148937,-0.12462006079027356,27.25,2024-10-16,21919.0,6264.0,21911.25,6265.0,21974.0,22103.5,22007.375
C3_5m_overnight,-1,2024-11-06 15:45:00+00:00,2024-11-06 15:44:00+00:00,22453.5,22528.25,2024-11-06 16:11:00+00:00,be,0.25,-0.75,74.75,-0.010033444816053512,0.0033444816053511705,0.7391304347826086,-0.2608695652173913,-1.5,2024-11-06,22512.75,6352.0,22528.0,6349.5,22459.25,22029.5,22278.75
C3_5m_overnight,-1,2024-12-02 15:20:00+00:00,2024-12-02 15:19:00+00:00,22869.5,22902.75,2024-12-02 15:34:00+00:00,stop,-33.0,-34.0,33.25,-1.0225563909774436,-0.9924812030075187,0.20300751879699247,-1.0977443609022557,-68.0,2024-12-02,22876.5,6472.75,22902.5,6468.5,22871.75,22645.75,22774.125
C3_5m_overnight,-1,2024-12-06 15:55:00+00:00,2024-12-06 15:54:00+00:00,23306.75,23351.75,2024-12-06 18:07:00+00:00,stop,-44.75,-45.75,45.0,-1.0166666666666666,-0.9944444444444445,0.6222222222222222,-1.2055555555555555,-91.5,2024-12-06,23320.5,6521.75,23351.5,6521.75,23321.0,23130.0,23240.75
C3_5m_overnight,-1,2025-01-03 15:15:00+00:00,2025-01-03 15:14:00+00:00,22781.5,22873.75,2025-01-03 15:16:00+00:00,be,0.25,-0.75,92.25,-0.008130081300813009,0.0027100271002710027,0.24932249322493225,-0.2140921409214092,-1.5,2025-01-03,22867.25,6302.5,22873.5,6301.75,22795.5,22577.0,22725.25
C3_5m_overnight,1,2025-01-14 15:45:00+00:00,2025-01-14 15:44:00+00:00,22447.25,22380.5,2025-01-14 15:51:00+00:00,stop,-66.5,-67.5,66.75,-1.0112359550561798,-0.9962546816479401,0.0,-1.2097378277153559,-135.0,2025-01-14,22398.5,6215.5,22380.75,6217.5,22442.0,22576.5,22478.625
C3_5m_overnight,-1,2025-02-06 15:25:00+00:00,2025-02-06 15:24:00+00:00,23230.25,23282.5,2025-02-06 15:39:00+00:00,target,20.0,19.25,52.25,0.3684210526315789,0.3827751196172249,0.8086124401913876,-0.7368421052631579,38.5,2025-02-06,23255.5,6443.0,23282.25,6440.0,23254.0,23138.75,23210.5
C3_5m_overnight,1,2025-03-13 14:15:00+00:00,2025-03-13 14:14:00+00:00,20911.0,20756.5,2025-03-13 14:16:00+00:00,be,0.25,-0.75,154.5,-0.0048543689320388345,0.0016181229773462784,0.11165048543689321,-0.06796116504854369,-1.5,2025-03-13,20771.5,5893.5,20756.75,5893.75,20890.5,21126.5,20941.625
C3_5m_overnight,1,2025-03-17 15:20:00+00:00,2025-03-17 15:19:00+00:00,21161.0,21087.0,2025-03-17 15:34:00+00:00,stop,-73.75,-74.75,74.0,-1.010135135135135,-0.9966216216216216,0.08445945945945946,-1.347972972972973,-149.5,2025-03-17,21116.75,5968.5,21087.25,5981.25,21156.25,21280.75,21184.0
C3_5m_overnight,1,2025-04-30 14:15:00+00:00,2025-04-30 14:14:00+00:00,20477.75,20327.0,2025-04-30 14:16:00+00:00,be,0.25,-0.75,150.75,-0.004975124378109453,0.001658374792703151,0.0779436152570481,-0.07131011608623548,-1.5,2025-04-30,20331.0,5741.0,20327.25,5742.5,20457.0,20848.25,20587.75
C3_5m_overnight,1,2025-05-06 14:10:00+00:00,2025-05-06 14:09:00+00:00,21045.75,20963.0,2025-05-06 14:20:00+00:00,target,67.375,66.625,82.75,0.8051359516616314,0.8141993957703928,0.879154078549849,-0.09969788519637462,133.25,2025-05-06,20971.75,5892.5,20963.25,5894.0,21022.0,21262.5,21112.875
C3_5m_overnight,-1,2025-07-09 14:30:00+00:00,2025-07-09 14:29:00+00:00,24048.25,24111.25,2025-07-09 14:36:00+00:00,target,71.5,70.75,63.0,1.123015873015873,1.1349206349206349,1.3571428571428572,-0.007936507936507936,141.5,2025-07-09,24096.75,6547.0,24111.0,6544.75,24064.5,23843.0,23977.0
C3_5m_overnight,1,2025-07-22 14:40:00+00:00,2025-07-22 14:39:00+00:00,24212.0,24104.5,2025-07-22 17:28:00+00:00,target,24.375,23.625,107.5,0.21976744186046512,0.22674418604651161,0.3558139534883721,-0.4930232558139535,47.25,2025-07-22,24111.75,6550.5,24104.75,6551.0,24208.75,24367.5,24236.125
