tag,side,t_signal,t_entry,entry,stop0,t_exit,reason,gross_px,net_px,risk_px,R,gross_R,mfe_R,mae_R,net_usd_1,m_day,m_ref_nq,m_ref_es,m_n_ext,m_e_ext,m_fvg_edge,m_range_low,m_target
C4_3m_h4range,1,2024-10-16 14:12:00+00:00,2024-10-16 14:11:00+00:00,21990.0,21911.0,2024-10-16 14:12:00+00:00,target,11.75,11.0,79.0,0.13924050632911392,0.14873417721518986,0.189873417721519,-0.06329113924050633,22.0,2024-10-16,21919.0,6264.0,21911.25,6265.0,21974.0,22091.75,22001.5
C4_3m_h4range,-1,2024-11-06 15:45:00+00:00,2024-11-06 15:44:00+00:00,22453.5,22528.25,2024-11-06 16:02:00+00:00,target,46.375,45.625,74.75,0.6103678929765887,0.6204013377926422,0.7391304347826086,-0.2608695652173913,91.25,2024-11-06,22512.75,6352.0,22528.0,6349.5,22459.25,22286.75,22407.375
C4_3m_h4range,-1,2024-12-02 15:57:00+00:00,2024-12-02 15:56:00+00:00,22861.0,22910.0,2024-12-02 16:37:00+00:00,stop,-48.75,-49.75,49.0,-1.0153061224489797,-0.9948979591836735,0.2857142857142857,-1.1173469387755102,-99.5,2024-12-02,22876.5,6472.75,22909.75,6472.0,22862.75,22653.5,22781.625
C4_3m_h4range,-1,2024-12-06 15:54:00+00:00,2024-12-06 15:53:00+00:00,23302.0,23351.75,2024-12-06 18:07:00+00:00,stop,-49.5,-50.5,49.75,-1.015075376884422,-0.9949748743718593,0.46733668341708545,-1.185929648241206,-101.0,2024-12-06,23320.5,6521.75,23351.5,6521.75,23303.0,23145.0,23248.25
C4_3m_h4range,-1,2025-01-03 15:15:00+00:00,2025-01-03 15:14:00+00:00,22781.5,22873.75,2025-01-03 15:16:00+00:00,be,0.25,-0.75,92.25,-0.008130081300813009,0.0027100271002710027,0.24932249322493225,-0.2140921409214092,-1.5,2025-01-03,22867.25,6302.5,22873.5,6301.75,22800.25,22641.0,22757.25
C4_3m_h4range,1,2025-01-17 15:33:00+00:00,2025-01-17 15:32:00+00:00,22975.75,22913.5,2025-01-17 15:38:00+00:00,be,0.25,-0.75,62.25,-0.012048192771084338,0.004016064257028112,0.4578313253012048,-0.0642570281124498,-1.5,2025-01-17,22919.75,6349.5,22913.75,6354.5,22973.5,23112.75,23013.25
C4_3m_h4range,-1,2025-02-06 15:21:00+00:00,2025-02-06 15:20:00+00:00,23257.25,23282.5,2025-02-06 15:39:00+00:00,target,47.0,46.25,25.25,1.8316831683168318,1.8613861386138615,2.742574257425743,-0.6138613861386139,92.5,2025-02-06,23255.5,6443.0,23282.25,6440.0,23262.75,23138.75,23210.5
C4_3m_h4range,1,2025-03-13 14:06:00+00:00,2025-03-13 14:05:00+00:00,20869.5,20756.5,2025-03-13 14:14:00+00:00,target,41.875,41.125,113.0,0.3639380530973451,0.37057522123893805,0.3915929203539823,-0.3827433628318584,82.25,2025-03-13,20771.5,5893.5,20756.75,5893.75,20858.75,21065.5,20911.125
C4_3m_h4range,1,2025-03-17 14:45:00+00:00,2025-03-17 14:44:00+00:00,21183.75,21108.5,2025-03-17 14:59:00+00:00,stop,-75.0,-76.0,75.25,-1.0099667774086378,-0.9966777408637874,0.06976744186046512,-1.0664451827242525,-152.0,2025-03-17,21116.75,5968.5,21108.75,5986.0,21171.5,21280.75,21194.75
C4_3m_h4range,-1,2025-04-25 14:51:00+00:00,2025-04-25 14:50:00+00:00,20556.0,20631.0,2025-04-25 14:56:00+00:00,target,20.75,20.0,75.0,0.26666666666666666,0.27666666666666667,0.27666666666666667,-0.4066666666666667,40.0,2025-04-25,20588.25,5810.25,20630.75,5808.75,20561.5,20440.25,20535.5
C4_3m_h4range,1,2025-04-30 14:03:00+00:00,2025-04-30 14:02:00+00:00,20399.25,20327.0,2025-04-30 14:44:00+00:00,target,177.625,176.875,72.25,2.4480968858131487,2.458477508650519,2.5017301038062283,-0.328719723183391,353.75,2025-04-30,20331.0,5741.0,20327.25,5742.5,20380.25,20826.0,20576.625
C4_3m_h4range,1,2025-05-06 14:06:00+00:00,2025-05-06 14:05:00+00:00,21025.25,20963.0,2025-05-06 14:09:00+00:00,target,23.0,22.25,62.25,0.357429718875502,0.36947791164658633,0.42168674698795183,-0.26506024096385544,44.5,2025-05-06,20971.75,5892.5,20963.25,5894.0,21009.25,21132.75,21048.0
C4_3m_h4range,-1,2025-06-24 14:51:00+00:00,2025-06-24 14:50:00+00:00,23319.25,23340.5,2025-06-24 15:00:00+00:00,be,0.25,-0.75,21.25,-0.03529411764705882,0.011764705882352941,0.9176470588235294,-0.8,-1.5,2025-06-24,23333.0,6362.0,23340.25,6361.5,23324.5,23251.0,23295.625
C4_3m_h4range,-1,2025-07-09 14:30:00+00:00,2025-07-09 14:29:00+00:00,24048.25,24111.25,2025-07-09 14:31:00+00:00,target,38.125,37.375,63.0,0.5932539682539683,0.6051587301587301,0.8571428571428571,-0.007936507936507936,74.75,2025-07-09,24096.75,6547.0,24111.0,6544.75,24064.5,23909.75,24010.375
C4_3m_h4range,1,2025-07-22 14:36:00+00:00,2025-07-22 14:35:00+00:00,24218.75,24104.5,2025-07-22 14:46:00+00:00,target,8.625,7.875,114.25,0.06892778993435449,0.07549234135667396,0.08096280087527352,-0.22319474835886213,15.75,2025-07-22,24111.75,6550.5,24104.75,6551.0,24203.0,24349.5,24227.125
C4_3m_h4range,-1,2025-08-07 14:06:00+00:00,2025-08-07 14:05:00+00:00,24626.25,24671.25,2025-08-07 14:07:00+00:00,target,6.375,5.625,45.0,0.125,0.14166666666666666,0.14444444444444443,-0.65,11.25,2025-08-07,24658.75,6646.25,24671.0,6644.5,24632.75,24569.25,24620.125
C4_3m_h4range,1,2025-08-21 15:18:00+00:00,2025-08-21 15:17:00+00:00,24241.75,24154.75,2025-08-21 15:20:00+00:00,target,3.375,2.625,87.0,0.03017241379310345,0.03879310344827586,0.04597701149425287,-0.16666666666666666,5.25,2025-08-21,24174.75,6607.25,24155.0,6610.25,24214.75,24334.75,24244.875
C4_3m_h4range,1,2025-10-03 14:39:00+00:00,2025-10-03 14:38:00+00:00,25870.25,25807.25,2025-10-03 14:40:00+00:00,target,10.5,9.75,63.0,0.15476190476190477,0.16666666666666666,0.23412698412698413,-0.10714285714285714,19.5,2025-10-03,25856.5,6942.75,25807.5,6946.5,25856.5,25953.5,25880.5
C4_3m_h4range,-1,2025-10-23 14:54:00+00:00,2025-10-23 14:53:00+00:00,25921.0,25956.0,2025-10-23 15:31:00+00:00,stop,-34.75,-35.75,35.0,-1.0214285714285714,-0.9928571428571429,0.6928571428571428,-1.2857142857142858,-71.5,2025-10-23,25936.25,6940.75,25955.75,6937.0,25926.25,25689.75,25822.75
C4_3m_h4range,1,2025-10-28 14:54:00+00:00,2025-10-28 14:53:00+00:00,26794.75,26764.75,2025-10-28 15:02:00+00:00,target,13.25,12.5,30.0,0.4166666666666667,0.44166666666666665,0.45,-0.25833333333333336,25.0,2025-10-28,26765.25,7081.5,26765.0,7084.75,26794.25,26850.5,26807.75
C4_3m_h4range,-1,2025-11-05 15:03:00+00:00,2025-11-05 15:02:00+00:00,26416.0,26451.75,2025-11-05 15:06:00+00:00,stop,-35.5,-36.5,35.75,-1.020979020979021,-0.993006993006993,0.46853146853146854,-1.6013986013986015,-73.0,2025-11-05,26447.25,6999.25,26451.5,6996.5,26417.5,26160.25,26305.875
C4_3m_h4range,-1,2025-12-01 16:12:00+00:00,2025-12-01 16:11:00+00:00,26109.75,26176.5,2025-12-01 16:42:00+00:00,stop,-66.5,-67.5,66.75,-1.0112359550561798,-0.9962546816479401,0.4606741573033708,-1.0861423220973783,-135.0,2025-12-01,26136.25,7019.0,26176.25,7018.75,26113.0,25965.5,26070.875
C4_3m_h4range,1,2025-12-10 16:12:00+00:00,2025-12-10 16:11:00+00:00,26355.0,26284.5,2025-12-10 16:18:00+00:00,target,24.875,24.125,70.5,0.3421985815602837,0.3528368794326241,0.5106382978723404,-0.06028368794326241,48.25,2025-12-10,26323.5,7005.5,26284.75,7007.0,26340.5,26474.5,26379.625
C4_3m_h4range,-1,2026-01-07 15:39:00+00:00,2026-01-07 15:38:00+00:00,26360.5,26429.75,2026-01-07 15:39:00+00:00,target,16.375,15.625,69.25,0.22563176895306858,0.2364620938628159,0.34657039711191334,-0.30324909747292417,31.25,2026-01-07,26407.5,7118.0,26429.5,7114.25,26403.25,26259.25,26344.375
C4_3m_h4range,1,2026-01-08 15:06:00+00:00,2026-01-08 15:05:00+00:00,26165.5,26096.75,2026-01-08 15:16:00+00:00,target,56.375,55.625,68.75,0.8090909090909091,0.82,0.8218181818181818,-0.19636363636363635,111.25,2026-01-08,26125.0,7059.75,26097.0,7063.75,26151.5,26346.25,26221.625
C4_3m_h4range,1,2026-01-15 15:24:00+00:00,2026-01-15 15:23:00+00:00,26422.75,26364.5,2026-01-15 15:24:00+00:00,target,0.75,0.0,58.25,0.0,0.012875536480686695,0.351931330472103,-0.012875536480686695,0.0,2026-01-15,26370.25,7114.25,26364.75,7115.0,26421.5,26481.75,26423.25
C4_3m_h4range,-1,2026-01-27 15:06:00+00:00,2026-01-27 15:05:00+00:00,26552.0,26593.75,2026-01-27 15:09:00+00:00,stop,-41.5,-42.5,41.75,-1.0179640718562875,-0.9940119760479041,0.059880239520958084,-1.1317365269461077,-85.0,2026-01-27,26588.5,7127.5,26593.5,7127.25,26558.0,26444.75,26519.125
C4_3m_h4range,-1,2026-02-25 15:57:00+00:00,2026-02-25 15:56:00+00:00,25799.25,25888.75,2026-02-25 19:02:00+00:00,stop,-89.25,-90.25,89.5,-1.0083798882681565,-0.9972067039106145,0.0335195530726257,-1.0865921787709498,-180.5,2026-02-25,25879.5,7068.75,25888.5,7064.5,25807.25,25595.75,25742.125
C4_3m_h4range,1,2026-03-27 14:15:00+00:00,2026-03-27 14:14:00+00:00,23839.5,23759.75,2026-03-27 14:22:00+00:00,be,0.25,-0.75,79.75,-0.009404388714733543,0.003134796238244514,0.44200626959247646,-0.4043887147335423,-1.5,2026-03-27,23788.0,6522.25,23760.0,6523.0,23836.5,24083.5,23921.75
C4_3m_h4range,1,2026-03-30 15:00:00+00:00,2026-03-30 14:59:00+00:00,23693.75,23578.0,2026-03-30 15:05:00+00:00,target,43.625,42.875,115.75,0.37041036717062636,0.37688984881209503,0.5183585313174947,-0.0064794816414686825,85.75,2026-03-30,23609.0,6482.0,23578.25,6482.75,23665.0,23896.0,23737.125
C4_3m_h4range,1,2026-05-18 14:09:00+00:00,2026-05-18 14:08:00+00:00,29559.5,29434.0,2026-05-18 14:11:00+00:00,target,25.75,25.0,125.5,0.199203187250996,0.2051792828685259,0.23107569721115537,-0.21115537848605578,50.0,2026-05-18,29450.5,7483.5,29434.25,7494.0,29543.5,29735.75,29585.0
C4_3m_h4range,1,2026-05-21 14:39:00+00:00,2026-05-21 14:38:00+00:00,29567.0,29443.0,2026-05-21 15:23:00+00:00,target,9.5,8.75,124.0,0.07056451612903226,0.07661290322580645,0.09879032258064516,-0.9112903225806451,17.5,2026-05-21,29488.25,7478.75,29443.25,7479.75,29566.0,29709.25,29576.25
