tag,side,t_signal,t_entry,entry,stop0,t_exit,reason,gross_px,net_px,risk_px,R,gross_R,mfe_R,mae_R,net_usd_1,m_range_lo,m_range_hi,m_ob_lo,m_ob_hi,m_msb_i,m_sweep_low,m_gen_high
B2_H1_M5_breaker,-1,2024-07-01 13:10:00+00:00,2024-07-01 13:09:00+00:00,21906.0,21935.5,2024-07-01 13:46:00+00:00,target,62.75,62.0,29.5,2.1016949152542375,2.1271186440677967,2.5338983050847457,-0.7542372881355932,124.0,21962.75,21843.5,21920.0,21951.25,7,21935.25,21909.25
B2_H1_M5_breaker,1,2024-07-02 03:45:00+00:00,2024-07-02 03:44:00+00:00,21920.75,21904.75,2024-07-02 07:00:00+00:00,be,0.25,-0.75,16.0,-0.046875,0.015625,2.390625,-0.4375,-1.5,21899.5,22016.5,21783.75,21935.25,19,21905.0,21919.5
B2_H1_M5_breaker,-1,2024-07-10 07:00:00+00:00,2024-07-10 06:59:00+00:00,22643.25,22658.0,2024-07-10 07:31:00+00:00,stop,-14.5,-15.5,14.75,-1.0508474576271187,-0.9830508474576272,0.22033898305084745,-1.0677966101694916,-31.0,22714.25,22558.5,22658.75,22707.0,147,22657.75,22645.5
B2_H1_M5_breaker,-1,2024-07-12 09:40:00+00:00,2024-07-12 09:39:00+00:00,22367.0,22390.75,2024-07-12 12:30:00+00:00,target,52.75,52.0,23.75,2.1894736842105265,2.221052631578947,3.8842105263157896,-0.9578947368421052,104.0,22401.5,22314.5,22351.0,22405.0,204,22390.5,22368.0
B2_H1_M5_breaker,-1,2024-07-16 11:25:00+00:00,2024-07-16 11:24:00+00:00,22560.0,22580.25,2024-07-16 12:30:00+00:00,stop,-20.0,-21.0,20.25,-1.037037037037037,-0.9876543209876543,1.5308641975308641,-1.271604938271605,-42.0,22597.5,22484.0,22562.5,22597.5,253,22580.0,22562.5
B2_H1_M5_breaker,-1,2024-07-22 13:35:00+00:00,2024-07-22 13:34:00+00:00,21853.5,21902.25,2024-07-22 13:38:00+00:00,stop,-48.5,-49.5,48.75,-1.0153846153846153,-0.9948717948717949,0.06666666666666667,-1.4,-99.0,21919.25,21596.5,21790.0,21886.5,331,21902.0,21858.5
B2_H1_M5_breaker,1,2024-07-25 22:05:00+00:00,2024-07-25 22:04:00+00:00,20967.5,20898.25,2024-07-30 15:03:00+00:00,be,0.25,-0.75,69.25,-0.010830324909747292,0.0036101083032490976,5.086642599277979,-0.4368231046931408,-1.5,20826.0,21333.0,20959.0,21187.5,423,20898.5,20947.0
B2_H1_M5_breaker,1,2024-08-07 00:15:00+00:00,2024-08-07 00:14:00+00:00,20050.75,19987.5,2024-08-07 13:30:00+00:00,target,375.0,374.25,63.25,5.91699604743083,5.928853754940712,6.011857707509882,-0.2450592885375494,748.5,19903.75,20425.5,19995.25,20144.5,605,19987.75,20049.0
B2_H1_M5_breaker,1,2024-08-14 05:45:00+00:00,2024-08-14 05:44:00+00:00,21057.75,21039.75,2024-08-14 07:08:00+00:00,stop,-17.75,-18.75,18.0,-1.0416666666666667,-0.9861111111111112,0.9722222222222222,-1.1111111111111112,-37.5,21030.25,21095.75,21024.25,21067.25,730,21040.0,21055.25
B2_H1_M5_breaker,-1,2024-09-01 22:30:00+00:00,2024-09-01 22:29:00+00:00,21533.25,21569.0,2024-09-02 01:22:00+00:00,stop,-35.5,-36.5,35.75,-1.020979020979021,-0.993006993006993,0.6083916083916084,-1.0419580419580419,-73.0,21570.5,21312.5,21455.5,21545.5,1019,21568.75,21533.75
