tag,side,t_signal,t_entry,entry,stop0,t_exit,reason,gross_px,net_px,risk_px,R,gross_R,mfe_R,mae_R,net_usd_1,m_range_lo,m_range_hi,m_ob_lo,m_ob_hi,m_msb_i,m_sweep_low,m_gen_high
B3_D_H1_breaker,-1,2024-08-14 14:00:00+00:00,2024-08-14 13:59:00+00:00,20971.0,21117.75,2024-08-14 15:53:00+00:00,stop,-146.5,-147.5,146.75,-1.0051107325383304,-0.9982964224872232,0.7018739352640545,-1.0136286201022147,-295.0,21659.25,19288.5,20804.5,21587.75,24,21117.5,20974.5
B3_D_H1_breaker,1,2024-10-02 15:00:00+00:00,2024-10-02 14:59:00+00:00,21703.25,21539.25,2024-10-14 12:57:00+00:00,target,540.75,540.0,164.0,3.292682926829268,3.2972560975609757,3.307926829268293,-0.8917682926829268,1080.0,21341.5,22243.75,21266.75,21605.75,62,21539.5,21678.75
B3_D_H1_breaker,1,2024-11-18 09:00:00+00:00,2024-11-18 08:59:00+00:00,22341.5,22284.0,2024-11-18 09:17:00+00:00,stop,-57.25,-58.25,57.5,-1.0130434782608695,-0.9956521739130435,0.013043478260869565,-1.0478260869565217,-116.5,21713.75,23046.5,21713.75,22495.75,92,22284.25,22336.75
B3_D_H1_breaker,1,2024-12-31 10:00:00+00:00,2024-12-31 09:59:00+00:00,22921.5,22792.5,2024-12-31 15:07:00+00:00,stop,-128.75,-129.75,129.0,-1.005813953488372,-0.998062015503876,0.27906976744186046,-1.0116279069767442,-259.5,22439.75,23543.75,22738.25,23831.0,126,22792.75,22887.75
B3_D_H1_breaker,-1,2025-01-29 15:00:00+00:00,2025-01-29 14:59:00+00:00,22950.75,23130.25,2025-01-30 08:19:00+00:00,stop,-179.25,-180.25,179.5,-1.0041782729805013,-0.9986072423398329,0.8356545961002786,-1.0194986072423398,-360.5,23526.75,22196.5,22803.0,23526.75,148,23130.0,22963.75
B3_D_H1_breaker,-1,2025-03-26 09:00:00+00:00,2025-03-26 08:59:00+00:00,21677.5,21724.0,2025-03-30 22:00:00+00:00,target,1105.0,1134.25,46.5,24.392473118279568,23.763440860215052,24.973118279569892,-0.8709677419354839,2268.5,22165.75,20572.75,21508.5,22165.75,178,21723.75,21694.25
B3_D_H1_breaker,-1,2025-04-13 23:00:00+00:00,2025-04-13 22:59:00+00:00,20181.25,20478.25,2025-04-14 13:27:00+00:00,stop,-296.75,-297.75,297.0,-1.0025252525252526,-0.9991582491582491,0.07828282828282829,-1.0084175084175084,-595.5,21270.25,17677.5,20201.75,20868.25,196,20478.0,20194.5
B3_D_H1_breaker,-1,2025-05-28 15:00:00+00:00,2025-05-28 14:59:00+00:00,22657.25,22790.0,2025-05-28 22:50:00+00:00,stop,-132.5,-133.5,132.75,-1.0056497175141244,-0.9981167608286252,0.8455743879472694,-1.0998116760828625,-267.0,22787.25,21952.5,22337.25,22770.5,231,22789.75,22682.0
B3_D_H1_breaker,1,2025-06-16 00:00:00+00:00,2025-06-15 23:59:00+00:00,22912.5,22729.75,2025-06-19 13:38:00+00:00,stop,-182.5,-183.5,182.75,-1.0041039671682626,-0.9986320109439124,1.6908344733242133,-1.0410396716826265,-367.0,22696.0,23319.0,22728.5,23161.25,243,22730.0,22889.0
B3_D_H1_breaker,1,2025-08-20 08:00:00+00:00,2025-08-20 07:59:00+00:00,24399.0,24333.75,2025-08-20 13:44:00+00:00,stop,-65.0,-66.0,65.25,-1.0114942528735633,-0.9961685823754789,0.8084291187739464,-1.1762452107279693,-132.0,23788.0,25068.75,23788.0,24847.75,288,24334.0,24395.25
