tag,side,t_signal,t_entry,entry,stop0,t_exit,reason,gross_px,net_px,risk_px,R,gross_R,mfe_R,mae_R,net_usd_1,m_range_lo,m_range_hi,m_ob_lo,m_ob_hi,m_msb_i
B4_H4_OB_limit,1,2024-07-09 06:00:00+00:00,2024-07-09 17:18:00+00:00,22582.25,22532.25,2024-07-10 11:44:00+00:00,target,109.0,108.5,50.0,2.17,2.18,2.19,-0.475,217.0,22521.75,22691.25,22532.5,22582.25,32
B4_H4_OB_limit,-1,2024-07-19 21:00:00+00:00,2024-07-22 13:08:00+00:00,21878.5,21906.0,2024-07-22 13:38:00+00:00,stop,-27.5,-28.25,27.5,-1.0272727272727273,-1.0,1.9545454545454546,-1.5727272727272728,-56.5,21922.0,21596.5,21878.5,21905.75,86
B4_H4_OB_limit,-1,2024-07-19 02:00:00+00:00,2024-07-22 13:47:00+00:00,21966.75,22023.25,2024-07-22 18:09:00+00:00,be,-0.0,-0.75,56.5,-0.01327433628318584,-0.0,3.809734513274336,-0.2079646017699115,-1.5,22105.25,21701.25,21966.75,22023.0,80
B4_H4_OB_limit,1,2024-08-21 21:00:00+00:00,2024-08-22 15:20:00+00:00,21777.75,21732.25,2024-08-22 15:33:00+00:00,stop,-45.5,-46.25,45.5,-1.0164835164835164,-1.0,0.13186813186813187,-1.3186813186813187,-92.5,21732.5,21924.5,21732.5,21777.75,223
B4_H4_OB_limit,-1,2024-08-23 02:00:00+00:00,2024-08-23 14:13:00+00:00,21829.5,21968.5,2024-08-26 14:37:00+00:00,target,345.0,344.5,139.0,2.4784172661870505,2.4820143884892087,2.523381294964029,-0.11690647482014388,689.0,21968.25,21484.5,21829.5,21968.25,230
B4_H4_OB_limit,-1,2024-08-29 06:00:00+00:00,2024-08-29 13:35:00+00:00,21541.0,21632.75,2024-08-29 14:50:00+00:00,stop,-91.75,-92.5,91.75,-1.008174386920981,-1.0,0.7411444141689373,-1.0190735694822888,-185.0,21632.5,21081.5,21541.0,21632.5,253
B4_H4_OB_limit,-1,2024-09-16 21:00:00+00:00,2024-09-17 07:15:00+00:00,21421.0,21489.5,2024-09-17 09:49:00+00:00,stop,-68.5,-69.25,68.5,-1.010948905109489,-1.0,0.14963503649635038,-1.0072992700729928,-138.5,21489.25,21241.5,21421.0,21489.25,330
B4_H4_OB_limit,1,2024-10-04 18:00:00+00:00,2024-10-07 09:10:00+00:00,21776.0,21698.75,2024-10-07 18:47:00+00:00,stop,-77.25,-78.0,77.25,-1.0097087378640777,-1.0,1.5242718446601942,-1.0420711974110033,-156.0,21678.0,21969.0,21699.0,21776.0,414
B4_H4_OB_limit,1,2024-10-10 02:00:00+00:00,2024-10-15 19:04:00+00:00,22004.0,21927.0,2024-10-16 13:51:00+00:00,stop,-77.0,-77.75,77.0,-1.0097402597402598,-1.0,1.2922077922077921,-1.0227272727272727,-155.5,21901.5,22188.25,21927.25,22004.0,433
B4_H4_OB_limit,-1,2024-10-16 02:00:00+00:00,2024-10-17 13:07:00+00:00,22284.5,22365.5,2024-10-22 18:01:00+00:00,be,-0.0,-0.75,81.0,-0.009259259259259259,-0.0,3.1790123456790123,-0.19753086419753085,-1.5,22365.25,21960.0,22284.5,22365.25,457
