pool,block,tercile,d,cached_swaps,live_swaps,sqrtP_match
0xcd8c6b003b,55894882,0,3,0,0,True
0xcd8c6b003b,55894882,0,50,0,0,True
0xcd8c6b003b,55894882,0,600,3,3,True
0xec46ac4631,57742971,0,3,1,1,True
0xec46ac4631,57742971,0,50,5,5,True
0xec46ac4631,57742971,0,600,8,8,True
0x851dbb3bba,61807433,0,3,1,1,True
0x851dbb3bba,61807433,0,50,5,5,True
0x851dbb3bba,61807433,0,600,55,55,True
0xd06284b969,61530715,0,3,0,0,True
0xd06284b969,61530715,0,50,0,0,True
0xd06284b969,61530715,0,600,4,4,True
0x228cc57344,63306420,0,3,1,1,True
0x228cc57344,63306420,0,50,1,1,True
0x228cc57344,63306420,0,600,3,3,True
0xe4fcea2c4b,56074854,0,3,0,0,True
0xe4fcea2c4b,56074854,0,50,3,3,True
0xe4fcea2c4b,56074854,0,600,3,3,True
0x29a424ad09,59910482,0,3,0,0,True
0x29a424ad09,59910482,0,50,1,1,True
0x29a424ad09,59910482,0,600,10,10,True
0xd6252b178c,57078235,0,3,0,0,True
0xd6252b178c,57078235,0,50,1,1,True
0xd6252b178c,57078235,0,600,37,37,True
0xe6db7eb523,62477786,0,3,3,3,True
0xe6db7eb523,62477786,0,50,20,20,True
0xe6db7eb523,62477786,0,600,271,271,True
0x41a7a18adc,62690908,0,3,0,0,True
0x41a7a18adc,62690908,0,50,0,0,True
0x41a7a18adc,62690908,0,600,3,3,True
0xae84f96b1b,68561809,0,3,15,15,True
0xae84f96b1b,68561809,0,50,36,36,True
0xae84f96b1b,68561809,0,600,180,180,True
0x6e40cd9671,60652484,0,3,0,0,True
0x6e40cd9671,60652484,0,50,26,26,True
0x6e40cd9671,60652484,0,600,239,239,True
0xfad0b2c67d,59494214,1,3,2,2,True
0xfad0b2c67d,59494214,1,50,26,26,True
0xfad0b2c67d,59494214,1,600,359,359,True
0xdba909ac16,64626830,1,3,0,0,True
0xdba909ac16,64626830,1,50,0,0,True
0xdba909ac16,64626830,1,600,1,1,True
0xb5f6b86f2d,55315740,1,3,0,0,True
0xb5f6b86f2d,55315740,1,50,6,6,True
0xb5f6b86f2d,55315740,1,600,95,95,True
0x8af2af98d1,56769889,1,3,1,1,True
0x8af2af98d1,56769889,1,50,3,3,True
0x8af2af98d1,56769889,1,600,18,18,True
0x29482ee44c,56261709,1,3,0,0,True
0x29482ee44c,56261709,1,50,0,0,True
0x29482ee44c,56261709,1,600,0,0,True
0x9980414905,56632099,1,3,0,0,True
0x9980414905,56632099,1,50,0,0,True
0x9980414905,56632099,1,600,12,12,True
0x6668ef1301,69649720,1,3,0,0,True
0x6668ef1301,69649720,1,50,0,0,True
0x6668ef1301,69649720,1,600,4,4,True
0x02bd70a56d,60676886,1,3,15,15,True
0x02bd70a56d,60676886,1,50,66,66,True
0x02bd70a56d,60676886,1,600,436,436,True
0x7fb39eb653,56468202,1,3,0,0,True
0x7fb39eb653,56468202,1,50,0,0,True
0x7fb39eb653,56468202,1,600,19,19,True
0x51958cce8f,69240839,1,3,1,1,True
0x51958cce8f,69240839,1,50,1,1,True
0x51958cce8f,69240839,1,600,2,2,True
0x45ab00a01b,56777850,1,3,1,1,True
0x45ab00a01b,56777850,1,50,3,3,True
0x45ab00a01b,56777850,1,600,15,15,True
0x47631aedb7,60439095,1,3,0,0,True
0x47631aedb7,60439095,1,50,2,2,True
0x47631aedb7,60439095,1,600,21,21,True
0x2302473169,59899432,2,3,12,12,True
0x2302473169,59899432,2,50,229,229,True
0x2302473169,59899432,2,600,2020,2020,True
0x713aba0fa3,64089689,2,3,3,3,True
0x713aba0fa3,64089689,2,50,29,29,True
0x713aba0fa3,64089689,2,600,214,214,True
0xebedb7d96a,60660746,2,3,7,7,True
0xebedb7d96a,60660746,2,50,84,84,True
0xebedb7d96a,60660746,2,600,659,659,True
0xe09b664c2c,68459826,2,3,3,3,True
0xe09b664c2c,68459826,2,50,31,31,True
0xe09b664c2c,68459826,2,600,232,232,True
0xdee573c347,61248598,2,3,1,1,True
0xdee573c347,61248598,2,50,38,38,True
0xdee573c347,61248598,2,600,397,397,True
0x40a4339303,69745094,2,3,0,0,True
0x40a4339303,69745094,2,50,14,14,True
0x40a4339303,69745094,2,600,43,43,True
0x9980e14139,66556977,2,3,15,15,True
0x9980e14139,66556977,2,50,146,146,True
0x9980e14139,66556977,2,600,2214,2214,True
0x6538e2c223,55584786,2,3,0,0,True
0x6538e2c223,55584786,2,50,0,0,True
0x6538e2c223,55584786,2,600,31,31,True
0x713aba0fa3,62174033,2,3,5,5,True
0x713aba0fa3,62174033,2,50,21,21,True
0x713aba0fa3,62174033,2,600,210,210,True
0x856ecc1a15,60602631,2,3,0,0,True
0x856ecc1a15,60602631,2,50,0,0,True
0x856ecc1a15,60602631,2,600,10,10,True
0x7aebd80541,69464800,2,3,0,0,True
0x7aebd80541,69464800,2,50,1,1,True
0x7aebd80541,69464800,2,600,4,4,True
0x8052650014,55299361,2,3,1,1,True
0x8052650014,55299361,2,50,4,4,True
0x8052650014,55299361,2,600,53,53,True
