pool,ret_30m,modeled_exit_usd,real_sells_10min,real_buys_10min,largest_real_sell_usd,total_real_sell_usd
0x9b28ddbc,9.234,5117,2,21,15.5,15.5
0x0fee9ef9,8.274,4637,0,0,0.0,0.0
0x87dae7e9,7.71,4355,0,0,0.0,0.0
0x75473de3,7.507,4253,1520,1973,9217.6,373719.9
0x228cc573,6.552,3776,0,0,0.0,0.0
0xfad0b2c6,5.706,3353,1967,1886,12585.8,990262.5
0x377c3d00,5.16,3080,0,0,0.0,0.0
0x47631aed,5.031,3015,2610,2633,7804.9,926795.3
0x3675c72d,4.994,2997,0,0,0.0,0.0
0xe3dbc727,4.642,2821,0,0,0.0,0.0
0x75473de3,3.499,2250,1237,1661,10829.1,313798.8
0x75473de3,3.1,2050,1054,1418,10829.1,269648.6
0x093af755,2.923,1961,89,122,4213.3,36784.3
0x7528c817,2.84,1920,757,893,8336952.9,129235046.2
0xff0aa5f0,2.8,1900,1729,1724,8455.7,382728.1
