pool,block,ret,prior_sells_5m,sells_after_entry_60m,swaps_near_exit
0xe741cb4b3b7b1c6870fd1d0937a937253964d51ef847886f2543ff5af6899d10,58228796,0.11531536100830722,165,714,190
0xe741cb4b3b7b1c6870fd1d0937a937253964d51ef847886f2543ff5af6899d10,58223773,-0.15021156981604947,281,996,281
0xe4fcea2c4b8fdbd2adf3317b8253b6967ff9e542bfba310642ea81a8b09ce5e6,58211997,-0.07438150514133252,3,61,15
0xac372bf0788c21a9f5dbaf633acb4e8cb8dbc7191f48b6163e2766577c08351b,69881830,0.4568413871960633,1,0,0
0xac372bf0788c21a9f5dbaf633acb4e8cb8dbc7191f48b6163e2766577c08351b,69881342,0.8291406627904282,1,0,0
0xac372bf0788c21a9f5dbaf633acb4e8cb8dbc7191f48b6163e2766577c08351b,69880736,0.8443424497604396,0,1,0
0x9ad47e7843a1cc7ca08414a91cf1ab7b6076f4c123daf0b4a690f7d6eaaa0639,69869698,-0.8874293144860013,1446,1451,52
0xf49ee5b66c4e7163026e5d25e6a1f93cff46dca4d3752f712d181d9392c1d567,58182381,-0.33213768908480773,4,61,16
0x41e275088fc39441c00d4b26d733f3a9c27083762bc372d83ccbac8f4c466f12,69850098,-0.905704655115738,204,1260,268
0xd1c2f6cb178a165a643deae8752098dea08d51b6170cd8e36e196ef03dc74751,58166444,-0.009655172978936822,4,38,9
0x9dbc6b9fc114a17529e8cc9148819766ccff71f7f45aced36f0a8beeeaacc1af,58156346,0.3450028397031612,17,231,72
0x805f3e3b1509c76476f44c413b9482aaae9ca244a1a9596b6b391f09d13f3537,58155917,1.065206470357359,5,461,392
0xe704d24789585128227d770d00672b022d4e2d77f07bc793e3db6f2317318bd1,69768083,0.1643285554042206,62,173,26
0x40a433930370f6cdf0a78debc2c6dd599c23bd428c0d67dd8b5373e4f101557f,69745094,0.02730559303924333,59,379,89
0xbbb566342b58761dfae5a3a8f179be0fca55ec06e44d6404927f4279712af768,58136631,-0.5322612523956909,59,611,71
0x6e54bcd09e42e8e72b626c674cdc82950bf301ac06a7af11bc532a1091350b4b,69684742,-0.3756518383733922,54,531,170
0x0fee9ef9302e9c300ef82c43d7fe29bc77f978453da69056764d282b96dbafa3,58124574,1.4640311868813425,9,8,0
0x0fee9ef9302e9c300ef82c43d7fe29bc77f978453da69056764d282b96dbafa3,58120843,8.274432460762478,7,18,0
