family,n,per_day,m50,t50,m100,t100,m250,t250,m500,t500,m1000,t1000,m2000,t2000,m5000,t5000,m10000,t10000,m30000,t30000,m60000,t60000,x1000,tx1000,x5000,tx5000,x10000,tx10000,x30000,tx30000,x60000,tx60000,mfe10s_med,mae10s_med,mfe60s_med,mae60s_med,p_reversal_60s,p_cont_60s,impact_ticks_per_100lots_1s,best_abs_tradable_ticks,best_h_ms,best_over_friction_NQ,month_sign_consistency,strata_best_h
BASE_every1000th_trade_dir=aggr,66663,476.2,0.555,17.6,0.551,15.4,0.55,11.4,0.51,9.5,0.787,2.9,0.613,2.2,0.728,2.6,0.553,1.6,0.427,0.7,0.605,0.6,0.128,0.5,0.144,0.6,-0.026,-0.1,-0.157,-0.3,0.053,0.1,11.5,10.5,28.5,27.5,0.492,0.496,3.78,0.157,30000,0.058,6/7,"{'eth': {'mean': -0.536, 'n': 18770}, 'rth_close': {'mean': -0.519, 'n': 6985}, 'rth_mid': {'mean': -0.022, 'n': 26850}, 'rth_open': {'mean': 0.473, 'n': 14058}}"
E10_failed_continuation_2s(dir=reverse),2470,17.6,-0.052,-0.7,-0.053,-0.4,0.072,0.4,0.335,1.1,0.469,0.9,0.566,1.2,0.753,1.2,1.935,1.5,2.794,1.6,2.917,1.4,0.319,0.8,0.946,1.4,2.028,1.6,2.455,1.4,3.17,1.5,15.5,14.5,34.5,35.5,0.48,0.513,2.72,3.17,60000,1.174,4/7,"{'eth': {'mean': 7.193, 'n': 451}, 'rth_close': {'mean': -7.946, 'n': 315}, 'rth_mid': {'mean': -2.451, 'n': 1007}, 'rth_open': {'mean': 7.733, 'n': 697}}"
E11_flow_exhaustion_2s(dir=orig),100,0.7,0.015,1.0,0.023,0.3,0.028,0.4,-0.849,-3.2,-0.569,-1.3,0.344,0.3,-0.962,-0.6,-0.956,-0.3,-2.667,-0.7,-3.562,-0.8,0.018,0.0,-1.395,-0.7,-1.282,-0.4,-2.505,-0.7,-3.69,-0.8,5.5,8.5,21.0,17.5,0.5,0.49,-1.925,3.69,60000,1.367,3/7,"{'eth': {'mean': -2.291, 'n': 55}, 'rth_close': {'mean': -19.0, 'n': 3}, 'rth_mid': {'mean': 8.472, 'n': 36}, 'rth_open': {'mean': -39.333, 'n': 6}}"
E12_immediate_reversal_1s(dir=new),8,0.1,0.375,0.2,1.375,0.3,9.0,2.6,11.0,2.6,2.0,0.4,-17.625,-1.1,0.125,0.0,17.5,0.9,3.5,0.1,10.875,0.3,-12.625,-1.5,-7.875,-0.4,5.375,0.3,-6.5,-0.3,1.375,0.0,46.5,34.5,68.5,65.0,0.5,0.5,1.024,12.625,1000,4.676,3/5,"{'eth': {'mean': -12.333, 'n': 3}, 'rth_close': {'mean': -1.0, 'n': 1}, 'rth_mid': {'mean': 2.0, 'n': 1}, 'rth_open': {'mean': -21.667, 'n': 3}}"
E1_same_side_run_k16,415984,2971.3,0.936,26.4,0.904,21.3,0.846,15.2,0.761,13.8,0.828,14.1,0.675,10.2,0.409,4.5,0.216,1.8,-0.177,-1.1,-0.399,-1.9,-0.098,-2.8,-0.465,-8.9,-0.643,-7.2,-1.033,-7.1,-1.248,-6.4,12.5,11.5,29.5,28.5,0.503,0.487,3.318,1.248,60000,0.462,7/7,"{'eth': {'mean': -1.299, 'n': 124067}, 'rth_close': {'mean': -0.112, 'n': 41067}, 'rth_mid': {'mean': -1.034, 'n': 164851}, 'rth_open': {'mean': -1.193, 'n': 85999}}"
E1_same_side_run_k32,64356,459.7,0.719,4.2,0.935,5.2,1.039,4.8,1.035,5.1,1.261,6.5,0.901,5.2,0.634,2.3,0.383,1.0,-0.164,-0.3,-0.33,-0.4,0.033,0.2,-0.474,-2.7,-0.692,-2.3,-1.179,-2.0,-1.373,-2.1,14.5,13.5,31.5,31.5,0.51,0.48,2.376,1.373,60000,0.509,6/7,"{'eth': {'mean': -1.246, 'n': 18337}, 'rth_close': {'mean': -0.052, 'n': 6876}, 'rth_mid': {'mean': -1.276, 'n': 25787}, 'rth_open': {'mean': -0.251, 'n': 13356}}"
E1_same_side_run_k8,1988892,14206.4,0.797,37.8,0.758,31.9,0.676,27.4,0.606,21.9,0.613,20.2,0.521,15.5,0.359,10.0,0.222,3.5,-0.026,-0.3,-0.137,-1.1,-0.09,-6.4,-0.333,-10.9,-0.469,-7.1,-0.704,-6.8,-0.806,-6.4,11.5,10.5,28.5,28.5,0.496,0.492,3.781,0.806,60000,0.299,7/7,"{'eth': {'mean': -0.82, 'n': 581114}, 'rth_close': {'mean': -0.279, 'n': 201794}, 'rth_mid': {'mean': -0.515, 'n': 795486}, 'rth_open': {'mean': -0.6, 'n': 410498}}"
E2_arrival_accel_p99,1978,14.1,0.971,2.6,2.238,5.2,3.73,6.5,4.24,5.4,5.326,5.7,5.769,5.5,4.987,3.5,5.503,3.3,5.888,2.2,5.86,1.7,1.905,2.8,1.418,1.1,2.029,1.2,2.072,0.8,1.979,0.6,30.5,27.5,53.5,46.0,0.51,0.484,3.131,2.072,30000,0.767,3/7,"{'eth': {'mean': 7.93, 'n': 285}, 'rth_close': {'mean': 0.278, 'n': 543}, 'rth_mid': {'mean': -0.656, 'n': 655}, 'rth_open': {'mean': -2.889, 'n': 495}}"
E2_arrival_accel_p999,104,0.7,0.404,0.4,1.351,1.1,-0.235,-0.2,-1.112,-0.6,1.078,0.5,-1.118,-0.4,-5.948,-1.2,-10.102,-1.4,-15.018,-1.7,-13.323,-1.2,-0.612,-0.3,-6.135,-1.1,-9.03,-1.4,-14.675,-1.7,-16.572,-1.5,26.0,29.0,41.0,52.5,0.596,0.404,0.365,16.572,60000,6.138,5/7,"{'eth': {'mean': -32.727, 'n': 22}, 'rth_close': {'mean': -5.256, 'n': 43}, 'rth_mid': {'mean': -53.0, 'n': 22}, 'rth_open': {'mean': 7.882, 'n': 17}}"
E3_signed_vol_1s_p99,4870,34.8,2.437,4.9,3.314,5.3,4.515,7.4,4.873,7.4,5.455,7.5,5.15,6.6,3.61,4.1,2.943,2.2,1.919,1.2,2.51,1.3,0.694,1.9,-0.862,-1.4,-1.655,-1.4,-2.463,-1.7,-2.013,-1.1,23.5,19.5,43.5,38.5,0.506,0.484,3.327,2.463,30000,0.912,5/7,"{'eth': {'mean': -2.851, 'n': 897}, 'rth_close': {'mean': 3.475, 'n': 636}, 'rth_mid': {'mean': 0.649, 'n': 1970}, 'rth_open': {'mean': -3.426, 'n': 1367}}"
