family,n,per_day,m50,t50,m100,t100,m250,t250,m500,t500,m1000,t1000,m2000,t2000,m5000,t5000,m10000,t10000,m30000,t30000,m60000,t60000,x1000,tx1000,x5000,tx5000,x10000,tx10000,x30000,tx30000,x60000,tx60000,mfe10s_med,mae10s_med,mfe60s_med,mae60s_med,p_reversal_60s,p_cont_60s,impact_ticks_per_100lots_1s,best_abs_tradable_ticks,best_h_ms,best_over_friction_NQ,month_sign_consistency,strata_best_h
BASE_every1000th_trade_dir=aggr,66522,475.2,1.047,28.5,1.329,26.5,1.749,28.1,2.084,31.5,2.423,29.8,2.547,11.6,2.844,12.2,2.864,10.8,3.372,6.8,2.448,2.2,0.567,2.9,1.134,5.3,1.118,4.6,1.609,3.3,0.706,0.6,14.5,9.0,31.5,25.5,0.469,0.524,17.275,1.609,30000,0.596,7/7,"{'eth': {'mean': 2.683, 'n': 18629}, 'rth_close': {'mean': 0.158, 'n': 6985}, 'rth_mid': {'mean': 0.889, 'n': 26850}, 'rth_open': {'mean': 1.335, 'n': 14058}}"
E10_failed_continuation_2s(dir=reverse),1313,9.4,0.102,1.5,0.227,2.6,0.206,1.2,0.324,1.3,0.905,2.5,0.571,1.0,1.837,2.4,-3.489,-1.8,-4.834,-1.6,-7.014,-2.0,1.164,2.3,-2.198,-1.5,-4.351,-2.0,-5.068,-1.7,-7.149,-2.0,17.0,15.0,36.5,37.5,0.498,0.497,4.612,7.149,60000,2.648,6/7,"{'eth': {'mean': -9.995, 'n': 198}, 'rth_close': {'mean': -5.721, 'n': 188}, 'rth_mid': {'mean': -8.689, 'n': 539}, 'rth_open': {'mean': 4.789, 'n': 388}}"
E11_flow_exhaustion_2s(dir=orig),100,0.7,0.004,0.4,-0.004,-0.3,-0.038,-1.1,-0.097,-0.4,-0.146,-0.4,0.345,0.4,-0.086,-0.1,5.21,1.3,2.628,0.6,2.185,0.4,-0.559,-1.0,3.455,1.4,4.499,1.1,2.568,0.6,1.951,0.4,8.0,8.5,24.5,17.0,0.46,0.54,-1.526,4.499,10000,1.666,5/7,"{'eth': {'mean': 7.318, 'n': 55}, 'rth_close': {'mean': -6.0, 'n': 3}, 'rth_mid': {'mean': 19.861, 'n': 36}, 'rth_open': {'mean': -46.0, 'n': 6}}"
E12_immediate_reversal_1s(dir=new),8,0.1,1.562,0.3,3.375,0.9,7.75,1.9,11.5,2.0,8.25,1.6,-11.188,-0.8,2.375,0.1,18.5,1.1,9.312,0.4,9.75,0.3,-3.5,-1.2,0.062,0.0,10.062,0.4,-0.688,-0.0,2.25,0.1,55.25,39.0,79.25,63.25,0.5,0.5,4.225,10.062,10000,3.727,3/5,"{'eth': {'mean': 27.333, 'n': 3}, 'rth_close': {'mean': 30.5, 'n': 1}, 'rth_mid': {'mean': -10.5, 'n': 1}, 'rth_open': {'mean': -7.167, 'n': 3}}"
E1_same_side_run_k16,415899,2970.7,3.332,41.4,4.226,44.2,5.403,42.9,6.276,41.2,7.144,38.8,7.859,36.9,8.349,34.3,8.615,32.2,8.795,24.9,8.773,21.0,1.989,21.4,2.995,17.2,3.265,16.1,3.389,9.6,3.38,7.9,21.0,4.5,38.0,21.0,0.422,0.571,30.729,3.389,30000,1.255,7/7,"{'eth': {'mean': 7.276, 'n': 123982}, 'rth_close': {'mean': 1.043, 'n': 41067}, 'rth_mid': {'mean': 1.377, 'n': 164851}, 'rth_open': {'mean': 0.829, 'n': 85999}}"
E1_same_side_run_k32,64330,459.5,7.193,44.5,9.144,38.9,10.795,39.8,11.716,39.7,12.761,38.8,13.636,34.7,14.05,29.2,14.367,26.6,13.818,18.4,13.677,16.2,2.28,16.7,3.383,9.9,3.564,8.9,3.065,5.0,2.891,4.0,28.0,2.5,45.0,19.0,0.392,0.602,29.499,3.564,10000,1.32,7/7,"{'eth': {'mean': 7.865, 'n': 18311}, 'rth_close': {'mean': 1.462, 'n': 6876}, 'rth_mid': {'mean': 1.516, 'n': 25787}, 'rth_open': {'mean': 1.506, 'n': 13356}}"
E1_same_side_run_k8,1988607,14204.3,1.568,42.5,2.042,44.9,2.789,43.6,3.403,41.6,4.004,40.2,4.497,38.9,4.925,37.0,5.13,35.4,5.242,32.7,5.29,28.2,1.383,24.7,2.161,21.8,2.358,20.5,2.451,16.3,2.5,13.3,17.0,7.0,34.0,24.0,0.448,0.544,26.996,2.5,60000,0.926,7/7,"{'eth': {'mean': 4.927, 'n': 580829}, 'rth_close': {'mean': 0.976, 'n': 201794}, 'rth_mid': {'mean': 1.25, 'n': 795486}, 'rth_open': {'mean': 0.856, 'n': 410498}}"
E2_arrival_accel_p99,1978,14.1,7.128,7.8,9.234,8.3,12.225,10.3,13.534,10.5,14.873,10.5,15.235,9.6,14.304,8.3,15.742,8.1,15.727,5.6,15.299,4.4,2.935,3.8,2.395,1.8,3.696,2.2,3.507,1.3,2.902,0.9,36.75,22.5,60.0,40.5,0.473,0.523,8.284,3.696,10000,1.369,7/7,"{'eth': {'mean': 7.528, 'n': 285}, 'rth_close': {'mean': 2.572, 'n': 543}, 'rth_mid': {'mean': 1.715, 'n': 655}, 'rth_open': {'mean': 2.348, 'n': 495}}"
E2_arrival_accel_p999,104,0.7,0.658,0.9,1.525,1.4,1.556,1.2,1.056,0.6,1.866,0.9,0.735,0.3,-4.468,-0.9,-7.273,-1.1,-13.308,-1.6,-12.789,-1.2,-0.485,-0.2,-5.181,-1.0,-8.248,-1.3,-15.308,-1.8,-16.646,-1.5,30.5,29.25,42.75,48.25,0.587,0.413,0.788,16.646,60000,6.165,5/7,"{'eth': {'mean': -32.909, 'n': 22}, 'rth_close': {'mean': -6.105, 'n': 43}, 'rth_mid': {'mean': -54.182, 'n': 22}, 'rth_open': {'mean': 15.588, 'n': 17}}"
E3_signed_vol_1s_p99,4860,34.7,14.289,17.8,17.575,20.5,20.044,25.2,21.011,23.8,22.738,19.0,23.083,19.4,21.773,18.3,22.433,15.1,21.288,11.4,22.031,9.4,2.909,3.4,2.645,2.5,2.571,1.9,1.333,0.8,1.876,0.8,38.0,7.0,59.0,24.0,0.402,0.594,13.68,2.909,1000,1.077,6/7,"{'eth': {'mean': 3.51, 'n': 887}, 'rth_close': {'mean': 0.481, 'n': 636}, 'rth_mid': {'mean': 1.837, 'n': 1970}, 'rth_open': {'mean': 1.304, 'n': 1367}}"
E3_signed_vol_1s_p999,330,2.4,19.307,12.0,24.033,12.9,35.641,12.6,39.919,10.6,40.846,10.4,41.19,10.5,42.103,8.8,39.154,8.0,37.237,6.5,39.408,6.3,4.671,1.7,7.783,2.2,3.857,1.0,1.464,0.3,3.984,0.8,62.5,3.25,84.0,15.0,0.327,0.673,8.556,7.783,5000,2.883,6/7,"{'eth': {'mean': 13.705, 'n': 56}, 'rth_close': {'mean': 4.226, 'n': 42}, 'rth_mid': {'mean': 14.069, 'n': 130}, 'rth_open': {'mean': 3.73, 'n': 102}}"
